"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000142611",1.38383963432792,0.211082877816028,0.422070835730169,"NS","PRDM16","PR/SET domain 16"
"ENSG00000149527",0.611824822054944,0.572131713582991,0.749590122922615,"NS","PLCH2","phospholipase C eta 2"
"ENSG00000272235",-0.170094993176849,0.907693178844616,0.953963944392274,"NS",NA,NA
"ENSG00000142606",3.10539076366813,2.72243536461814e-05,0.000846544132329442,"Up","MMEL1","membrane metalloendopeptidase like 1"
"ENSG00000225931",0.0832431705483767,0.956161141533639,0.978158408444114,"NS",NA,NA
"ENSG00000048707",0.416759005277565,0.307063453856202,0.527339855521778,"NS","VPS13D","vacuolar protein sorting 13 homolog D"
"ENSG00000197921",4.83891910931737,0.00114355109080798,0.0143804136888766,"Up","HES5","hes family bHLH transcription factor 5"
"ENSG00000189337",-0.0434781438038498,0.951143981531289,0.975090337132159,"NS","KAZN","kazrin, periplakin interacting protein"
"ENSG00000175147",1.31987497936525,0.0612425002640003,0.199736615574229,"NS","TMEM51-AS1","TMEM51 antisense RNA 1"
"ENSG00000272420",1.22243621821135,0.231356084156903,0.446215966782023,"NS",NA,NA
"ENSG00000130940",1.31857407217238,0.0287842926529356,0.12550719328353,"NS","CASZ1","castor zinc finger 1"
"ENSG00000227527",2.31267410430391,0.0317040258424445,0.132488050479459,"NS",NA,NA
"ENSG00000163873",1.40886984472089,0.463255720593119,0.667803433975268,"NS","GRIK3","glutamate ionotropic receptor kainate type subunit 3"
"ENSG00000117215",0.68485730876063,0.577441651942496,0.752932980331799,"NS","PLA2G2D","phospholipase A2 group IID"
"ENSG00000272078",2.04565638573674,0.00894910183329523,0.059641900797258,"NS",NA,NA
"ENSG00000159339",-6.0008184513893,0.000286400258197338,0.00521501796928864,"Down","PADI4","peptidyl arginine deiminase 4"
"ENSG00000117000",-2.1686183207654,0.00191647306712437,0.0207645934217233,"Down","RLF","RLF zinc finger"
"ENSG00000116544",0.878272916832984,0.366051711544342,0.58261085484413,"NS","DLGAP3","DLG associated protein 3"
"ENSG00000236723",0.698463320601731,0.664600856272103,0.811575560828368,"NS",NA,NA
"ENSG00000163877",-0.695562631761729,0.103981232900409,0.275839965526165,"NS","SNIP1","Smad nuclear interacting protein 1"
"ENSG00000228929",-0.180694627338086,0.854410680359424,0.926113091819846,"NS","RPS13P2","ribosomal protein S13 pseudogene 2"
"ENSG00000154027",-3.96762611410742,0.0153824526625429,0.0841530684169088,"NS","AK5","adenylate kinase 5"
"ENSG00000116675",-1.40813538396671,0.0993087388884147,0.268319035017595,"NS","DNAJC6","DnaJ heat shock protein family (Hsp40) member C6"
"ENSG00000213625",0.0839610137166377,0.888382202003858,0.944410514351716,"NS","LEPROT","leptin receptor overlapping transcript"
"ENSG00000286548",-0.0282695136622825,0.979942729915899,0.989677734575439,"NS",NA,NA
"ENSG00000226084",0.643948847681947,0.504674340261006,0.698785831942384,"NS","RPL17P6","ribosomal protein L17 pseudogene 6"
"ENSG00000172260",1.12298876919801,0.349329766847214,0.567281331262443,"NS","NEGR1","neuronal growth regulator 1"
"ENSG00000182183",-4.43189903821786,0.00152837341063489,0.017735034466934,"Down","SHISAL2A","shisa like 2A"
"ENSG00000067334",-1.29411672577358,0.0204501384294158,0.101284902584362,"NS","DNTTIP2","deoxynucleotidyltransferase terminal interacting protein 2"
"ENSG00000232882",-2.91759491746204,0.0794570609823611,0.233919392565935,"NS",NA,NA
"ENSG00000171502",-2.21685959416226,0.0884358535099389,0.249517047092192,"NS","COL24A1","collagen type XXIV alpha 1 chain"
"ENSG00000116157",-3.18447404940816,2.45205534081878e-05,0.000783283712534826,"Down","GPX7","glutathione peroxidase 7"
"ENSG00000266993",-0.838220316925199,0.578378444007996,0.753491617580556,"NS",NA,NA
