"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_symbol","gene_name","significance"
125661.585881187,10.1404172858438,0.847866833438572,11.959917390233,5.76192134566522e-33,1.28104797278175e-28,"ENSG00000162896","PIGR","polymeric immunoglobulin receptor","Up"
718.962263301547,6.41729858537086,0.607297056744032,10.5669844997712,4.23906360077009e-26,4.71235505179607e-22,"ENSG00000157111","TMEM171","transmembrane protein 171","Up"
1411.34938853815,7.03119515509351,0.681053471099508,10.3239987070945,5.48884847386935e-25,4.06778560398458e-21,"ENSG00000173467","AGR3","anterior gradient 3, protein disulphide isomerase family member","Up"
11944.9839218536,11.4166861911372,1.11012569194445,10.2841383403533,8.30818514857169e-25,4.61789701020486e-21,"ENSG00000197273","GUCA2A","guanylate cyclase activator 2A","Up"
2537.74171365831,8.90867772924388,0.881595078384049,10.1051808791553,5.23987861168422e-24,2.00784128599562e-20,"ENSG00000112818","MEP1A","meprin A subunit alpha","Up"
1063.34479753124,8.65734331975647,0.8570019989345,10.1018939635147,5.41854347860104e-24,2.00784128599562e-20,"ENSG00000171916","LGALS9C","galectin 9C","Up"
3970.05103486595,5.82491092232968,0.604576421413061,9.63469747747566,5.70598233884858e-22,1.81230150485172e-18,"ENSG00000125775","SDCBP2","syndecan binding protein 2","Up"
3397.72292151442,9.66242344909918,1.03272747455347,9.35621806060401,8.26419195587111e-21,2.29672224693603e-17,"ENSG00000071203","MS4A12","membrane spanning 4-domains A12","Up"
3088.87728542849,12.6311589954425,1.36981416176366,9.22107490783977,2.94136605290404e-20,7.26615460602395e-17,"ENSG00000166869","CHP2","calcineurin like EF-hand protein 2","Up"
7246.09069084524,12.013441751312,1.36691700388377,8.78871337263243,1.51282488915329e-18,3.05769416004955e-15,"ENSG00000100604","CHGA","chromogranin A","Up"
1554.66523077253,5.1846145897345,0.589325548913227,8.79753915182437,1.39849018249777e-18,3.05769416004955e-15,"ENSG00000080031","PTPRH","protein tyrosine phosphatase receptor type H","Up"
86.8611138884509,-20.068911404271,2.29456400237354,-8.74628530017526,2.20491204286519e-18,4.08515078741849e-15,"ENSG00000185479","KRT6B","keratin 6B","Down"
2413.75006141899,5.97615894477472,0.691415319257033,8.64337074740614,5.45784567057817e-18,9.33417559953573e-15,"ENSG00000114455","HHLA2","HHLA2 member of B7 family","Up"
34084.1179092814,4.70925909740108,0.545384558663951,8.63474959565693,5.88558189465649e-18,9.34672444742127e-15,"ENSG00000135916","ITM2C","integral membrane protein 2C","Up"
994.389291711462,8.52330982182793,0.996896723535734,8.54984234635455,1.23256752347664e-17,1.82691158329707e-14,"ENSG00000146039","SLC17A4","solute carrier family 17 member 4","Up"
37.198889798169,-21.4205414331014,2.5389576310536,-8.43674631317596,3.26293622895232e-17,4.53405382364355e-14,"ENSG00000287535",NA,NA,"Down"
1075.46010372804,5.9606921237153,0.709757829668347,8.39820552103045,4.53353219710734e-17,5.9290600787228e-14,"ENSG00000135549","PKIB","cAMP-dependent protein kinase inhibitor beta","Up"
5611.2072494874,8.07228524658143,0.965799260881828,8.35813980558547,6.3714913349628e-17,7.86985371390155e-14,"ENSG00000019102","VSIG2","V-set and immunoglobulin domain containing 2","Up"
3195.7951441843,5.80050149567025,0.69521100888098,8.34351214461751,7.21160319085914e-17,8.43871440749323e-14,"ENSG00000189221","MAOA","monoamine oxidase A","Up"
607.194334391775,5.30362708560514,0.63923260861792,8.29686567002906,1.06894130541659e-16,1.18828860216635e-13,"ENSG00000177675","CD163L1","CD163 molecule like 1","Up"
1620.81664277303,4.66130916444156,0.564987017602252,8.25029428857267,1.58004941258282e-16,1.6728208852359e-13,"ENSG00000074276","CDHR2","cadherin related family member 2","Up"
2052.79441297486,10.3248635498523,1.26038191302549,8.19185315430936,2.57234368245102e-16,2.59958714054243e-13,"ENSG00000168748","CA7","carbonic anhydrase 7","Up"
225.622346205135,5.81336889842876,0.717108016525296,8.10668513593962,5.20194320458377e-16,5.02846970728308e-13,"ENSG00000156006","NAT2","N-acetyltransferase 2","Up"
