"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000162896",125661.585881187,-9.98558884998619,0.852242481751223,5.76192134566522e-33,1.28104797278175e-28
"ENSG00000157111",718.962263301547,-6.29887978311193,0.611016104805244,4.23906360077009e-26,4.71235505179607e-22
"ENSG00000173467",1411.34938853815,-6.89746458436175,0.686107392526301,5.48884847386935e-25,4.06778560398458e-21
"ENSG00000197273",11944.9839218536,-11.1591479121095,1.11525136637355,8.30818514857169e-25,4.61789701020486e-21
"ENSG00000112818",2537.74171365831,-8.7208520076317,0.888913916380173,5.23987861168422e-24,2.00784128599562e-20
"ENSG00000171916",1063.34479753124,-8.47804174859302,0.862119711459197,5.41854347860104e-24,2.00784128599562e-20
"ENSG00000125775",3970.05103486595,-5.68834636503289,0.610771412459677,5.70598233884858e-22,1.81230150485172e-18
"ENSG00000071203",3397.72292151442,-9.42115558966746,1.03980023160771,8.26419195587111e-21,2.29672224693603e-17
"ENSG00000166869",3088.87728542849,-12.3086030598492,1.36443039087793,2.94136605290404e-20,7.26615460602395e-17
"ENSG00000100604",7246.09069084524,-11.6406247412232,1.37761082991295,1.51282488915329e-18,3.05769416004955e-15
"ENSG00000080031",1554.66523077253,-5.04338222478595,0.595891571042354,1.39849018249777e-18,3.05769416004955e-15
"ENSG00000185479",86.8611138884509,7.4046906455662,3.27863143479536,2.20491204286519e-18,4.08515078741849e-15
"ENSG00000114455",2413.75006141899,-5.80135670262693,0.699329535167298,5.45784567057817e-18,9.33417559953573e-15
"ENSG00000135916",34084.1179092814,-4.58352811781546,0.551238837302932,5.88558189465649e-18,9.34672444742127e-15
"ENSG00000146039",994.389291711462,-8.27081774796368,1.00878722858981,1.23256752347664e-17,1.82691158329707e-14
"ENSG00000287535",37.198889798169,8.69897503174777,3.73152636687507,3.26293622895232e-17,4.53405382364355e-14
"ENSG00000135549",1075.46010372804,-5.78646213457587,0.718759977846721,4.53353219710734e-17,5.9290600787228e-14
"ENSG00000019102",5611.2072494874,-7.82312330083449,0.979132058516373,6.3714913349628e-17,7.86985371390155e-14
"ENSG00000189221",3195.7951441843,-5.63106588113177,0.704331230777815,7.21160319085914e-17,8.43871440749323e-14
"ENSG00000177675",607.194334391775,-5.14827962593375,0.647447792488138,1.06894130541659e-16,1.18828860216635e-13
