"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000142611",-0.0069921827187225,0.994826533516107,0.99949542652706,"NS","PRDM16","PR/SET domain 16"
"ENSG00000149527",-1.62175327911524,0.134891160058031,0.572195260612558,"NS","PLCH2","phospholipase C eta 2"
"ENSG00000142606",-0.632900818689423,0.355340792970369,0.749815475801391,"NS","MMEL1","membrane metalloendopeptidase like 1"
"ENSG00000048707",0.0287309537465826,0.94379273831323,0.987233829460535,"NS","VPS13D","vacuolar protein sorting 13 homolog D"
"ENSG00000197921",-2.21382099989425,0.113780706405066,0.540517858783984,"NS","HES5","hes family bHLH transcription factor 5"
"ENSG00000189337",0.12717801866541,0.85764980413124,0.964490063883306,"NS","KAZN","kazrin, periplakin interacting protein"
"ENSG00000175147",0.180026393642022,0.793491725222916,0.946523557001443,"NS","TMEM51-AS1","TMEM51 antisense RNA 1"
"ENSG00000130940",0.536486995321134,0.370649306549036,0.760181765542346,"NS","CASZ1","castor zinc finger 1"
"ENSG00000117215",0.622122787371655,0.609857850473071,0.87899382284534,"NS","PLA2G2D","phospholipase A2 group IID"
"ENSG00000272078",-0.945580880061797,0.213975610596623,0.646977758220261,"NS",NA,NA
"ENSG00000159339",-1.33750474969167,0.43792819297196,0.796958681222854,"NS","PADI4","peptidyl arginine deiminase 4"
"ENSG00000117000",1.01526600760318,0.146886213881493,0.581628127472666,"NS","RLF","RLF zinc finger"
"ENSG00000116544",-2.23854078293338,0.0245718777520888,0.347881762910191,"NS","DLGAP3","DLG associated protein 3"
"ENSG00000163877",0.297858209560272,0.486921217423843,0.819761420312889,"NS","SNIP1","Smad nuclear interacting protein 1"
"ENSG00000228929",-1.06689078616855,0.285414491097906,0.702365815980128,"NS","RPS13P2","ribosomal protein S13 pseudogene 2"
"ENSG00000154027",-1.20396933542284,0.47644330814522,0.81601921225394,"NS","AK5","adenylate kinase 5"
"ENSG00000116675",1.60007713133065,0.0603343869468071,0.452789087659394,"NS","DNAJC6","DnaJ heat shock protein family (Hsp40) member C6"
"ENSG00000213625",0.265317658916534,0.65728096276711,0.901542283634898,"NS","LEPROT","leptin receptor overlapping transcript"
"ENSG00000226084",-1.33065148995231,0.168585693747309,0.605576144015189,"NS","RPL17P6","ribosomal protein L17 pseudogene 6"
"ENSG00000172260",-0.872959337987715,0.466353110887219,0.812169777438901,"NS","NEGR1","neuronal growth regulator 1"
"ENSG00000182183",-1.0721146911704,0.459403608021997,0.809199950264986,"NS","SHISAL2A","shisa like 2A"
"ENSG00000067334",0.64079520499445,0.251335327768538,0.677600556618175,"NS","DNTTIP2","deoxynucleotidyltransferase terminal interacting protein 2"
"ENSG00000171502",0.0462958926703307,0.971862438764034,0.995647940018188,"NS","COL24A1","collagen type XXIV alpha 1 chain"
"ENSG00000116157",0.0680404526051997,0.929083514096734,0.984019616909969,"NS","GPX7","glutathione peroxidase 7"
"ENSG00000183298",-2.21827631474646,0.0181399204073594,0.322609409135226,"NS","RPSAP19","ribosomal protein SA pseudogene 19"
"ENSG00000198162",0.58321949614277,0.171314756074435,0.608447232040263,"NS","MAN1A2","mannosidase alpha class 1A member 2"
"ENSG00000134253",0.507352188345074,0.528318288433674,0.843073898853579,"NS","TRIM45","tripartite motif containing 45"
"ENSG00000163155",0.871981769034872,0.164843810279979,0.601203439217836,"NS","LYSMD1","LysM domain containing 1"
"ENSG00000232995",0.187500397332447,0.814954853054209,0.953400298540122,"NS","LOC127814295","uncharacterized LOC127814295"
"ENSG00000272931",-1.48625520570666,0.0512127859415008,0.430522152240959,"NS",NA,NA
"ENSG00000047410",0.883793315633457,0.13313871012933,0.569948344398496,"NS","TPR","translocated promoter region, nuclear basket protein"
"ENSG00000143184",-0.162337564831696,0.90641150487065,0.977053836701477,"NS","XCL1","X-C motif chemokine ligand 1"
"ENSG00000234975",-1.84177120499965,0.00373005225911983,0.210665508479113,"NS","FTH1P2","ferritin heavy chain 1 pseudogene 2"
"ENSG00000007908",0.718959972249639,0.696176269666825,0.91419439435929,"NS","SELE","selectin E"
"ENSG00000116574",-0.25984107180208,0.538230596327649,0.846943064893879,"NS","RHOU","ras homolog family member U"
"ENSG00000116132",0.389340984458934,0.764476268611612,0.936853283299641,"NS","PRRX1","paired related homeobox 1"
"ENSG00000220749",-2.48345283172975,0.00455254290321166,0.225698976804129,"NS","RPL21P28","ribosomal protein L21 pseudogene 28"
"ENSG00000181450",0.395190619910765,0.508479573883247,0.831226204700565,"NS","ZNF678","zinc finger protein 678"
"ENSG00000162849",1.7937331752369,0.267410120227515,0.691384743420377,"NS","KIF26B","kinesin family member 26B"
