"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000185479",21.0302405123898,4.66662977853837e-20,7.89033762955267e-16,"Up","KRT6B","keratin 6B"
"ENSG00000244734",-5.26173910228778,2.77315906473941e-10,2.3444286733307e-06,"Down","HBB","hemoglobin subunit beta"
"ENSG00000287535",15.7177277635156,1.40478466602895e-09,7.91736637773917e-06,"Up",NA,NA
"ENSG00000260573",21.166139470801,2.43010627117561e-09,1.02720592082593e-05,"Up","LOC124903770","uncharacterized LOC124903770"
"ENSG00000162040",-4.86043266424815,4.10110115970891e-09,1.38682836816716e-05,"Down","HS3ST6","heparan sulfate-glucosamine 3-sulfotransferase 6"
"ENSG00000197888",25.3697837635234,1.14358381996846e-07,0.000322261920467113,"Up","UGT2B17","UDP glucuronosyltransferase family 2 member B17"
"ENSG00000164822",10.7312315458738,1.17863026960758e-06,0.00284689722836072,"Up","DEFA6","defensin alpha 6"
"ENSG00000163734",4.49348090635038,2.01206456008055e-06,0.00377999862020465,"Up","CXCL3","C-X-C motif chemokine ligand 3"
"ENSG00000111700",17.7026499864303,1.85000643432084e-06,0.00377999862020465,"Up","SLCO1B3","solute carrier organic anion transporter family member 1B3"
"ENSG00000229807",21.8326237083578,2.37307921641379e-06,0.00384738200873283,"Up","XIST","X inactive specific transcript"
