"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000142611",1.3768474516092,0.212344316570736,0.528185503844939,"NS","PRDM16","PR/SET domain 16"
"ENSG00000149527",-1.0099284570603,0.352105354326093,0.672789082847195,"NS","PLCH2","phospholipase C eta 2"
"ENSG00000272235",2.67106003027363,0.0493631891486901,0.232963656196737,"NS",NA,NA
"ENSG00000142606",2.47248994497871,0.0008706109894389,0.014708871611139,"Up","MMEL1","membrane metalloendopeptidase like 1"
"ENSG00000225931",0.631701846051401,0.672621289569565,0.879825212155095,"NS",NA,NA
"ENSG00000048707",0.445489959024147,0.274669070175721,0.599052728090112,"NS","VPS13D","vacuolar protein sorting 13 homolog D"
"ENSG00000197921",2.62509810942311,0.0798135840032644,0.309361125025205,"NS","HES5","hes family bHLH transcription factor 5"
"ENSG00000189337",0.0836998748615606,0.90598144860486,0.972032615702108,"NS","KAZN","kazrin, periplakin interacting protein"
"ENSG00000175147",1.49990137300727,0.0327427397923451,0.178161853598436,"NS","TMEM51-AS1","TMEM51 antisense RNA 1"
"ENSG00000272420",0.783244261635585,0.444598773697834,0.746324397377746,"NS",NA,NA
"ENSG00000130940",1.85506106749352,0.00206566779990567,0.0270471096556554,"Up","CASZ1","castor zinc finger 1"
"ENSG00000227527",0.861215194252154,0.436396848982184,0.740030014925172,"NS",NA,NA
"ENSG00000163873",0.754671626298841,0.694991473987154,0.892133108611801,"NS","GRIK3","glutamate ionotropic receptor kainate type subunit 3"
"ENSG00000117215",1.30698009613228,0.285836034155623,0.609650090884685,"NS","PLA2G2D","phospholipase A2 group IID"
"ENSG00000272078",1.10007550567495,0.163009364102688,0.460916595713476,"NS",NA,NA
"ENSG00000159339",-7.33832320108096,1.44936804628629e-05,0.000706662275725505,"Down","PADI4","peptidyl arginine deiminase 4"
"ENSG00000117000",-1.15335231316221,0.0975862526921695,0.347419560625301,"NS","RLF","RLF zinc finger"
"ENSG00000116544",-1.3602678661004,0.175198628938793,0.477937560392169,"NS","DLGAP3","DLG associated protein 3"
"ENSG00000236723",-0.125460025845937,0.938660191513472,0.980985775071514,"NS",NA,NA
"ENSG00000163877",-0.397704422201457,0.350551428903299,0.671301457261589,"NS","SNIP1","Smad nuclear interacting protein 1"
"ENSG00000228929",-1.24758541350664,0.210470239018498,0.526187431024206,"NS","RPS13P2","ribosomal protein S13 pseudogene 2"
"ENSG00000154027",-5.17159544953026,0.00189061714220584,0.0253829051465353,"Down","AK5","adenylate kinase 5"
"ENSG00000116675",0.191941747363945,0.817185489068214,0.939670512326915,"NS","DNAJC6","DnaJ heat shock protein family (Hsp40) member C6"
"ENSG00000213625",0.349278672633171,0.559169596138316,0.820436952946955,"NS","LEPROT","leptin receptor overlapping transcript"
"ENSG00000286548",0.314385945453861,0.776288645273338,0.923797790598739,"NS",NA,NA
"ENSG00000226084",-0.686702642270361,0.477809082649919,0.770648601469733,"NS","RPL17P6","ribosomal protein L17 pseudogene 6"
"ENSG00000172260",0.250029431210294,0.835163033503145,0.945956478876939,"NS","NEGR1","neuronal growth regulator 1"
"ENSG00000182183",-5.50401372938825,0.000107996095035565,0.00326677167472888,"Down","SHISAL2A","shisa like 2A"
"ENSG00000067334",-0.653321520779135,0.241138222916052,0.562938674468161,"NS","DNTTIP2","deoxynucleotidyltransferase terminal interacting protein 2"
"ENSG00000232882",-0.170657773940009,0.897790661457076,0.96853703606071,"NS",NA,NA
"ENSG00000171502",-2.17056370149193,0.0944576162360673,0.341753650411145,"NS","COL24A1","collagen type XXIV alpha 1 chain"
"ENSG00000116157",-3.11643359680296,3.42011856826305e-05,0.00138505457428402,"Down","GPX7","glutathione peroxidase 7"
"ENSG00000266993",-1.2114520202133,0.42387674981284,0.730540195328852,"NS",NA,NA
"ENSG00000280040",2.3737669595388,0.0875394922747824,0.326156629810276,"NS",NA,NA
"ENSG00000183298",-0.90965071992589,0.334671167535546,0.657541893585879,"NS","RPSAP19","ribosomal protein SA pseudogene 19"
"ENSG00000198162",0.105653035362395,0.80386762270384,0.933674059950605,"NS","MAN1A2","mannosidase alpha class 1A member 2"
"ENSG00000232450",-1.44318390532814,0.397570290825526,0.710783621743924,"NS","RPS2P14","ribosomal protein S2 pseudogene 14"
"ENSG00000173947",-0.491887405037582,0.722478478455437,0.903364715822805,"NS","CIMAP3","ciliary microtubule associated protein 3"
"ENSG00000134253",1.0547247860881,0.192272697014013,0.501736956891145,"NS","TRIM45","tripartite motif containing 45"
"ENSG00000163155",0.871138930608523,0.164799398526497,0.463560858734767,"NS","LYSMD1","LysM domain containing 1"
"ENSG00000232499",0.43578113489235,0.66780283898141,0.877793364791868,"NS","LOC100421402","heterogeneous nuclear ribonucleoprotein A1 pseudogene"
"ENSG00000232995",0.838494586271372,0.302694334223053,0.626494426808894,"NS","LOC127814295","uncharacterized LOC127814295"
"ENSG00000271092",1.3530496048239,0.291731510643489,0.615308686981659,"NS","TLCD4-RWDD3","TLCD4-RWDD3 readthrough"
"ENSG00000143185",-3.4097239275567,0.0471886805041864,0.226304127189296,"NS","XCL2","X-C motif chemokine ligand 2"
"ENSG00000272931",0.894522199551332,0.275747210715265,0.599989013097719,"NS",NA,NA
