"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000162896",9.88440148987564,2.09010147215061e-31,4.64692260303246e-27,"Up","PIGR","polymeric immunoglobulin receptor"
"ENSG00000173467",7.33954014019875,4.31918901863272e-27,4.80142647256307e-23,"Up","AGR3","anterior gradient 3, protein disulphide isomerase family member"
"ENSG00000112818",8.83207499582272,1.26471132576826e-23,9.37277563526858e-20,"Up","MEP1A","meprin A subunit alpha"
"ENSG00000157111",5.53385128597034,8.43740803710828e-20,4.68972232222571e-16,"Up","TMEM171","transmembrane protein 171"
"ENSG00000156006",6.11897742284435,1.3062601353844e-17,5.80841631800025e-14,"Up","NAT2","N-acetyltransferase 2"
"ENSG00000189221",5.70543535845196,2.26889243306486e-16,8.40738091072183e-13,"Up","MAOA","monoamine oxidase A"
"ENSG00000131634",-3.70276826685938,5.35001928229851e-16,1.6992425529049e-12,"Down","TMEM204","transmembrane protein 204"
"ENSG00000113924",5.80804949389733,7.66347679598896e-16,2.12977599506528e-12,"Up","HGD","homogentisate 1,2-dioxygenase"
"ENSG00000137860",13.714210558231,9.86890863314334e-16,2.43794939600751e-12,"Up","SLC28A2","solute carrier family 28 member 2"
"ENSG00000177675",5.10700079249278,1.35418340881342e-15,3.01075597281488e-12,"Up","CD163L1","CD163 molecule like 1"
