"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000162896",10.1404172858438,5.76192134566522e-33,1.28104797278175e-28,"Up","PIGR","polymeric immunoglobulin receptor"
"ENSG00000157111",6.41729858537086,4.23906360077009e-26,4.71235505179607e-22,"Up","TMEM171","transmembrane protein 171"
"ENSG00000173467",7.03119515509351,5.48884847386935e-25,4.06778560398458e-21,"Up","AGR3","anterior gradient 3, protein disulphide isomerase family member"
"ENSG00000197273",11.4166861911372,8.30818514857169e-25,4.61789701020486e-21,"Up","GUCA2A","guanylate cyclase activator 2A"
"ENSG00000112818",8.90867772924388,5.23987861168422e-24,2.00784128599562e-20,"Up","MEP1A","meprin A subunit alpha"
"ENSG00000171916",8.65734331975647,5.41854347860104e-24,2.00784128599562e-20,"Up","LGALS9C","galectin 9C"
"ENSG00000125775",5.82491092232968,5.70598233884858e-22,1.81230150485172e-18,"Up","SDCBP2","syndecan binding protein 2"
"ENSG00000071203",9.66242344909918,8.26419195587111e-21,2.29672224693603e-17,"Up","MS4A12","membrane spanning 4-domains A12"
"ENSG00000166869",12.6311589954425,2.94136605290404e-20,7.26615460602395e-17,"Up","CHP2","calcineurin like EF-hand protein 2"
"ENSG00000100604",12.013441751312,1.51282488915329e-18,3.05769416004955e-15,"Up","CHGA","chromogranin A"
