"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000142611",0.488057402668025,0.648522582070117,1,"NS","PRDM16","PR/SET domain 16"
"ENSG00000149527",0.306574447741282,0.777741599785847,1,"NS","PLCH2","phospholipase C eta 2"
"ENSG00000272235",0.651524604388743,0.6038778876131,1,"NS",NA,NA
"ENSG00000142606",0.331866938904523,0.627847904968799,1,"NS","MMEL1","membrane metalloendopeptidase like 1"
"ENSG00000225931",0.121647685071018,0.934117602821035,1,"NS",NA,NA
"ENSG00000048707",-0.198747190652444,0.625646365895589,1,"NS","VPS13D","vacuolar protein sorting 13 homolog D"
"ENSG00000197921",0.19184319429125,0.891673700657753,1,"NS","HES5","hes family bHLH transcription factor 5"
"ENSG00000189337",0.33166575463549,0.639112873189469,1,"NS","KAZN","kazrin, periplakin interacting protein"
"ENSG00000175147",0.290524922961816,0.670574691299665,1,"NS","TMEM51-AS1","TMEM51 antisense RNA 1"
"ENSG00000272420",-1.47600942235121,0.156421403150127,1,"NS",NA,NA
"ENSG00000130940",-0.0332422838532559,0.955691289237732,1,"NS","CASZ1","castor zinc finger 1"
"ENSG00000227527",-0.208774918538855,0.843454927517515,1,"NS",NA,NA
"ENSG00000163873",-0.694268742326107,0.717534728963972,1,"NS","GRIK3","glutamate ionotropic receptor kainate type subunit 3"
"ENSG00000117215",-1.84932230195532,0.13216244040312,1,"NS","PLA2G2D","phospholipase A2 group IID"
"ENSG00000272078",-0.0531939634588608,0.944685045767627,1,"NS",NA,NA
"ENSG00000159339",-0.766712846124399,0.670241626699601,1,"NS","PADI4","peptidyl arginine deiminase 4"
"ENSG00000117000",0.262547932633458,0.706307962444048,1,"NS","RLF","RLF zinc finger"
"ENSG00000116544",0.146833648117134,0.885598738029559,1,"NS","DLGAP3","DLG associated protein 3"
"ENSG00000163877",-0.180730562016198,0.672049116465493,1,"NS","SNIP1","Smad nuclear interacting protein 1"
"ENSG00000228929",0.730385649491553,0.464642553878232,1,"NS","RPS13P2","ribosomal protein S13 pseudogene 2"
"ENSG00000154027",-5.03957633520672,0.0220678418317535,1,"NS","AK5","adenylate kinase 5"
"ENSG00000116675",0.341521731622566,0.679005828156715,1,"NS","DNAJC6","DnaJ heat shock protein family (Hsp40) member C6"
"ENSG00000213625",-0.279605206970213,0.64001745867481,1,"NS","LEPROT","leptin receptor overlapping transcript"
"ENSG00000286548",-0.795150970870333,0.476056751035457,1,"NS",NA,NA
"ENSG00000226084",-0.415816129757211,0.668080318868546,1,"NS","RPL17P6","ribosomal protein L17 pseudogene 6"
"ENSG00000172260",-1.81085460809862,0.134760176784886,1,"NS","NEGR1","neuronal growth regulator 1"
"ENSG00000182183",-2.41668033826028,0.145542236903768,1,"NS","SHISAL2A","shisa like 2A"
"ENSG00000067334",-0.0294817088324276,0.957837347247557,1,"NS","DNTTIP2","deoxynucleotidyltransferase terminal interacting protein 2"
"ENSG00000171502",-1.50213155850567,0.260135272184666,1,"NS","COL24A1","collagen type XXIV alpha 1 chain"
"ENSG00000116157",-0.430245396651144,0.573773575598783,1,"NS","GPX7","glutathione peroxidase 7"
"ENSG00000266993",0.693230848341333,0.648736636430262,1,"NS",NA,NA
"ENSG00000280040",-0.638080612205902,0.607665345297658,1,"NS",NA,NA
"ENSG00000183298",0.183975276782045,0.845757742789561,1,"NS","RPSAP19","ribosomal protein SA pseudogene 19"
"ENSG00000198162",0.202393787852213,0.633786720516734,1,"NS","MAN1A2","mannosidase alpha class 1A member 2"
"ENSG00000232450",0.926532283602103,0.588030439541898,1,"NS","RPS2P14","ribosomal protein S2 pseudogene 14"
"ENSG00000173947",2.03326703518791,0.130094301212932,1,"NS","CIMAP3","ciliary microtubule associated protein 3"
"ENSG00000134253",0.0277328871168691,0.972324862242899,1,"NS","TRIM45","tripartite motif containing 45"
"ENSG00000163155",-0.275071115625596,0.658482416294373,1,"NS","LYSMD1","LysM domain containing 1"
"ENSG00000232499",-0.352511830830919,0.726989762282931,1,"NS","LOC100421402","heterogeneous nuclear ribonucleoprotein A1 pseudogene"
"ENSG00000232995",0.182973232879462,0.817133441206066,1,"NS","LOC127814295","uncharacterized LOC127814295"
"ENSG00000271092",-0.68039102680229,0.586614882578781,1,"NS","TLCD4-RWDD3","TLCD4-RWDD3 readthrough"
"ENSG00000143185",-0.63527499851061,0.728862176567466,1,"NS","XCL2","X-C motif chemokine ligand 2"
"ENSG00000272931",-0.18892324414806,0.810037402018878,1,"NS",NA,NA
"ENSG00000047410",-0.0248573363992399,0.966271911337783,1,"NS","TPR","translocated promoter region, nuclear basket protein"
"ENSG00000143184",-2.90414205654537,0.0407736223701938,1,"NS","XCL1","X-C motif chemokine ligand 1"
