"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000071203",-8.74228538508459,5.81757349180208e-17,1.22459922002434e-12,"Down","MS4A12","membrane spanning 4-domains A12"
"ENSG00000100604",-12.9938108348013,3.95692082989105e-15,4.16465917346033e-11,"Down","CHGA","chromogranin A"
"ENSG00000129824",-26.1807237733866,5.7648113887112e-13,4.04497599107902e-09,"Down","RPS4Y1","ribosomal protein S4 Y-linked 1"
"ENSG00000240498",-6.74426799911807,5.14076019301051e-12,2.16426004125742e-08,"Down","CDKN2B-AS1","CDKN2B and CDKN2A antisense cis and trans regulatory RNA 1"
"ENSG00000198692",-23.9201540818213,4.90461818332955e-12,2.16426004125742e-08,"Down","EIF1AY","eukaryotic translation initiation factor 1A Y-linked"
"ENSG00000197273",-7.47648897004468,1.0125432730421e-11,3.55233931625605e-08,"Down","GUCA2A","guanylate cyclase activator 2A"
"ENSG00000182271",-11.5488010505935,4.35519719926325e-10,1.30967001492131e-06,"Down","TMIGD1","transmembrane and immunoglobulin domain containing 1"
"ENSG00000115263",-12.8197675038979,9.02598965274488e-10,2.3749635273785e-06,"Down","GCG","glucagon"
"ENSG00000291033",-25.2407721662812,2.06573383957035e-09,4.83152192477287e-06,"Down","TXLNGY","taxilin gamma Y-linked (pseudogene)"
"ENSG00000012817",-25.0511959599169,2.31248721788635e-09,4.86778559365077e-06,"Down","KDM5D","lysine demethylase 5D"
