"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000142611",1.86490485427722,0.08974441612354,0.342370856875374,"NS","PRDM16","PR/SET domain 16"
"ENSG00000149527",-0.703354009319017,0.51660919493997,0.811543293372455,"NS","PLCH2","phospholipase C eta 2"
"ENSG00000272235",3.32258463466237,0.0140487229799879,0.108036919438698,"NS",NA,NA
"ENSG00000142606",2.80435688388323,0.000150944986144045,0.00460780614757502,"Up","MMEL1","membrane metalloendopeptidase like 1"
"ENSG00000225931",0.753349531122419,0.613437340767409,0.864409653468872,"NS",NA,NA
"ENSG00000048707",0.246742768371704,0.545237801223811,0.827367119621857,"NS","VPS13D","vacuolar protein sorting 13 homolog D"
"ENSG00000197921",2.81694130371436,0.0596997452517748,0.272659087136958,"NS","HES5","hes family bHLH transcription factor 5"
"ENSG00000189337",0.415365629497051,0.557334514358894,0.834766493043378,"NS","KAZN","kazrin, periplakin interacting protein"
"ENSG00000175147",1.79042629596908,0.0105997970053348,0.0902586314897006,"NS","TMEM51-AS1","TMEM51 antisense RNA 1"
"ENSG00000272420",-0.692765160715629,0.514599839101619,0.809989254707702,"NS",NA,NA
"ENSG00000130940",1.82181878364026,0.0024809293765551,0.0332280137523792,"Up","CASZ1","castor zinc finger 1"
"ENSG00000227527",0.652440275713299,0.557003865041809,0.834604861266649,"NS",NA,NA
"ENSG00000163873",0.0604028839727335,0.975071601301284,0.991165275774116,"NS","GRIK3","glutamate ionotropic receptor kainate type subunit 3"
"ENSG00000117215",-0.542342205823035,0.661400500455879,0.886803498204562,"NS","PLA2G2D","phospholipase A2 group IID"
"ENSG00000272078",1.04688154221608,0.184110114739825,0.503649323438165,"NS",NA,NA
"ENSG00000159339",-8.10503604720536,2.94103993327719e-06,0.000255422425142781,"Down","PADI4","peptidyl arginine deiminase 4"
"ENSG00000117000",-0.890804380528756,0.200430184429418,0.529109984614017,"NS","RLF","RLF zinc finger"
"ENSG00000116544",-1.21343421798326,0.223596101844568,0.557493630483265,"NS","DLGAP3","DLG associated protein 3"
"ENSG00000236723",-0.76275219049856,0.645182128623668,0.878890788948661,"NS",NA,NA
"ENSG00000163877",-0.578434984217655,0.17481097357308,0.491411351049475,"NS","SNIP1","Smad nuclear interacting protein 1"
"ENSG00000228929",-0.517199764015086,0.599478450746122,0.856869344661744,"NS","RPS13P2","ribosomal protein S13 pseudogene 2"
"ENSG00000154027",-10.211171784737,2.2886196914691e-06,0.000219322765519106,"Down","AK5","adenylate kinase 5"
"ENSG00000116675",0.533463478986511,0.519320473220143,0.812693666894948,"NS","DNAJC6","DnaJ heat shock protein family (Hsp40) member C6"
"ENSG00000213625",0.0696734656629585,0.907259430461589,0.9749139253368,"NS","LEPROT","leptin receptor overlapping transcript"
