"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000162896",9.37796636139589,1.94723289421385e-28,4.32928289370566e-24,"Up","PIGR","polymeric immunoglobulin receptor"
"ENSG00000173467",6.26109965758845,3.89384046888285e-20,4.32858775723362e-16,"Up","AGR3","anterior gradient 3, protein disulphide isomerase family member"
"ENSG00000170786",4.45077589731721,1.78647424821307e-16,1.32395606535071e-12,"Up","SDR16C5","short chain dehydrogenase/reductase family 16C member 5"
"ENSG00000112818",7.16873914376831,4.31269000215787e-16,2.3971009204494e-12,"Up","MEP1A","meprin A subunit alpha"
"ENSG00000026025",-3.62489584438158,3.00297598721115e-15,1.33530330247331e-11,"Down","VIM","vimentin"
"ENSG00000156006",5.54512945942367,1.04361170096462e-14,3.8671031579244e-11,"Up","NAT2","N-acetyltransferase 2"
"ENSG00000108691",-4.28116868024992,1.22647235829812e-14,3.89545142029172e-11,"Down","CCL2","C-C motif chemokine ligand 2"
"ENSG00000182247",-3.55165545320669,2.58709047699809e-14,7.18984782188731e-11,"Down","UBE2E2","ubiquitin conjugating enzyme E2 E2"
"ENSG00000102837",10.2853667881658,3.41050630485081e-14,8.42508740841646e-11,"Up","OLFM4","olfactomedin 4"
"ENSG00000019505",5.83940413010777,6.12941090791697e-14,1.23886538832471e-10,"Up","SYT13","synaptotagmin 13"
