"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000142611",0.730767306127121,0.510268409978294,0.807831885917912,"NS","PRDM16","PR/SET domain 16"
"ENSG00000149527",-0.427786748270405,0.693067090064177,0.894258948431856,"NS","PLCH2","phospholipase C eta 2"
"ENSG00000272235",2.26689383178139,0.0959886968382569,0.38492724530909,"NS",NA,NA
"ENSG00000142606",3.09266897558306,2.80405983470763e-05,0.00179527318736668,"Up","MMEL1","membrane metalloendopeptidase like 1"
"ENSG00000225931",-0.555166408009553,0.715422991887917,0.904212783699416,"NS",NA,NA
"ENSG00000048707",-0.098899843650391,0.808526471569944,0.94051484365599,"NS","VPS13D","vacuolar protein sorting 13 homolog D"
"ENSG00000197921",2.45373102774208,0.101564672528325,0.397210871837979,"NS","HES5","hes family bHLH transcription factor 5"
"ENSG00000189337",-0.09299501810803,0.895602011290122,0.971247112811348,"NS","KAZN","kazrin, periplakin interacting protein"
"ENSG00000175147",0.966071261887996,0.170484266698978,0.51250819454864,"NS","TMEM51-AS1","TMEM51 antisense RNA 1"
"ENSG00000272420",1.09644278344812,0.281326648892964,0.640776896952312,"NS",NA,NA
"ENSG00000130940",1.60022660544975,0.00788251591185571,0.0890942047098034,"NS","CASZ1","castor zinc finger 1"
"ENSG00000227527",1.00358042558954,0.360098558577229,0.708172455903752,"NS",NA,NA
"ENSG00000163873",0.927584726711482,0.629270354064214,0.869288012078688,"NS","GRIK3","glutamate ionotropic receptor kainate type subunit 3"
"ENSG00000117215",-0.0148247732505532,0.990396637347612,0.997957661767101,"NS","PLA2G2D","phospholipase A2 group IID"
"ENSG00000272078",1.34307424491905,0.0870114179069177,0.365970309938265,"NS",NA,NA
"ENSG00000159339",-6.2964494216548,0.000138257454728018,0.00578419429207727,"Down","PADI4","peptidyl arginine deiminase 4"
"ENSG00000117000",-1.42814150371342,0.0402761195826913,0.237295519229888,"NS","RLF","RLF zinc finger"
"ENSG00000116544",0.301413172083388,0.756742931941563,0.922339786179768,"NS","DLGAP3","DLG associated protein 3"
"ENSG00000163877",-0.395063939708058,0.353271554204611,0.703544824300444,"NS","SNIP1","Smad nuclear interacting protein 1"
"ENSG00000228929",-0.779397358349366,0.429700889210902,0.759663048001783,"NS","RPS13P2","ribosomal protein S13 pseudogene 2"
"ENSG00000154027",-5.4493280525971,0.00109532419574198,0.0243302306150809,"Down","AK5","adenylate kinase 5"
"ENSG00000116675",0.0831423600506343,0.920205243393678,0.978554200340161,"NS","DNAJC6","DnaJ heat shock protein family (Hsp40) member C6"
"ENSG00000213625",-0.0124451574751411,0.983398381088529,0.996531172468867,"NS","LEPROT","leptin receptor overlapping transcript"
"ENSG00000286548",-0.429106670686836,0.702864973086751,0.899769202140589,"NS",NA,NA
"ENSG00000226084",-0.266575277310828,0.782589543382641,0.933268252901315,"NS","RPL17P6","ribosomal protein L17 pseudogene 6"
"ENSG00000172260",0.324805988156496,0.786794172730986,0.934035582065254,"NS","NEGR1","neuronal growth regulator 1"
"ENSG00000182183",-4.90058441432313,0.000464128528715259,0.0139021104545487,"Down","SHISAL2A","shisa like 2A"
"ENSG00000067334",-0.710141956595195,0.202569032166313,0.557495290238022,"NS","DNTTIP2","deoxynucleotidyltransferase terminal interacting protein 2"
"ENSG00000171502",-3.42605802156243,0.00917445390602618,0.0977536670467118,"NS","COL24A1","collagen type XXIV alpha 1 chain"
"ENSG00000116157",-2.90071294644367,0.000108776069874784,0.00490163180065714,"Down","GPX7","glutathione peroxidase 7"
"ENSG00000280040",2.28922441256728,0.0990017769465897,0.390924214007592,"NS",NA,NA
"ENSG00000183298",0.243804180432814,0.79443491254228,0.936210013154945,"NS","RPSAP19","ribosomal protein SA pseudogene 19"
"ENSG00000198162",-0.153249053570922,0.718749732509508,0.905309904611398,"NS","MAN1A2","mannosidase alpha class 1A member 2"
"ENSG00000232450",-1.95758283947494,0.25511218121795,0.615110693133345,"NS","RPS2P14","ribosomal protein S2 pseudogene 14"
"ENSG00000173947",1.01636244325272,0.445978735569499,0.7716367534067,"NS","CIMAP3","ciliary microtubule associated protein 3"
"ENSG00000134253",0.681868436262583,0.399883236860939,0.737940759489545,"NS","TRIM45","tripartite motif containing 45"
"ENSG00000163155",0.0383002315575382,0.951545156073815,0.989138966170878,"NS","LYSMD1","LysM domain containing 1"
"ENSG00000232499",0.103987460551858,0.918620649023644,0.978152395329886,"NS","LOC100421402","heterogeneous nuclear ribonucleoprotein A1 pseudogene"
"ENSG00000232995",0.908262883676188,0.262572538003355,0.621936083285689,"NS","LOC127814295","uncharacterized LOC127814295"
"ENSG00000271092",0.353413019299092,0.786035802067305,0.933961866996493,"NS","TLCD4-RWDD3","TLCD4-RWDD3 readthrough"
"ENSG00000143185",-3.20646037578142,0.0590243376272542,0.295960759602541,"NS","XCL2","X-C motif chemokine ligand 2"
"ENSG00000272931",0.550563578983881,0.504683542681327,0.804511799240278,"NS",NA,NA
"ENSG00000047410",-0.932098431856975,0.112875184042453,0.418278965487137,"NS","TPR","translocated promoter region, nuclear basket protein"
"ENSG00000143184",-1.93962345591588,0.168024318196753,0.508572496178307,"NS","XCL1","X-C motif chemokine ligand 1"
"ENSG00000234975",-1.29814505760116,0.0372852797319073,0.227424643039762,"NS","FTH1P2","ferritin heavy chain 1 pseudogene 2"
"ENSG00000179397",-0.0886925218935053,0.943798122816253,0.987613829301137,"NS","CATSPERE","catsper channel auxiliary subunit epsilon"
"ENSG00000162761",-0.152352102502128,0.939510634266674,0.985818769853189,"NS","LMX1A","LIM homeobox transcription factor 1 alpha"
"ENSG00000007908",-4.0366598414332,0.0135119217247291,0.123052478269161,"NS","SELE","selectin E"
"ENSG00000116574",1.58514315079571,0.000218873082606347,0.0080240532050534,"Up","RHOU","ras homolog family member U"
"ENSG00000116132",-3.21449074498848,0.0125809565608866,0.116991458783008,"NS","PRRX1","paired related homeobox 1"
"ENSG00000268062",0.652615201118385,0.662543036447363,0.883410068725479,"NS","SRP14P4","SRP14 pseudogene 4"
"ENSG00000220749",0.103054660780435,0.90487092299478,0.972567114886782,"NS","RPL21P28","ribosomal protein L21 pseudogene 28"
"ENSG00000181450",-0.156581832951263,0.79385080483876,0.936142340336517,"NS","ZNF678","zinc finger protein 678"
"ENSG00000162849",-3.60444276398454,0.0248647585899021,0.177624122562542,"NS","KIF26B","kinesin family member 26B"
"ENSG00000271811",-7.32608797882514,0.004349197096985,0.0613626718690477,"NS",NA,NA
"ENSG00000277007",-0.350822445819309,0.715988366875522,0.904334632459845,"NS",NA,NA
"ENSG00000152104",-0.955437896125171,0.361113551332371,0.709192765014654,"NS","PTPN14","protein tyrosine phosphatase non-receptor type 14"
"ENSG00000150681",-2.71466175487756,0.00722113213558308,0.0844653637677293,"NS","RGS18","regulator of G protein signaling 18"
"ENSG00000092969",-1.54794847762461,0.331248099302542,0.685620560049718,"NS","TGFB2","transforming growth factor beta 2"
"ENSG00000116183",1.75362396064019,0.140869606623955,0.466926943360446,"NS","PAPPA2","pappalysin 2"
"ENSG00000116903",-0.617887529479072,0.245555044556299,0.605978902476812,"NS","EXOC8","exocyst complex component 8"
"ENSG00000197472",-0.335955988147193,0.804328260356799,0.939840648681412,"NS","ZNF695","zinc finger protein 695"
"ENSG00000035687",-0.474268346807742,0.442677637970474,0.769281702635482,"NS","ADSS2","adenylosuccinate synthase 2"
"ENSG00000198842",10.6185669438045,0.00145104577468308,0.0298145435831449,"Up","STYXL2","serine/threonine/tyrosine interacting like 2"
"ENSG00000198756",-0.644139240759895,0.574900551797966,0.843638907507251,"NS","COLGALT2","collagen beta(1-O)galactosyltransferase 2"
"ENSG00000273367",-1.31152711244192,0.427096957585957,0.757284324043672,"NS",NA,NA
"ENSG00000185420",0.0628641633505342,0.903994920323162,0.972315662744559,"NS","SMYD3","SET and MYND domain containing 3"
"ENSG00000273483",1.38063192067183,0.24986524475201,0.610339219183079,"NS",NA,NA
"ENSG00000143341",-2.06217993543407,0.187436876642961,0.537282278599087,"NS","HMCN1","hemicentin 1"
"ENSG00000271992",0.602638882235772,0.579445061799861,0.845888902119421,"NS",NA,NA
"ENSG00000213085",-0.282364175700535,0.819898358567144,0.944984823637557,"NS","CFAP45","cilia and flagella associated protein 45"
"ENSG00000224950",-0.54402377073625,0.343213573647955,0.695607617365747,"NS",NA,NA
"ENSG00000243364",1.00534069974723,0.151931437296641,0.4855066142166,"NS","EFNA4","ephrin A4"
"ENSG00000143627",2.34290631215678,0.21309355098701,0.569939582441136,"NS","PKLR","pyruvate kinase L/R"
"ENSG00000284642",0.197367226766339,0.814717032375658,0.942730828526087,"NS",NA,NA
"ENSG00000175279",1.05194208264439,0.19687850831721,0.549720995592653,"NS","CENPS","centromere protein S"
"ENSG00000158156",-0.811254129687003,0.0603411860642179,0.299626209830527,"NS","XKR8","XK related 8"
"ENSG00000281912",1.45017166081967,0.0738691949670033,0.334784224775134,"NS","LINC01144","long intergenic non-protein coding RNA 1144"
"ENSG00000259865",-0.283531662422224,0.699086112301833,0.898258825353575,"NS",NA,NA
"ENSG00000244716",-0.630626789077774,0.427803004160737,0.757879620637371,"NS","RPL17P7","ribosomal protein L17 pseudogene 7"
"ENSG00000260238",0.224314823091299,0.844553549426929,0.952469191279789,"NS","PMF1-BGLAP","PMF1-BGLAP readthrough"
"ENSG00000242252",0.563623853734696,0.662509982292637,0.883410068725479,"NS","BGLAP","bone gamma-carboxyglutamate protein"
"ENSG00000254726",-0.595294574565626,0.60501985511117,0.858471225475227,"NS","MEX3A","mex-3 RNA binding family member A"
"ENSG00000237424",2.40746824448307,0.000576574975299997,0.0159615302363834,"Up","FOXD2-AS1","FOXD2 adjacent opposite strand RNA 1"
"ENSG00000168275",0.439259648099511,0.373847536396608,0.719975430148007,"NS","COA6","cytochrome c oxidase assembly factor 6"
"ENSG00000241563",1.42014644799188,0.197640701387059,0.550862870432758,"NS","CORT","cortistatin"
"ENSG00000116678",-0.606445256957383,0.501297159041248,0.802530501578046,"NS","LEPR","leptin receptor"
"ENSG00000186564",2.72748592436942,0.0234681227455719,0.17108466429359,"NS","FOXD2","forkhead box D2"
"ENSG00000244038",0.748449075049563,0.139041910171328,0.463449222935881,"NS","DDOST","dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit"
"ENSG00000173080",2.28541488868134,0.0208339310648787,0.160233293881688,"NS","RXFP4","relaxin family peptide/INSL5 receptor 4"
"ENSG00000120949",-2.92408447322103,0.0109610427714576,0.108486218199555,"NS","TNFRSF8","TNF receptor superfamily member 8"
"ENSG00000162521",-0.368788925707351,0.529913645502775,0.819361308043131,"NS","RBBP4","RB binding protein 4, chromatin remodeling factor"
"ENSG00000288093",-1.57908829911647,0.189654908837495,0.540824720461745,"NS",NA,NA
"ENSG00000283317",-0.847752812052123,0.454020947547457,0.777235745833655,"NS",NA,NA
"ENSG00000198658",-1.06428434611493,0.267549838961696,0.626662009014787,"NS",NA,NA
