"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000162896",9.94768241814753,8.67579045126614e-32,1.77489321052003e-27,"Up","PIGR","polymeric immunoglobulin receptor"
"ENSG00000173467",7.02101324938159,6.29947522128061e-25,6.44373320384793e-21,"Up","AGR3","anterior gradient 3, protein disulphide isomerase family member"
"ENSG00000112818",7.25171222180613,1.97011591525618e-16,1.3434877131437e-12,"Up","MEP1A","meprin A subunit alpha"
"ENSG00000188257",6.44123812355862,3.48838341545527e-16,1.7841336978346e-12,"Up","PLA2G2A","phospholipase A2 group IIA"
"ENSG00000157111",4.87524269694636,1.06946715725754e-15,4.37583182063497e-12,"Up","TMEM171","transmembrane protein 171"
"ENSG00000113924",5.68140027290354,3.16971804606247e-15,1.0807681964391e-11,"Up","HGD","homogentisate 1,2-dioxygenase"
"ENSG00000137860",13.0204556135964,2.4953479580751e-14,7.29283264661433e-11,"Up","SLC28A2","solute carrier family 28 member 2"
"ENSG00000189221",5.0153679492926,5.44670694947144e-13,1.39285913465358e-09,"Up","MAOA","monoamine oxidase A"
"ENSG00000166869",9.779607869634,9.44456900172249e-13,2.1468554737471e-09,"Up","CHP2","calcineurin like EF-hand protein 2"
"ENSG00000156006",5.11027370773803,1.07997316407053e-12,2.2094090990555e-09,"Up","NAT2","N-acetyltransferase 2"
