"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000142611",-1.1341375481501,0.292225977221506,1,"NS","PRDM16","PR/SET domain 16"
"ENSG00000149527",0.275567261048612,0.799443507184152,1,"NS","PLCH2","phospholipase C eta 2"
"ENSG00000272235",-1.05569080288098,0.401658330732299,1,"NS",NA,NA
"ENSG00000142606",0.288312091699832,0.671531222138024,1,"NS","MMEL1","membrane metalloendopeptidase like 1"
"ENSG00000225931",-1.30851593913197,0.382951525002125,1,"NS",NA,NA
"ENSG00000048707",-0.345642612022095,0.396544461487345,1,"NS","VPS13D","vacuolar protein sorting 13 homolog D"
"ENSG00000197921",-0.36321027597228,0.796545640146293,1,"NS","HES5","hes family bHLH transcription factor 5"
"ENSG00000189337",-0.508360647605081,0.472305176951987,1,"NS","KAZN","kazrin, periplakin interacting protein"
"ENSG00000175147",-0.824355034081088,0.229111776277533,1,"NS","TMEM51-AS1","TMEM51 antisense RNA 1"
"ENSG00000272420",1.78920794416375,0.0837857766706637,1,"NS",NA,NA
"ENSG00000130940",-0.221592178190515,0.711145641180482,1,"NS","CASZ1","castor zinc finger 1"
"ENSG00000227527",0.35114014987624,0.73729178167234,1,"NS",NA,NA
"ENSG00000163873",0.867181842738749,0.650812938723708,1,"NS","GRIK3","glutamate ionotropic receptor kainate type subunit 3"
"ENSG00000117215",0.527517432572482,0.669367013047459,1,"NS","PLA2G2D","phospholipase A2 group IID"
"ENSG00000274944",-0.94189742549574,0.63911537623982,1,"NS",NA,NA
"ENSG00000272078",0.29619270270297,0.697791098468846,1,"NS",NA,NA
"ENSG00000159339",1.80858662555056,0.304900221783722,1,"NS","PADI4","peptidyl arginine deiminase 4"
"ENSG00000117000",-0.537337123184666,0.440688438183316,1,"NS","RLF","RLF zinc finger"
"ENSG00000116544",1.51484739006665,0.126270280812261,1,"NS","DLGAP3","DLG associated protein 3"
"ENSG00000236723",-0.153398237323131,0.927502266859137,1,"NS",NA,NA
"ENSG00000284686",-1.97203503085767,0.429560190327603,1,"NS",NA,NA
"ENSG00000163877",0.183371044509597,0.667227707021998,1,"NS","SNIP1","Smad nuclear interacting protein 1"
"ENSG00000228929",-0.26219759433428,0.791039656914829,1,"NS","RPS13P2","ribosomal protein S13 pseudogene 2"
"ENSG00000287703",0.719493596920334,0.741121613406552,1,"NS",NA,NA
"ENSG00000154027",4.76184373213988,0.0307988307460934,1,"NS","AK5","adenylate kinase 5"
"ENSG00000237852",2.75805307050166,0.29962691326698,1,"NS",NA,NA
"ENSG00000116675",-0.450321118935877,0.585145747083756,1,"NS","DNAJC6","DnaJ heat shock protein family (Hsp40) member C6"
"ENSG00000213625",-0.0821186231380996,0.890765201064384,1,"NS","LEPROT","leptin receptor overlapping transcript"
"ENSG00000286548",0.0516583547296353,0.963670232229898,1,"NS",NA,NA
"ENSG00000226084",0.835943494716744,0.388007825663997,1,"NS","RPL17P6","ribosomal protein L17 pseudogene 6"
"ENSG00000230728",1.22872750799059,0.486396251964769,1,"NS",NA,NA
"ENSG00000172260",1.88563116504482,0.119173044222364,1,"NS","NEGR1","neuronal growth regulator 1"
"ENSG00000182183",3.0201096533254,0.0658646005247509,1,"NS","SHISAL2A","shisa like 2A"
"ENSG00000067334",-0.0273387269836322,0.960894136075424,1,"NS","DNTTIP2","deoxynucleotidyltransferase terminal interacting protein 2"
"ENSG00000232882",-0.449725484063053,0.738268285269772,1,"NS",NA,NA
"ENSG00000171502",0.246637238435169,0.855093467170615,1,"NS","COL24A1","collagen type XXIV alpha 1 chain"
