"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000129824",25.1025183795335,4.88079607495033e-12,1.31615546957111e-07,"Up","RPS4Y1","ribosomal protein S4 Y-linked 1"
"ENSG00000100604",11.0850196141202,2.05863438344506e-11,2.77565673919897e-07,"Up","CHGA","chromogranin A"
"ENSG00000198692",22.7087006974346,5.47848089858804e-11,4.92442386371083e-07,"Up","EIF1AY","eukaryotic translation initiation factor 1A Y-linked"
"ENSG00000188257",4.97858491827182,2.52537204768453e-10,1.70247956594653e-06,"Up","PLA2G2A","phospholipase A2 group IIA"
"ENSG00000272438",5.75234098903681,3.25238873218892e-09,1.75407829104413e-05,"Up",NA,NA
"ENSG00000071203",6.1340370864526,4.38253560161249e-09,1.95808361888258e-05,"Up","MS4A12","membrane spanning 4-domains A12"
"ENSG00000012817",24.5074945214147,5.08291379224879e-09,1.95808361888258e-05,"Up","KDM5D","lysine demethylase 5D"
"ENSG00000291033",24.4084995532806,6.83981354452873e-09,2.30553015052202e-05,"Up","TXLNGY","taxilin gamma Y-linked (pseudogene)"
"ENSG00000197888",-27.2815141995044,1.23938329459152e-08,3.7134677691061e-05,"Down","UGT2B17","UDP glucuronosyltransferase family 2 member B17"
"ENSG00000254415",-20.4369976686798,2.00273338723988e-08,5.40057085203106e-05,"Down","SIGLEC14","sialic acid binding Ig like lectin 14"
