.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR36750771_1_paired	1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR36750771_2_paired	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR36750772_1_paired	1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR36750772_2_paired	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR36750775_1_paired	1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR36750775_2_paired	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR36750776_1_paired	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
SRR36750776_2_paired	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR36750778_1_paired	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
SRR36750778_2_paired	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR36750779_1_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
SRR36750779_2_paired	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR36750780_1_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
SRR36750780_2_paired	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR36750781_1_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
SRR36750781_2_paired	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR36750783_1_paired	1	1	0.5	1	0.25	0.5	1	0.5	0.25	1	1
SRR36750783_2_paired	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR36750784_1_paired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR36750784_2_paired	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
