Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR36750771_1_paired - polya	(1, 0.0022475564067289066)	(2, 0.005962653073544177)	(3, 0.007917318041810468)	(4, 0.010827734019796871)	(5, 0.013146200985311463)	(6, 0.015495498628558962)	(7, 0.018276425760067157)	(8, 0.024744701948431005)	(9, 0.03515005568328705)	(10, 0.042925552607526146)	(12, 0.048821919723944576)	(14, 0.05958953392216228)	(16, 0.07032785897653372)	(18, 0.07721080778040518)	(20, 0.08517591337270164)	(22, 0.09354335930941254)	(24, 0.10101979865964245)	(26, 0.11066671772226899)	(28, 0.12013173578627138)	(30, 0.12834502833431777)	(32, 0.13544841648397948)	(34, 0.14382048702235034)	(36, 0.15096703812083812)	(38, 0.1577451626204177)	(40, 0.16526322338558702)	(42, 0.17228491023925654)	(44, 0.1793882983889183)	(46, 0.18739502539615416)	(48, 0.19424560198840607)	(50, 0.20111005238563776)	(52, 0.20845083675384288)	(54, 0.21738094255917934)	(56, 0.22499457842532067)	(58, 0.23296893322093704)	(60, 0.24080609150064192)	(62, 0.2517124437486577)	(64, 0.26035582425107817)	(66, 0.2704467050730585)	(68, 0.28226564538196836)	(70, 0.29284210937824207)	(72, 0.300965992960863)	(74, 0.3082589897785821)	(76, 0.3160283205672746)	(78, 0.3240859181927698)	(80, 0.33027517674765083)	(82, 0.3367573267409945)	(84, 0.34624546781329657)	(86, 0.35795341768236794)	(88, 0.36896305270078894)	(90, 0.3816252120456938)	(92, 0.3919920274333837)	(94, 0.4017499369358487)	(96, 0.4090398506857945)	(98, 0.4156838617372359)	(100, 0.4240667230128133)	(102, 0.43215823438381473)	(104, 0.44035457005910794)	(106, 0.44778630492662513)	(108, 0.4566100448937831)	(110, 0.4644718677156743)	(112, 0.47156138206035625)	(114, 0.47840270944928825)	(116, 0.4855184298700431)	(118, 0.49315827181225746)	(120, 0.5000905497005015)	(122, 0.5068239697173684)	(124, 0.5143435720164243)	(126, 0.5229283742311523)	(128, 0.5311509159825185)	(130, 0.5406128509787476)	(132, 0.5510875737385027)	(134, 0.562461010754172)	(136, 0.5722158371888637)	(138, 0.5809964142071956)
SRR36750771_1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 9.249203319872043e-05)	(4, 0.0001603195242111154)	(5, 0.00020039940526389425)	(6, 0.00031755598064894016)	(7, 0.00044396175935385805)	(8, 0.0008447605698816466)	(9, 0.0014058789046205505)	(10, 0.0018313422573346646)	(12, 0.0023847529226403417)	(14, 0.0029150405796463386)	(16, 0.0034222052283526556)	(18, 0.0038045056322407005)	(20, 0.004237676654388041)	(22, 0.0047972534552403)	(24, 0.00518109539301499)	(26, 0.005586518805202714)	(28, 0.006042812835649735)	(30, 0.006531479077716307)	(32, 0.007075640539702112)	(34, 0.007582805188408429)	(36, 0.008205584878613148)	(38, 0.008812949229951413)	(40, 0.009468101131775682)	(42, 0.010174123651859247)	(44, 0.01091405991744901)	(46, 0.01170794986907136)	(48, 0.012551168905066362)	(50, 0.013456049296527177)	(52, 0.014302351400295468)	(54, 0.015292016155521778)	(56, 0.01642966816386604)	(58, 0.017573486307756882)	(60, 0.018708055248327853)	(62, 0.019944365425417415)	(64, 0.02113597111979426)	(66, 0.022490979406155517)	(68, 0.02437319228174948)	(70, 0.03833024009143639)	(72, 0.04404316467534402)	(74, 0.04615198303227485)	(76, 0.04774592907106613)	(78, 0.0492782137543916)	(80, 0.05079354156496397)	(82, 0.05229962017221647)	(84, 0.05376716043230283)	(86, 0.0553503157338876)	(88, 0.05691343109494597)	(90, 0.05860911837025584)	(92, 0.060341802458845205)	(94, 0.06225947061383201)	(96, 0.06419563717545856)	(98, 0.06612717913542517)	(100, 0.06802172428211228)	(102, 0.06987464801386)	(104, 0.07198654943856411)	(106, 0.07398591888954312)	(108, 0.07637375487995675)	(110, 0.0784594502285879)	(112, 0.08043415513738059)	(114, 0.08263700706139676)	(116, 0.08472270241002791)	(118, 0.0867729424792662)	(120, 0.08908986791089415)	(122, 0.09181838289025641)	(124, 0.09405977316143874)	(126, 0.0966248855488166)	(128, 0.09947672323911047)	(130, 0.10257674788515425)	(132, 0.1053499673472292)	(134, 0.10804456858108527)	(136, 0.11097039989793812)	(138, 0.11346922632819022)
SRR36750771_2_paired - polya	(1, 0.0040172373085977575)	(2, 0.00891623200035665)	(3, 0.01516561037681686)	(4, 0.025352066299769268)	(5, 0.03580674911899797)	(6, 0.04557390782478284)	(7, 0.055405810953806825)	(8, 0.07100613388665768)	(9, 0.09052195289158768)	(10, 0.11262754882608186)	(12, 0.13417202642583714)	(14, 0.16158204046427793)	(16, 0.18868066465761638)	(18, 0.21085717115089625)	(20, 0.23309688053352856)	(22, 0.25503599080826506)	(24, 0.2747460430829124)	(26, 0.29537176648622704)	(28, 0.31600211449120164)	(30, 0.33417988208252347)	(32, 0.351341778842546)	(34, 0.37028414724164405)	(36, 0.38620819229069037)	(38, 0.4011441141183971)	(40, 0.4162187739959019)	(42, 0.43129651694118)	(44, 0.4457684370690064)	(46, 0.46089396756477047)	(48, 0.47463211756255375)	(50, 0.4872572800941791)	(52, 0.5008181536949982)	(54, 0.5151837079846461)	(56, 0.5278797810750571)	(58, 0.5415485620479413)	(60, 0.5548581656252372)	(62, 0.5703613719232294)	(64, 0.5836077726111728)	(66, 0.5986408110737381)	(68, 0.6151938019485359)	(70, 0.6309159060584316)	(72, 0.6431633927878289)	(74, 0.6539572130621196)	(76, 0.6656158338468183)	(78, 0.6777322901958507)	(80, 0.6879526598643093)	(82, 0.6984890439795302)	(84, 0.7113546857974722)	(86, 0.7267515262572859)	(88, 0.7409922163021154)	(90, 0.7574511736098277)	(92, 0.7710937485066391)	(94, 0.7841042945099257)	(96, 0.7947979150815845)	(98, 0.8051046106476952)	(100, 0.8166013703742961)	(102, 0.8276957897564827)	(104, 0.8386499295549844)	(106, 0.8488225116729571)	(108, 0.8603100221962381)	(110, 0.870373155408259)	(112, 0.8803422550531943)	(114, 0.889767193236144)	(116, 0.8994449429765033)	(118, 0.909135024987956)	(120, 0.9185985015180718)	(122, 0.9276241824243803)	(124, 0.9372156062670876)	(126, 0.9479046022370863)	(128, 0.9578659942125884)	(130, 0.9694937843195544)	(132, 0.9819293381831222)	(134, 0.9945899559941405)	(136, 1.0060281374330489)	(138, 1.0167310072080276)
SRR36750771_2_paired - polyg	(1, 0.5204958337580259)	(2, 0.5308056123919099)	(3, 0.5313543984555557)	(4, 0.531961762806894)	(5, 0.532513631938313)	(6, 0.5330839994763718)	(7, 0.5338239357419615)	(8, 0.5348814279882003)	(9, 0.5362903899605941)	(10, 0.5382681779371601)	(12, 0.5409519884338096)	(14, 0.5426954632596055)	(16, 0.5436126759221594)	(18, 0.5443695690605024)	(20, 0.545044760902853)	(22, 0.545840192388362)	(24, 0.5465600887134253)	(26, 0.5472429882252092)	(28, 0.547982924490799)	(30, 0.5486288271893034)	(32, 0.5493810957259864)	(34, 0.5500747859749767)	(36, 0.5507607685545339)	(38, 0.5514421265324312)	(40, 0.5520679892904091)	(42, 0.5527786364121527)	(44, 0.5534599943900498)	(46, 0.5540920232835744)	(48, 0.5547548828548319)	(50, 0.5553560810706237)	(52, 0.555985026896375)	(54, 0.5567064647553249)	(56, 0.5574664409614412)	(58, 0.5581154267277189)	(60, 0.5587690370956564)	(62, 0.5594920164884931)	(64, 0.5602057466780099)	(66, 0.560987304358539)	(68, 0.5617395728952219)	(70, 0.5624702599574919)	(72, 0.5632317776974947)	(74, 0.5640256676491171)	(76, 0.5648303483379459)	(78, 0.5656535274334145)	(80, 0.5665630324265353)	(82, 0.5674648297502227)	(84, 0.5683589194044771)	(86, 0.569376331769663)	(88, 0.5703444150504763)	(90, 0.5714574025166342)	(92, 0.5725935129910918)	(94, 0.5738544877103677)	(96, 0.5751524592429231)	(98, 0.5763425234034134)	(100, 0.5774508862679113)	(102, 0.5786409504284016)	(104, 0.5799712941725765)	(106, 0.5814619574409625)	(108, 0.5829464545738019)	(110, 0.5843692903511756)	(112, 0.5858214152723955)	(114, 0.5873737398962473)	(116, 0.5888351140207873)	(118, 0.5904059370512788)	(120, 0.5920230060983698)	(122, 0.5937556901869591)	(124, 0.5954359621234024)	(126, 0.5972703874485105)	(128, 0.599063191358679)	(130, 0.6009793179797791)	(132, 0.6030927609383698)	(134, 0.6051799978208876)	(136, 0.6074059727532035)	(138, 0.6095070834407011)
SRR36750772_1_paired - polya	(1, 0.00255637660385196)	(2, 0.006210187608347439)	(3, 0.008185569529505773)	(4, 0.011021684313913923)	(5, 0.013470469309859656)	(6, 0.015531924517342971)	(7, 0.01819589272910116)	(8, 0.024134949485524904)	(9, 0.03258304253832187)	(10, 0.040826711536097)	(12, 0.04635261651816084)	(14, 0.0563780025428631)	(16, 0.06759335175100822)	(18, 0.07475895283756297)	(20, 0.08230327638394763)	(22, 0.09121401335074136)	(24, 0.09909617454595157)	(26, 0.1085922098597552)	(28, 0.11842177915806812)	(30, 0.12685696121791634)	(32, 0.1341753423876979)	(34, 0.1426406500977599)	(36, 0.14961688995439965)	(38, 0.1564059204132826)	(40, 0.16516602912900763)	(42, 0.17253175060626796)	(44, 0.17980494330072894)	(46, 0.18844454941559896)	(48, 0.1961115273949967)	(50, 0.20303827511199962)	(52, 0.2110581535653298)	(54, 0.22083392705968963)	(56, 0.22903455941430229)	(58, 0.23729974673365867)	(60, 0.24584036856925498)	(62, 0.25635206866169336)	(64, 0.26565874274558204)	(66, 0.27555717067295493)	(68, 0.285907483353534)	(70, 0.2962857698521687)	(72, 0.3045595645001576)	(74, 0.31146479389557924)	(76, 0.31928670379036195)	(78, 0.3276939120321546)	(80, 0.33423332996069505)	(82, 0.341056789734108)	(84, 0.35095091399716466)	(86, 0.3629602892716578)	(88, 0.3730158009465737)	(90, 0.3840934328965989)	(92, 0.3941812220538868)	(94, 0.40497696399119765)	(96, 0.4128354550326685)	(98, 0.41991928649721444)	(100, 0.4280187827403953)	(102, 0.4360171428721442)	(104, 0.4445039689037874)	(106, 0.4523839782668395)	(108, 0.4616691340291469)	(110, 0.46995153600576833)	(112, 0.47700954548441676)	(114, 0.4843494449757796)	(116, 0.49189376852216427)	(118, 0.5000384532406656)	(120, 0.5073396197531823)	(122, 0.5148947024603576)	(124, 0.5233255808558894)	(126, 0.5324988413459745)	(128, 0.5414138819770844)	(130, 0.5522655715505065)	(132, 0.5640683709378196)	(134, 0.5764048247003477)	(136, 0.5877385246771896)	(138, 0.5981447849938799)
SRR36750772_1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 9.037695064123093e-05)	(4, 0.0001463245867524691)	(5, 0.00019366489423120912)	(6, 0.00028404184487244003)	(7, 0.0004260627673086601)	(8, 0.0007402302623948437)	(9, 0.001131863715173511)	(10, 0.0014632458675246911)	(12, 0.0019301934458377176)	(14, 0.0024659996532107294)	(16, 0.0029114289099425104)	(18, 0.0032578738874005624)	(20, 0.0036774811582348486)	(22, 0.004146580568705999)	(24, 0.004480114553215304)	(26, 0.00482871136283148)	(28, 0.00527844428387951)	(30, 0.005777669344564406)	(32, 0.006393093341788026)	(34, 0.006881559241682297)	(36, 0.007447491099269053)	(38, 0.008037093110595177)	(40, 0.008760108715725025)	(42, 0.009414265691794887)	(44, 0.01008778915728787)	(46, 0.010853841405580208)	(48, 0.011622045486030672)	(50, 0.012319239105263023)	(52, 0.013113265171610981)	(54, 0.014092348803557649)	(56, 0.015144594728880554)	(58, 0.016158107675357213)	(60, 0.01719744260773137)	(62, 0.01808830112119493)	(64, 0.019202950179103444)	(66, 0.02023798144716135)	(68, 0.022785750722380815)	(70, 0.04878203502468345)	(72, 0.052110919373302124)	(74, 0.05380010761742989)	(76, 0.055325756617540196)	(78, 0.05676318049916739)	(80, 0.05829743682791019)	(82, 0.059797263842123)	(84, 0.06115937359821584)	(86, 0.06252793885078305)	(88, 0.06402991769715398)	(90, 0.06575783892012799)	(92, 0.06752234128979012)	(94, 0.06917925205154601)	(96, 0.07141285383167931)	(98, 0.0733322881167264)	(100, 0.07541956531010721)	(102, 0.07735836608457741)	(104, 0.07938324014537262)	(106, 0.0813005225982616)	(108, 0.08394727615275477)	(110, 0.08604316067476808)	(112, 0.08811107137872577)	(114, 0.09042859461302591)	(116, 0.09257397127467609)	(118, 0.09503566726357056)	(120, 0.09788469304092745)	(122, 0.10126306952918299)	(124, 0.10396361888762931)	(126, 0.10685783314030681)	(128, 0.11006406305591239)	(130, 0.11387926147226721)	(132, 0.11714574268830028)	(134, 0.12028311397484587)	(136, 0.12370237527410577)	(138, 0.12706568893725442)
SRR36750772_2_paired - polya	(1, 0.0049276956421052094)	(2, 0.009601475089551724)	(3, 0.019211557507735944)	(4, 0.03282404774003182)	(5, 0.04687120806826885)	(6, 0.0594551225289812)	(7, 0.0722111835623435)	(8, 0.0914356520630282)	(9, 0.11282916737910242)	(10, 0.14015528395512605)	(12, 0.16865199722516938)	(14, 0.20251107623325912)	(16, 0.2368973541200894)	(18, 0.26686161692197363)	(20, 0.29525719408058515)	(22, 0.32326328961857614)	(24, 0.3487581970280358)	(26, 0.3750535860003177)	(28, 0.40092076037313285)	(30, 0.4246468617486141)	(32, 0.44648365448926197)	(34, 0.468892834583971)	(36, 0.4882571721749338)	(38, 0.5073202532637591)	(40, 0.5265296589393369)	(42, 0.5446954260182244)	(44, 0.562708413013885)	(46, 0.5815197297402097)	(48, 0.5979941567428113)	(50, 0.6137627827975479)	(52, 0.6302113878142519)	(54, 0.648164123509485)	(56, 0.6642727390452055)	(58, 0.6805362864963107)	(60, 0.6964512371377998)	(62, 0.7140618315198911)	(64, 0.7305470176832832)	(66, 0.7479295178566134)	(68, 0.7655853007140252)	(70, 0.782442753840773)	(72, 0.7967029455526643)	(74, 0.8098076033956427)	(76, 0.823581481039798)	(78, 0.8370282801959184)	(80, 0.8500511684168881)	(82, 0.8626028053952286)	(84, 0.8775709498871429)	(86, 0.8937936125272439)	(88, 0.9088671967949062)	(90, 0.9248359432403486)	(92, 0.9393005590072617)	(94, 0.954612996644476)	(96, 0.9668935027708927)	(98, 0.9792988151624807)	(100, 0.9914652741845169)	(102, 1.0039953928412761)	(104, 1.0166201921129927)	(106, 1.028528431276054)	(108, 1.0417299215661482)	(110, 1.0535563911072008)	(112, 1.0646254157285933)	(114, 1.0754125503372718)	(116, 1.08657840740578)	(118, 1.0979615995222587)	(120, 1.1089918911648051)	(122, 1.120200784876476)	(124, 1.131086903764428)	(126, 1.1432942475974688)	(128, 1.1551938794318974)	(130, 1.1686665005739152)	(132, 1.1831483309980935)	(134, 1.1978474964702421)	(136, 1.212081866196236)	(138, 1.2252790528220139)
SRR36750772_2_paired - polyg	(1, 0.5696287052344134)	(2, 0.58584491237804)	(3, 0.5862322421665025)	(4, 0.5867271635628711)	(5, 0.587226388623556)	(6, 0.5876954880340272)	(7, 0.5882119277519771)	(8, 0.5891845558874493)	(9, 0.5904197075462129)	(10, 0.5923090161810463)	(12, 0.5947965341558382)	(14, 0.5965244553788123)	(16, 0.5973249369416345)	(18, 0.5978951724635375)	(20, 0.5984180676779618)	(22, 0.5990334916751854)	(24, 0.5996424601759347)	(26, 0.6001524443974102)	(28, 0.60070331342989)	(30, 0.601342407580853)	(32, 0.6019556797459186)	(34, 0.6025947738968815)	(36, 0.6031327319364126)	(38, 0.6036792973045764)	(40, 0.6042344700013724)	(42, 0.6048477421664379)	(44, 0.6054437996742384)	(46, 0.6061108676432571)	(48, 0.6067413544655875)	(50, 0.6073266528125975)	(52, 0.607942076809821)	(54, 0.6086371185968953)	(56, 0.6093579823698669)	(58, 0.6100250503388855)	(60, 0.6106576889933742)	(62, 0.611326908794551)	(64, 0.6120628353926295)	(66, 0.6128977462699818)	(68, 0.6137262016508598)	(70, 0.6144944057313103)	(72, 0.6151915993505426)	(74, 0.6159468924380443)	(76, 0.6166569970502255)	(78, 0.6174746932703128)	(80, 0.6185613685101656)	(82, 0.6197341170363435)	(84, 0.6209671168629489)	(86, 0.6221807502001311)	(88, 0.6233362840690441)	(90, 0.6246854828321882)	(92, 0.6258689905191566)	(94, 0.6270030060664883)	(96, 0.6283134718507861)	(98, 0.6295873564883958)	(100, 0.6309516180766468)	(102, 0.6322663875252609)	(104, 0.6336887485817813)	(106, 0.6351670572744128)	(108, 0.6366797952815744)	(110, 0.6383539207005953)	(112, 0.6400452607768812)	(114, 0.641650527566842)	(116, 0.643359082300393)	(118, 0.6450590297053114)	(120, 0.6469913749833072)	(122, 0.6488720762895079)	(124, 0.6506172121697471)	(126, 0.652431206679046)	(128, 0.6544238032574694)	(130, 0.6566229757230726)	(132, 0.6588501220067315)	(134, 0.6611482787516085)	(136, 0.6631408753300319)	(138, 0.6652001787053571)
SRR36750775_1_paired - polya	(1, 0.002648502477779894)	(2, 0.006812886503317178)	(3, 0.008906519131540593)	(4, 0.011921121303873215)	(5, 0.014572483935516802)	(6, 0.016780522718287946)	(7, 0.01934322058015704)	(8, 0.025812888619831036)	(9, 0.035523110987069416)	(10, 0.043851879038143984)	(12, 0.049999779768152494)	(14, 0.06079972075745798)	(16, 0.07406940460806254)	(18, 0.08509386767566793)	(20, 0.09670752243919413)	(22, 0.10717568558031121)	(24, 0.11826021187905417)	(26, 0.12926179371575003)	(28, 0.13971565608754863)	(30, 0.1490597787602343)	(32, 0.1575530056584712)	(34, 0.1658088397860216)	(36, 0.1728777100601393)	(38, 0.18008958802744168)	(40, 0.18804653607623614)	(42, 0.19582186435468607)	(44, 0.2048885521025935)	(46, 0.21310005384525663)	(48, 0.2206522901223385)	(50, 0.22820309632248853)	(52, 0.23606136906298555)	(54, 0.24566862589113098)	(56, 0.25331095701491924)	(58, 0.2609961904466628)	(60, 0.2687986901868178)	(62, 0.27851034263098806)	(64, 0.287170888530251)	(66, 0.29792077682694185)	(68, 0.30809434412009856)	(70, 0.3169164887126602)	(72, 0.32478477199168015)	(74, 0.33176354741909153)	(76, 0.33916705569526134)	(78, 0.34679079581893557)	(80, 0.35314033739633444)	(82, 0.36001900743851656)	(84, 0.37028552973224327)	(86, 0.3819349364190656)	(88, 0.39175956494085173)	(90, 0.40298423877891565)	(92, 0.41476950277426344)	(94, 0.4252777080694722)	(96, 0.4336522385823659)	(98, 0.4406982276255741)	(100, 0.44816179913288146)	(102, 0.4569167301096463)	(104, 0.4652097462374247)	(106, 0.4729493225925785)	(108, 0.48174858595423053)	(110, 0.48905913922983035)	(112, 0.4960364845803099)	(114, 0.5027864476986258)	(116, 0.5101441935129765)	(118, 0.5182055371777958)	(120, 0.5264699517669373)	(122, 0.5336932703496944)	(124, 0.5419619751696314)	(126, 0.5512832166114076)	(128, 0.5600038257418081)	(130, 0.5701788231118966)	(132, 0.5804610762518736)	(134, 0.5913053496260663)	(136, 0.6014474552267224)	(138, 0.6103711352814452)
SRR36750775_1_paired - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00014300769318465947)	(4, 0.0001944904627311369)	(5, 0.00029459584796039855)	(6, 0.0004261629256902853)	(7, 0.0005806112343297175)	(8, 0.0009896132368378437)	(9, 0.0016074064713955726)	(10, 0.002153695859360972)	(12, 0.002732877016758843)	(14, 0.003377841713021657)	(16, 0.003934141639509982)	(18, 0.004404636950087512)	(20, 0.004906593953165667)	(22, 0.005411411110107515)	(24, 0.005798961958637942)	(26, 0.006280897884670245)	(28, 0.006802875964794251)	(30, 0.007326284121850105)	(32, 0.007894024663793204)	(34, 0.008486076513577693)	(36, 0.009188244287114372)	(38, 0.00986896090667335)	(40, 0.010533946679982018)	(42, 0.011324779223293184)	(44, 0.012112751612740658)	(46, 0.012905014232983672)	(48, 0.01372444831493177)	(50, 0.014546742550743563)	(52, 0.015546366326104332)	(54, 0.016746200871923626)	(56, 0.01799608811035755)	(58, 0.01920879334856346)	(60, 0.02038574666347321)	(62, 0.021697127209976536)	(64, 0.02310575298784543)	(66, 0.024438584688326458)	(68, 0.02657940985530081)	(70, 0.03923845085600687)	(72, 0.04229595533629489)	(74, 0.04391480242314523)	(76, 0.04529625673930905)	(78, 0.046687721593995785)	(80, 0.04800339237129465)	(82, 0.04940486776450431)	(84, 0.05072053854180318)	(86, 0.05225930132047012)	(88, 0.054026876408232505)	(90, 0.05588740649656493)	(92, 0.057756517046488424)	(94, 0.05970857205845903)	(96, 0.061952362764526335)	(98, 0.0641432406241153)	(100, 0.06615964909801902)	(102, 0.06810741387919408)	(104, 0.07019389612275825)	(106, 0.07215453159631995)	(108, 0.07492888084410235)	(110, 0.07714407001153271)	(112, 0.07934352833271277)	(114, 0.08182185165560293)	(116, 0.08410854466962563)	(118, 0.08643098960694451)	(120, 0.08915671623904411)	(122, 0.09265754456820458)	(124, 0.09524455373791507)	(126, 0.0981733512943369)	(128, 0.1016083960846324)	(130, 0.10498194756685852)	(132, 0.10792361581566698)	(134, 0.11071226583276783)	(136, 0.11424026562363337)	(138, 0.117236276795852)
