Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR36750771_1_paired	(1, 0.0)	(2, 0.015677399627183113)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00019115020194402223)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00010297446362790874)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 8.01597621055577e-06)	(90, 0.0)	(95, 3.699681327948817e-06)	(100, 0.0)	(105, 4.192972171675326e-05)	(110, 0.0)	(115, 4.932908437265089e-06)	(120, 0.0)	(125, 4.562940304470208e-05)	(130, 0.0)	(135, 1.2332271093162724e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750771_2_paired	(1, 0.0)	(2, 0.013565498202478996)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 4.932908437265089e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.002830256215880845)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750772_1_paired	(1, 0.0)	(2, 0.01662505525367024)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0002108795514962055)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 9.640208068397964e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 8.607328632498184e-06)	(90, 0.0)	(95, 6.025130042748728e-06)	(100, 0.0)	(105, 3.356858166674291e-05)	(110, 0.0)	(115, 6.885862905998547e-06)	(120, 0.0)	(125, 5.2504704658238915e-05)	(130, 0.0)	(135, 7.746595769248364e-06)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750772_2_paired	(1, 0.0)	(2, 0.013091746850029737)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 2.5821985897494546e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0027491807652199195)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750775_1_paired	(1, 0.0)	(2, 0.015882434405088283)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00019163030886744373)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 7.894024663793204e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.4300769318465949e-05)	(90, 0.0)	(95, 4.5762461819091036e-06)	(100, 0.0)	(105, 3.4321846364318276e-05)	(110, 0.0)	(115, 5.720307727386379e-06)	(120, 0.0)	(125, 4.919464645552286e-05)	(130, 0.0)	(135, 1.3728738545727312e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750775_2_paired	(1, 0.0)	(2, 0.013414121620721059)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 2.2881230909545518e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0028080990633739737)	(130, 0.0)	(135, 5.720307727386379e-07)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750776_1_paired	(1, 0.0)	(2, 0.01626878084862021)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0001879613855599562)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 9.947494866557682e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.3301882670396899e-05)	(90, 0.0)	(95, 7.518455422398247e-06)	(100, 0.0)	(105, 5.0315817057588276e-05)	(110, 0.0)	(115, 9.253483596797843e-06)	(120, 0.0)	(125, 5.205084523198787e-05)	(130, 0.0)	(135, 1.1566854495997303e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750776_2_paired	(1, 0.0)	(2, 0.013244048397916913)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 3.470056348799191e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.00278992530443455)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750778_1_paired	(1, 0.0)	(2, 0.0011964081183595218)	(3, 0.00036521932034132764)	(4, 0.0008563763373520787)	(5, 0.0)	(6, 0.001306603602945267)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 5.28938326011578e-05)	(20, 0.0001246783197027291)	(25, 0.004081011060572664)	(30, 0.0026900292008588825)	(35, 5.5412586534546264e-05)	(40, 6.296884833471167e-07)	(45, 0.0)	(50, 0.0)	(55, 0.00017442370988715133)	(60, 2.5187539333884667e-06)	(65, 2.5187539333884667e-06)	(70, 6.296884833471167e-07)	(75, 1.2593769666942333e-06)	(80, 0.00011271423851913389)	(85, 0.043153811140744604)	(90, 6.296884833471167e-07)	(95, 2.5187539333884667e-06)	(100, 3.7781309000827002e-06)	(105, 0.0009042326620864596)	(110, 8.815638766859634e-06)	(115, 6.233915985136455e-05)	(120, 1.2593769666942333e-06)	(125, 6.296884833471167e-07)	(130, 0.0005919071743462897)	(135, 3.1484424167355832e-06)	(140, 1.0704704216900984e-05)	(145, 1.9520342983760618e-05)	(150, 0.0)
SRR36750778_2_paired	(1, 0.0)	(2, 0.0)	(3, 0.004275584801926922)	(4, 0.0008469310101018719)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.1964081183595217e-05)	(20, 4.407819383429817e-06)	(25, 0.0)	(30, 0.0)	(35, 0.00028398950598954964)	(40, 0.00011775174638591082)	(45, 0.0)	(50, 6.548760226810014e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 6.296884833471167e-07)	(75, 0.00023109567338839182)	(80, 6.926573316818283e-06)	(85, 9.445327250206751e-06)	(90, 3.7781309000827002e-06)	(95, 1.13343927002481e-05)	(100, 0.000161829940220209)	(105, 7.304386406826553e-05)	(110, 4.407819383429817e-05)	(115, 0.00023109567338839182)	(120, 0.00012215956576934066)	(125, 0.001921179562692053)	(130, 0.0006800635791440142)	(135, 0.0010238736737860645)	(140, 0.0010553583233998362)	(145, 0.0008947897463543095)	(150, 0.0)
