Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR36750771_1_paired	(1, 36.489747042305176)	(2, 36.53545774584706)	(3, 36.568990516668514)	(4, 36.59652046204334)	(5, 36.617414165697504)	(6, 36.59432599606366)	(7, 36.5593268257172)	(8, 36.60786596646498)	(9, 36.594973255311984)	(10, 36.594875361744045)	(15, 36.58394518354828)	(20, 36.560010785804295)	(25, 36.5246106069987)	(30, 36.49939782753479)	(35, 36.48110980327376)	(40, 36.452618964332174)	(45, 36.430831010704225)	(50, 36.41520163294068)	(55, 36.3939379241569)	(60, 36.370181160445746)	(65, 36.34510158800805)	(70, 36.32822985725458)	(75, 36.29785548588439)	(80, 36.275931383983576)	(85, 36.22850410229914)	(90, 36.207666565973675)	(95, 36.17771351431311)	(100, 36.13995777307055)	(105, 36.12616508977)	(110, 36.06934789971866)	(115, 36.02501168328533)	(120, 35.965360241362276)	(125, 35.941197141650875)	(130, 35.914843152318404)	(135, 35.84851501882552)	(140, 35.772260430681136)	(145, 35.76287896375379)	(150, 35.649254603837676)
SRR36750771_2_paired	(1, 36.13581123189954)	(2, 36.06039803761503)	(3, 36.13932364769094)	(4, 36.16793759969485)	(5, 36.19474450401548)	(6, 36.14279912833042)	(7, 36.14191496615439)	(8, 36.20021429787479)	(9, 36.202267004398244)	(10, 36.18318862338126)	(15, 36.16932707667892)	(20, 36.15712870938528)	(25, 36.08989192182598)	(30, 36.0723130709803)	(35, 36.04055943374651)	(40, 36.00637167750889)	(45, 35.977620701640866)	(50, 35.927819809240724)	(55, 35.889271953893584)	(60, 35.863993239942275)	(65, 35.80971500553133)	(70, 35.77703297026511)	(75, 35.72004027966385)	(80, 35.678659122029856)	(85, 35.63991198951412)	(90, 35.60877318998794)	(95, 35.52927580649507)	(100, 35.49769009779676)	(105, 35.417610754430996)	(110, 35.38383955764637)	(115, 35.29155848027697)	(120, 35.28904701326884)	(125, 35.16470221604129)	(130, 35.12902314292492)	(135, 34.98536404833436)	(140, 34.954738591924716)	(145, 34.81941635923856)	(150, 34.745027520387865)
SRR36750772_1_paired	(1, 36.44904024627633)	(2, 36.495514871677855)	(3, 36.54030400998656)	(4, 36.5720794268793)	(5, 36.591736241497195)	(6, 36.568129652879776)	(7, 36.53388698827118)	(8, 36.58620138489336)	(9, 36.57249309509338)	(10, 36.569835530734125)	(15, 36.55757160232265)	(20, 36.531883460385394)	(25, 36.49088854443316)	(30, 36.46387217118531)	(35, 36.442894648062044)	(40, 36.4134299890433)	(45, 36.38955530796096)	(50, 36.37352939163875)	(55, 36.34977238995347)	(60, 36.32285023252483)	(65, 36.291290084921194)	(70, 36.27147303627348)	(75, 36.23851696932688)	(80, 36.213764891593065)	(85, 36.161205874691156)	(90, 36.14055637686207)	(95, 36.104715830551484)	(100, 36.064617187122415)	(105, 36.047853080474695)	(110, 35.989261901342545)	(115, 35.941319993236355)	(120, 35.878838396242934)	(125, 35.85433161876782)	(130, 35.82442064393749)	(135, 35.754964261725966)	(140, 35.677657186712715)	(145, 35.66404006573761)	(150, 35.546950655816445)
SRR36750772_2_paired	(1, 36.25755386692201)	(2, 36.13220516790036)	(3, 36.18527709551548)	(4, 36.221286629509116)	(5, 36.24216740625855)	(6, 36.187005791398036)	(7, 36.190298524966394)	(8, 36.2365507800327)	(9, 36.237160351046455)	(10, 36.21823459127863)	(15, 36.1997987090126)	(20, 36.18590141949051)	(25, 36.1229574540176)	(30, 36.102296491226795)	(35, 36.07421022702991)	(40, 36.04173061015244)	(45, 36.01076675245447)	(50, 35.96367179687841)	(55, 35.92683060557764)	(60, 35.90113829769333)	(65, 35.84835913975431)	(70, 35.81816752297393)	(75, 35.76254663827224)	(80, 35.725508924444135)	(85, 35.68631610767303)	(90, 35.659903917251214)	(95, 35.58208314825784)	(100, 35.55201561472702)	(105, 35.474630893002164)	(110, 35.44388420681294)	(115, 35.35741481122428)	(120, 35.35337838724742)	(125, 35.23807629992289)	(130, 35.20234349154478)	(135, 35.06862103236041)	(140, 35.039693264072454)	(145, 34.908683129072095)	(150, 34.83459864650618)
SRR36750775_1_paired	(1, 36.464530974522496)	(2, 36.5080105473322)	(3, 36.552490373151116)	(4, 36.58276927762295)	(5, 36.60270809664368)	(6, 36.5802846905631)	(7, 36.54356823757948)	(8, 36.59267284639137)	(9, 36.577269087336916)	(10, 36.5778529934685)	(15, 36.566223562096255)	(20, 36.539240893427404)	(25, 36.498909051511774)	(30, 36.47109931787046)	(35, 36.448234412719174)	(40, 36.42143788286377)	(45, 36.398107928134856)	(50, 36.382531530193184)	(55, 36.35763835264976)	(60, 36.333648606186955)	(65, 36.303331467178275)	(70, 36.28376176817458)	(75, 36.25058949773238)	(80, 36.224716397153415)	(85, 36.17574323529279)	(90, 36.14986517520701)	(95, 36.12056331073563)	(100, 36.07936956717349)	(105, 36.06666756666175)	(110, 36.00278019540228)	(115, 35.96061323300524)	(120, 35.896041323960645)	(125, 35.8738170017499)	(130, 35.843165762448095)	(135, 35.77499272519865)	(140, 35.69940626065944)	(145, 35.68438408045223)	(150, 35.570365159400154)
SRR36750775_2_paired	(1, 36.354795851655716)	(2, 36.275035084077366)	(3, 36.312122642024804)	(4, 36.33777896582213)	(5, 36.360664601368626)	(6, 36.32019473986815)	(7, 36.315883629949404)	(8, 36.355527765029436)	(9, 36.3545263107556)	(10, 36.337948275490255)	(15, 36.318847595957735)	(20, 36.304267767147095)	(25, 36.246685124574284)	(30, 36.22755901255361)	(35, 36.19638278628982)	(40, 36.16675923459308)	(45, 36.140923499064186)	(50, 36.09754742378219)	(55, 36.061750504545444)	(60, 36.038285893772624)	(65, 35.990127812839766)	(70, 35.959816828882204)	(75, 35.909934418388)	(80, 35.87268126897247)	(85, 35.835031931043744)	(90, 35.80734629375828)	(95, 35.736115157116544)	(100, 35.70991884771036)	(105, 35.63717693203536)	(110, 35.606597974542)	(115, 35.524397987664386)	(120, 35.519754928288215)	(125, 35.408671557491644)	(130, 35.37515529634426)	(135, 35.24549347578883)	(140, 35.21831298171784)	(145, 35.09264934164692)	(150, 35.02480622886596)
SRR36750776_1_paired	(1, 36.45850892661875)	(2, 36.50508622063469)	(3, 36.54582896190575)	(4, 36.577652386006406)	(5, 36.59680472584661)	(6, 36.573399803033816)	(7, 36.542789886555475)	(8, 36.59035568395664)	(9, 36.579804977628115)	(10, 36.57776376324835)	(15, 36.566010786496655)	(20, 36.54210177438151)	(25, 36.50236004026537)	(30, 36.47345381156917)	(35, 36.45202977620653)	(40, 36.42280424449196)	(45, 36.39797193135037)	(50, 36.37932898421532)	(55, 36.35480682471019)	(60, 36.32917014094009)	(65, 36.30250763911217)	(70, 36.283341257110614)	(75, 36.252200103922405)	(80, 36.22837195568703)	(85, 36.17834884366589)	(90, 36.15619715483719)	(95, 36.12350355048936)	(100, 36.086107395178786)	(105, 36.07103689997195)	(110, 36.01478892326783)	(115, 35.96829529231046)	(120, 35.90981434012931)	(125, 35.88546266449261)	(130, 35.856803110535374)	(135, 35.78782154807253)	(140, 35.71524073906302)	(145, 35.70143471503941)	(150, 35.59456523401927)
SRR36750776_2_paired	(1, 36.088888818845156)	(2, 35.98734525392152)	(3, 36.08421864350813)	(4, 36.11555064979552)	(5, 36.14596505751575)	(6, 36.092095208745725)	(7, 36.08744226802189)	(8, 36.14955650800248)	(9, 36.15043437442446)	(10, 36.13166438852648)	(15, 36.11628595473584)	(20, 36.10415409409827)	(25, 36.03452653437868)	(30, 36.01197060133561)	(35, 35.97997643889574)	(40, 35.94297961188634)	(45, 35.911676210430116)	(50, 35.860760883303996)	(55, 35.82112403742445)	(60, 35.797019476067184)	(65, 35.74019301205258)	(70, 35.70619936844396)	(75, 35.64797625301638)	(80, 35.609914500414106)	(85, 35.56978082343338)	(90, 35.54193120376168)	(95, 35.45997573678767)	(100, 35.432034785232865)	(105, 35.351967988961526)	(110, 35.3205475540715)	(115, 35.22945613430922)	(120, 35.230747828084496)	(125, 35.110307701174136)	(130, 35.07627160720951)	(135, 34.93318514072134)	(140, 34.90705428622662)	(145, 34.77190142113555)	(150, 34.7001405748744)
SRR36750778_1_paired	(1, 36.116522940795086)	(2, 36.11440762827298)	(3, 36.286176886358575)	(4, 36.307605248415726)	(5, 36.343051798458)	(6, 36.31688493611039)	(7, 36.303253534276166)	(8, 36.37773951090899)	(9, 36.360450028284035)	(10, 36.353338792522585)	(15, 36.326156425261004)	(20, 36.28732212599077)	(25, 36.21743334755275)	(30, 36.17728903806489)	(35, 36.15057337071961)	(40, 36.137073976779035)	(45, 36.119687906237615)	(50, 36.08522361985429)	(55, 36.03181958215951)	(60, 36.031299377612754)	(65, 36.010938199003405)	(70, 35.981265571212305)	(75, 35.94452725932464)	(80, 35.8667019753989)	(85, 35.87679130395166)	(90, 35.85588144628236)	(95, 35.805086283536696)	(100, 35.79310361394907)	(105, 35.742115697261774)	(110, 35.71698315492002)	(115, 35.69386654136706)	(120, 35.67990250029461)	(125, 35.651264626994426)	(130, 35.55059196542054)	(135, 35.560330998270025)	(140, 35.549460295575145)	(145, 35.48974540025944)	(150, 35.488853438339525)
SRR36750778_2_paired	(1, 35.375663711339215)	(2, 35.21140361435522)	(3, 35.45044211530371)	(4, 35.47681438203458)	(5, 35.547557332900276)	(6, 35.48896242670859)	(7, 35.52585436369554)	(8, 35.58815895364916)	(9, 35.567548808807274)	(10, 35.60541385378262)	(15, 35.57556442205916)	(20, 35.543433748601345)	(25, 35.46976322485134)	(30, 35.44481263729374)	(35, 35.380045279009764)	(40, 35.36423485906958)	(45, 35.33659441232701)	(50, 35.217349939016245)	(55, 35.24436677376933)	(60, 35.20950403310751)	(65, 35.172396805628104)	(70, 35.1070969953564)	(75, 34.96460276086286)	(80, 35.00922670570567)	(85, 34.94906552497427)	(90, 34.91694115469818)	(95, 34.87234952546834)	(100, 34.77062957860271)	(105, 34.800209163623514)	(110, 34.75803942964454)	(115, 34.665354530200915)	(120, 34.63041930609778)	(125, 34.4621374076613)	(130, 34.45116747093719)	(135, 34.44036707834984)	(140, 34.38411819168155)	(145, 34.30810088585112)	(150, 34.267766928899036)
SRR36750779_1_paired	(1, 36.14878249911635)	(2, 36.15131963975686)	(3, 36.316344856784006)	(4, 36.33507271185563)	(5, 36.36632016192773)	(6, 36.341086007424884)	(7, 36.326886183491034)	(8, 36.40175026080386)	(9, 36.384839770055294)	(10, 36.37766409767924)	(15, 36.351700449703884)	(20, 36.31248415573593)	(25, 36.244657543493105)	(30, 36.20353806198372)	(35, 36.17578494281385)	(40, 36.1605372274036)	(45, 36.142012135413964)	(50, 36.10944086860646)	(55, 36.055435181157954)	(60, 36.05320471734866)	(65, 36.03028984813236)	(70, 36.002005765278966)	(75, 35.96480952104096)	(80, 35.890387547096836)	(85, 35.89673096184261)	(90, 35.877378614499136)	(95, 35.829246632697014)	(100, 35.81742027243221)	(105, 35.76709476133102)	(110, 35.74075418716367)	(115, 35.71782876190123)	(120, 35.70331822979845)	(125, 35.67795161594696)	(130, 35.575914854419196)	(135, 35.58506654251079)	(140, 35.57294239144623)	(145, 35.512563679503685)	(150, 35.51189790484893)
SRR36750779_2_paired	(1, 35.863132395227844)	(2, 35.72404596237644)	(3, 35.87520831005508)	(4, 35.88095106324979)	(5, 35.93361579106827)	(6, 35.888581399058275)	(7, 35.88564737749248)	(8, 35.93722333342926)	(9, 35.92460423662523)	(10, 35.947787690803544)	(15, 35.927550165783906)	(20, 35.90012809789175)	(25, 35.840682551302365)	(30, 35.81784285604819)	(35, 35.76310333308904)	(40, 35.747944392551)	(45, 35.72261872901243)	(50, 35.627220400029096)	(55, 35.64480386007965)	(60, 35.61620926324507)	(65, 35.58143960467724)	(70, 35.525504273548094)	(75, 35.40849913957349)	(80, 35.44312617888956)	(85, 35.39307265491978)	(90, 35.36454161961983)	(95, 35.32770542277451)	(100, 35.24164785084455)	(105, 35.263234802080156)	(110, 35.22371880650499)	(115, 35.14551257934657)	(120, 35.11294737119692)	(125, 34.970029163504805)	(130, 34.957770999589606)	(135, 34.944744859021)	(140, 34.89383037216708)	(145, 34.8237586704163)	(150, 34.78786768492585)
SRR36750780_1_paired	(1, 36.17755766442285)	(2, 36.15786334862263)	(3, 36.32347861914484)	(4, 36.340689872875565)	(5, 36.37097845081425)	(6, 36.34254080041256)	(7, 36.32898091122475)	(8, 36.40568889263303)	(9, 36.39212291691545)	(10, 36.38315124753284)	(15, 36.35342292082673)	(20, 36.31576268385253)	(25, 36.24732534192724)	(30, 36.206707542555655)	(35, 36.18131956864625)	(40, 36.16526355209947)	(45, 36.14923105169045)	(50, 36.11328429734455)	(55, 36.05862934876932)	(60, 36.057760074737054)	(65, 36.03704789057996)	(70, 36.00901952472295)	(75, 35.970432233182706)	(80, 35.89426061337765)	(85, 35.899511939852076)	(90, 35.88216795135673)	(95, 35.830195246537826)	(100, 35.82017259254318)	(105, 35.764032060380586)	(110, 35.74218264271797)	(115, 35.71834346239093)	(120, 35.70611473184704)	(125, 35.677826775495205)	(130, 35.57464245873947)	(135, 35.58613321138141)	(140, 35.57300032683973)	(145, 35.51305414352099)	(150, 35.51070434714203)
SRR36750780_2_paired	(1, 35.274665929919905)	(2, 35.08467531804625)	(3, 35.34460520606483)	(4, 35.37689998721483)	(5, 35.452817065578174)	(6, 35.40221510951275)	(7, 35.44697136872187)	(8, 35.507909566478965)	(9, 35.5168237734873)	(10, 35.50879795083142)	(15, 35.48161622818234)	(20, 35.45341858071601)	(25, 35.37206701974764)	(30, 35.35205026311619)	(35, 35.28427550912179)	(40, 35.26451514064051)	(45, 35.23454031639511)	(50, 35.11346647133056)	(55, 35.144049886304664)	(60, 35.111158901897355)	(65, 35.07323716547127)	(70, 35.005771212948204)	(75, 34.85827327294459)	(80, 34.90540109314767)	(85, 34.84010381268179)	(90, 34.81305542653381)	(95, 34.766791672230134)	(100, 34.66515969031045)	(105, 34.69307510954111)	(110, 34.65215645576946)	(115, 34.55658408456154)	(120, 34.519835616663855)	(125, 34.34793778169437)	(130, 34.33549632001839)	(135, 34.32479034797681)	(140, 34.2642217213141)	(145, 34.18907718003699)	(150, 34.144715462112295)
