Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR36750771_1_paired	(0.0, 56.0)	(1.0, 45.5)	(2.0, 46.0)	(3.0, 60.5)	(4.0, 65.5)	(5.0, 84.5)	(6.0, 104.0)	(7.0, 114.5)	(8.0, 118.0)	(9.0, 134.0)	(10.0, 152.5)	(11.0, 186.5)	(12.0, 259.5)	(13.0, 332.0)	(14.0, 545.0)	(15.0, 1007.0)	(16.0, 3258.0)	(17.0, 7175.0)	(18.0, 10968.5)	(19.0, 18036.5)	(20.0, 25943.0)	(21.0, 34458.0)	(22.0, 45554.0)	(23.0, 61703.5)	(24.0, 77696.5)	(25.0, 89049.5)	(26.0, 111626.0)	(27.0, 141866.0)	(28.0, 171530.0)	(29.0, 204010.0)	(30.0, 238213.5)	(31.0, 278426.0)	(32.0, 321642.5)	(33.0, 359830.0)	(34.0, 392428.0)	(35.0, 445315.5)	(36.0, 501150.5)	(37.0, 542646.5)	(38.0, 584402.0)	(39.0, 634225.0)	(40.0, 675268.5)	(41.0, 720774.0)	(42.0, 793226.0)	(43.0, 854605.5)	(44.0, 892005.5)	(45.0, 931687.0)	(46.0, 950848.0)	(47.0, 945153.0)	(48.0, 966072.0)	(49.0, 994934.5)	(50.0, 1028422.0)	(51.0, 1040942.0)	(52.0, 1037097.0)	(53.0, 1043611.0)	(54.0, 1022206.0)	(55.0, 1006061.0)	(56.0, 978880.0)	(57.0, 928481.0)	(58.0, 918574.0)	(59.0, 920028.5)	(60.0, 898668.5)	(61.0, 855275.5)	(62.0, 797581.0)	(63.0, 756102.0)	(64.0, 717566.5)	(65.0, 654257.0)	(66.0, 590466.5)	(67.0, 551707.0)	(68.0, 492737.0)	(69.0, 408398.5)	(70.0, 328218.0)	(71.0, 254424.0)	(72.0, 210095.5)	(73.0, 179837.0)	(74.0, 149920.5)	(75.0, 123525.0)	(76.0, 101252.5)	(77.0, 87872.0)	(78.0, 74522.5)	(79.0, 61550.5)	(80.0, 51135.5)	(81.0, 38573.0)	(82.0, 28858.5)	(83.0, 21945.5)	(84.0, 15602.0)	(85.0, 10497.5)	(86.0, 6980.0)	(87.0, 4575.0)	(88.0, 2685.0)	(89.0, 1941.0)	(90.0, 1340.5)	(91.0, 868.0)	(92.0, 645.0)	(93.0, 522.0)	(94.0, 422.0)	(95.0, 504.5)	(96.0, 439.0)	(97.0, 203.0)	(98.0, 129.5)	(99.0, 48.0)	(100.0, 17.5)
SRR36750771_2_paired	(0.0, 619.0)	(1.0, 872.0)	(2.0, 1879.5)	(3.0, 3207.5)	(4.0, 4149.5)	(5.0, 4704.5)	(6.0, 5067.0)	(7.0, 5263.5)	(8.0, 5381.0)	(9.0, 5537.5)	(10.0, 5648.0)	(11.0, 5674.0)	(12.0, 5736.5)	(13.0, 5912.0)	(14.0, 6227.0)	(15.0, 6899.5)	(16.0, 9685.5)	(17.0, 14346.5)	(18.0, 18805.0)	(19.0, 26482.5)	(20.0, 34189.0)	(21.0, 42033.5)	(22.0, 52440.5)	(23.0, 67698.5)	(24.0, 84001.0)	(25.0, 96530.0)	(26.0, 118350.5)	(27.0, 147843.0)	(28.0, 177393.5)	(29.0, 208497.0)	(30.0, 241436.0)	(31.0, 280996.0)	(32.0, 323489.5)	(33.0, 360725.0)	(34.0, 394004.5)	(35.0, 445789.0)	(36.0, 499175.5)	(37.0, 540484.5)	(38.0, 582412.0)	(39.0, 630957.5)	(40.0, 672789.0)	(41.0, 716684.5)	(42.0, 785548.5)	(43.0, 848326.0)	(44.0, 885247.0)	(45.0, 922475.5)	(46.0, 941140.5)	(47.0, 937601.0)	(48.0, 958333.0)	(49.0, 985848.0)	(50.0, 1017133.5)	(51.0, 1028297.5)	(52.0, 1025211.0)	(53.0, 1030749.0)	(54.0, 1010026.0)	(55.0, 994629.0)	(56.0, 969148.5)	(57.0, 919173.0)	(58.0, 906495.5)	(59.0, 907428.0)	(60.0, 885762.0)	(61.0, 843142.0)	(62.0, 789034.5)	(63.0, 747370.5)	(64.0, 706456.0)	(65.0, 644669.5)	(66.0, 582562.5)	(67.0, 542798.5)	(68.0, 484663.0)	(69.0, 402804.0)	(70.0, 324525.0)	(71.0, 251881.5)	(72.0, 207855.0)	(73.0, 178273.5)	(74.0, 148728.5)	(75.0, 122205.5)	(76.0, 100006.5)	(77.0, 87086.5)	(78.0, 74808.5)	(79.0, 62379.5)	(80.0, 51779.5)	(81.0, 39337.5)	(82.0, 29938.5)	(83.0, 23271.5)	(84.0, 17092.0)	(85.0, 12158.0)	(86.0, 8967.0)	(87.0, 6619.0)	(88.0, 4863.5)	(89.0, 4390.5)	(90.0, 3957.5)	(91.0, 3489.5)	(92.0, 3378.0)	(93.0, 3585.5)	(94.0, 3882.0)	(95.0, 4222.5)	(96.0, 4563.5)	(97.0, 4996.5)	(98.0, 5917.0)	(99.0, 8311.0)	(100.0, 38020.0)
SRR36750772_1_paired	(0.0, 332.0)	(1.0, 267.0)	(2.0, 180.0)	(3.0, 161.0)	(4.0, 157.5)	(5.0, 146.0)	(6.0, 139.5)	(7.0, 135.0)	(8.0, 141.5)	(9.0, 151.0)	(10.0, 155.0)	(11.0, 177.0)	(12.0, 244.5)	(13.0, 320.0)	(14.0, 411.5)	(15.0, 600.0)	(16.0, 951.0)	(17.0, 1560.5)	(18.0, 2539.5)	(19.0, 3978.5)	(20.0, 6526.5)	(21.0, 10834.5)	(22.0, 16808.5)	(23.0, 25549.5)	(24.0, 36960.5)	(25.0, 51099.0)	(26.0, 69383.5)	(27.0, 90746.0)	(28.0, 113485.0)	(29.0, 137276.0)	(30.0, 162134.0)	(31.0, 191434.5)	(32.0, 222231.5)	(33.0, 251761.0)	(34.0, 279209.0)	(35.0, 312163.0)	(36.0, 348061.5)	(37.0, 391001.5)	(38.0, 426891.0)	(39.0, 464583.5)	(40.0, 497565.0)	(41.0, 523317.0)	(42.0, 587089.5)	(43.0, 644173.0)	(44.0, 683660.0)	(45.0, 712675.5)	(46.0, 707661.0)	(47.0, 700017.0)	(48.0, 713526.5)	(49.0, 717813.5)	(50.0, 719356.0)	(51.0, 726373.5)	(52.0, 705331.5)	(53.0, 684714.0)	(54.0, 680008.0)	(55.0, 677499.0)	(56.0, 667564.0)	(57.0, 647187.0)	(58.0, 643195.5)	(59.0, 646739.0)	(60.0, 635457.0)	(61.0, 613871.5)	(62.0, 587261.5)	(63.0, 562996.0)	(64.0, 535596.0)	(65.0, 494776.5)	(66.0, 448221.0)	(67.0, 404776.5)	(68.0, 358546.0)	(69.0, 311683.5)	(70.0, 261098.0)	(71.0, 207478.0)	(72.0, 170981.5)	(73.0, 142563.0)	(74.0, 117845.0)	(75.0, 96756.0)	(76.0, 77998.0)	(77.0, 66181.5)	(78.0, 55492.5)	(79.0, 45665.5)	(80.0, 37120.5)	(81.0, 28260.5)	(82.0, 21494.0)	(83.0, 15662.0)	(84.0, 10421.5)	(85.0, 6863.5)	(86.0, 4610.5)	(87.0, 3061.0)	(88.0, 1917.0)	(89.0, 1391.5)	(90.0, 983.5)	(91.0, 594.0)	(92.0, 472.0)	(93.0, 422.5)	(94.0, 340.0)	(95.0, 414.5)	(96.0, 347.0)	(97.0, 110.0)	(98.0, 61.5)	(99.0, 23.5)	(100.0, 8.5)
SRR36750772_2_paired	(0.0, 824.0)	(1.0, 970.5)	(2.0, 1835.0)	(3.0, 3108.0)	(4.0, 4056.5)	(5.0, 4624.5)	(6.0, 4978.0)	(7.0, 5284.0)	(8.0, 5475.5)	(9.0, 5573.0)	(10.0, 5674.0)	(11.0, 5790.0)	(12.0, 5826.0)	(13.0, 5838.5)	(14.0, 6037.0)	(15.0, 6332.5)	(16.0, 6661.5)	(17.0, 7273.5)	(18.0, 8198.5)	(19.0, 9648.0)	(20.0, 12331.0)	(21.0, 16590.0)	(22.0, 22304.0)	(23.0, 31076.5)	(24.0, 42658.0)	(25.0, 56527.5)	(26.0, 74629.5)	(27.0, 95360.5)	(28.0, 117777.0)	(29.0, 141523.0)	(30.0, 165873.0)	(31.0, 194581.5)	(32.0, 224859.0)	(33.0, 252623.0)	(34.0, 279544.0)	(35.0, 313452.0)	(36.0, 348439.0)	(37.0, 390438.0)	(38.0, 426164.0)	(39.0, 462148.5)	(40.0, 494495.0)	(41.0, 522023.5)	(42.0, 583976.0)	(43.0, 638777.5)	(44.0, 678335.5)	(45.0, 705910.5)	(46.0, 698833.0)	(47.0, 690895.5)	(48.0, 705313.0)	(49.0, 712430.0)	(50.0, 713302.0)	(51.0, 717317.0)	(52.0, 697402.5)	(53.0, 676226.5)	(54.0, 670563.0)	(55.0, 669374.0)	(56.0, 658287.5)	(57.0, 636932.5)	(58.0, 634043.5)	(59.0, 638158.0)	(60.0, 626744.5)	(61.0, 604852.0)	(62.0, 578491.0)	(63.0, 554206.5)	(64.0, 525877.5)	(65.0, 484294.0)	(66.0, 439064.0)	(67.0, 396948.0)	(68.0, 351838.0)	(69.0, 306854.5)	(70.0, 257352.5)	(71.0, 205442.5)	(72.0, 169601.5)	(73.0, 140527.0)	(74.0, 116414.0)	(75.0, 96212.5)	(76.0, 77335.0)	(77.0, 65261.0)	(78.0, 54825.0)	(79.0, 45537.5)	(80.0, 37736.5)	(81.0, 29130.0)	(82.0, 22263.0)	(83.0, 16555.5)	(84.0, 11623.5)	(85.0, 8262.5)	(86.0, 6142.5)	(87.0, 4649.5)	(88.0, 3515.0)	(89.0, 3200.0)	(90.0, 3001.0)	(91.0, 2700.0)	(92.0, 2710.0)	(93.0, 2784.5)	(94.0, 2840.5)	(95.0, 3063.5)	(96.0, 3226.5)	(97.0, 3336.0)	(98.0, 3860.5)	(99.0, 5317.0)	(100.0, 25261.0)
SRR36750775_1_paired	(0.0, 82.0)	(1.0, 66.0)	(2.0, 55.0)	(3.0, 63.0)	(4.0, 64.0)	(5.0, 67.5)	(6.0, 71.0)	(7.0, 80.0)	(8.0, 111.5)	(9.0, 134.0)	(10.0, 153.5)	(11.0, 188.5)	(12.0, 245.0)	(13.0, 333.5)	(14.0, 532.5)	(15.0, 904.5)	(16.0, 1674.5)	(17.0, 2737.0)	(18.0, 4569.0)	(19.0, 8358.5)	(20.0, 13885.5)	(21.0, 21557.5)	(22.0, 32300.0)	(23.0, 46534.5)	(24.0, 64135.5)	(25.0, 86078.0)	(26.0, 112031.5)	(27.0, 140837.5)	(28.0, 174565.5)	(29.0, 209927.0)	(30.0, 243726.5)	(31.0, 282207.0)	(32.0, 324900.0)	(33.0, 365823.5)	(34.0, 400492.5)	(35.0, 448223.5)	(36.0, 501751.0)	(37.0, 558168.0)	(38.0, 607315.5)	(39.0, 663349.0)	(40.0, 712382.5)	(41.0, 755699.0)	(42.0, 850093.0)	(43.0, 931329.0)	(44.0, 980722.5)	(45.0, 1033306.5)	(46.0, 1045030.0)	(47.0, 1044982.0)	(48.0, 1071786.0)	(49.0, 1098888.0)	(50.0, 1117134.0)	(51.0, 1110099.5)	(52.0, 1087402.5)	(53.0, 1061449.5)	(54.0, 1044631.0)	(55.0, 1049239.5)	(56.0, 1064117.0)	(57.0, 1038679.0)	(58.0, 1024944.0)	(59.0, 1046010.5)	(60.0, 1034802.0)	(61.0, 1002063.5)	(62.0, 965089.0)	(63.0, 919224.0)	(64.0, 840469.0)	(65.0, 746517.0)	(66.0, 680299.5)	(67.0, 621687.0)	(68.0, 536974.5)	(69.0, 442000.5)	(70.0, 354987.0)	(71.0, 281404.5)	(72.0, 227479.0)	(73.0, 183132.0)	(74.0, 148125.0)	(75.0, 118658.5)	(76.0, 91393.5)	(77.0, 74548.5)	(78.0, 60512.0)	(79.0, 47735.5)	(80.0, 35721.5)	(81.0, 23951.5)	(82.0, 15572.0)	(83.0, 9309.5)	(84.0, 4978.0)	(85.0, 2682.5)	(86.0, 1619.0)	(87.0, 1157.5)	(88.0, 896.0)	(89.0, 698.5)	(90.0, 585.5)	(91.0, 490.5)	(92.0, 406.0)	(93.0, 380.0)	(94.0, 349.5)	(95.0, 419.5)	(96.0, 332.5)	(97.0, 129.5)	(98.0, 107.0)	(99.0, 63.5)	(100.0, 16.5)
SRR36750775_2_paired	(0.0, 778.0)	(1.0, 1012.5)	(2.0, 2384.5)	(3.0, 4267.0)	(4.0, 5415.5)	(5.0, 6092.0)	(6.0, 6505.0)	(7.0, 6634.5)	(8.0, 6691.0)	(9.0, 6806.0)	(10.0, 6878.0)	(11.0, 6923.5)	(12.0, 7013.0)	(13.0, 7127.0)	(14.0, 7376.0)	(15.0, 7779.5)	(16.0, 8490.0)	(17.0, 9559.0)	(18.0, 11288.0)	(19.0, 15171.5)	(20.0, 20900.5)	(21.0, 28288.0)	(22.0, 38842.0)	(23.0, 53224.0)	(24.0, 70745.0)	(25.0, 92392.5)	(26.0, 117581.5)	(27.0, 145801.0)	(28.0, 179551.0)	(29.0, 215098.5)	(30.0, 248974.0)	(31.0, 287086.0)	(32.0, 328490.5)	(33.0, 367868.0)	(34.0, 402602.5)	(35.0, 448812.5)	(36.0, 501426.0)	(37.0, 560041.0)	(38.0, 609743.5)	(39.0, 661385.0)	(40.0, 709450.5)	(41.0, 753232.0)	(42.0, 844804.0)	(43.0, 926706.0)	(44.0, 974372.0)	(45.0, 1022724.5)	(46.0, 1034476.5)	(47.0, 1035440.5)	(48.0, 1062804.0)	(49.0, 1091638.0)	(50.0, 1110436.0)	(51.0, 1099954.5)	(52.0, 1075404.0)	(53.0, 1049780.5)	(54.0, 1032454.5)	(55.0, 1037877.0)	(56.0, 1052393.0)	(57.0, 1027704.0)	(58.0, 1013624.5)	(59.0, 1033376.0)	(60.0, 1022243.5)	(61.0, 989396.5)	(62.0, 952370.5)	(63.0, 905542.5)	(64.0, 826861.0)	(65.0, 735715.5)	(66.0, 670556.0)	(67.0, 612641.0)	(68.0, 530615.0)	(69.0, 436338.0)	(70.0, 349442.0)	(71.0, 276588.0)	(72.0, 223888.5)	(73.0, 180781.5)	(74.0, 145940.5)	(75.0, 117577.0)	(76.0, 91315.5)	(77.0, 74165.0)	(78.0, 60367.5)	(79.0, 47998.5)	(80.0, 36594.5)	(81.0, 25573.5)	(82.0, 17263.0)	(83.0, 10843.0)	(84.0, 6601.5)	(85.0, 4504.0)	(86.0, 3492.0)	(87.0, 3118.0)	(88.0, 2940.5)	(89.0, 2843.0)	(90.0, 2835.0)	(91.0, 2828.5)	(92.0, 2901.5)	(93.0, 3003.0)	(94.0, 3094.0)	(95.0, 3401.5)	(96.0, 3710.0)	(97.0, 4053.5)	(98.0, 4832.0)	(99.0, 6538.5)	(100.0, 32207.5)
SRR36750776_1_paired	(0.0, 277.0)	(1.0, 203.0)	(2.0, 121.5)	(3.0, 118.5)	(4.0, 116.0)	(5.0, 104.5)	(6.0, 108.0)	(7.0, 118.5)	(8.0, 134.5)	(9.0, 157.5)	(10.0, 180.5)	(11.0, 236.0)	(12.0, 318.0)	(13.0, 440.5)	(14.0, 601.5)	(15.0, 877.5)	(16.0, 1472.0)	(17.0, 2417.5)	(18.0, 3885.5)	(19.0, 6648.0)	(20.0, 10766.0)	(21.0, 16904.5)	(22.0, 25281.5)	(23.0, 36476.5)	(24.0, 50419.0)	(25.0, 67075.0)	(26.0, 88086.5)	(27.0, 110758.5)	(28.0, 136739.5)	(29.0, 165218.5)	(30.0, 192249.5)	(31.0, 222587.5)	(32.0, 254985.0)	(33.0, 285107.0)	(34.0, 315699.5)	(35.0, 357869.5)	(36.0, 401201.0)	(37.0, 443356.0)	(38.0, 478048.0)	(39.0, 510068.5)	(40.0, 561663.5)	(41.0, 627693.0)	(42.0, 719265.0)	(43.0, 808204.5)	(44.0, 872829.5)	(45.0, 913693.5)	(46.0, 913052.0)	(47.0, 919323.5)	(48.0, 990493.5)	(49.0, 1050656.5)	(50.0, 1067638.5)	(51.0, 1068393.0)	(52.0, 1062066.0)	(53.0, 1058994.5)	(54.0, 1048977.5)	(55.0, 1063604.5)	(56.0, 1082560.0)	(57.0, 1066123.0)	(58.0, 1100995.0)	(59.0, 1158957.0)	(60.0, 1177261.5)	(61.0, 1167486.0)	(62.0, 1124697.0)	(63.0, 1079271.0)	(64.0, 998006.5)	(65.0, 892222.5)	(66.0, 831751.0)	(67.0, 767550.5)	(68.0, 656083.5)	(69.0, 531164.5)	(70.0, 410494.5)	(71.0, 321704.0)	(72.0, 261702.0)	(73.0, 214000.0)	(74.0, 175240.5)	(75.0, 141792.5)	(76.0, 110102.5)	(77.0, 89002.0)	(78.0, 73782.0)	(79.0, 61013.0)	(80.0, 48501.5)	(81.0, 34605.5)	(82.0, 24436.0)	(83.0, 16283.0)	(84.0, 10308.5)	(85.0, 6190.0)	(86.0, 3817.5)	(87.0, 2632.5)	(88.0, 1751.0)	(89.0, 1329.0)	(90.0, 1026.5)	(91.0, 779.5)	(92.0, 626.5)	(93.0, 555.5)	(94.0, 554.0)	(95.0, 567.5)	(96.0, 405.5)	(97.0, 175.0)	(98.0, 123.5)	(99.0, 69.5)	(100.0, 22.0)
SRR36750776_2_paired	(0.0, 866.0)	(1.0, 1032.0)	(2.0, 1821.5)	(3.0, 2940.0)	(4.0, 3867.5)	(5.0, 4500.5)	(6.0, 4952.5)	(7.0, 5210.0)	(8.0, 5313.0)	(9.0, 5523.0)	(10.0, 5642.5)	(11.0, 5760.5)	(12.0, 6078.0)	(13.0, 6357.5)	(14.0, 6565.0)	(15.0, 6874.0)	(16.0, 7542.0)	(17.0, 8608.5)	(18.0, 10224.0)	(19.0, 13073.0)	(20.0, 17323.0)	(21.0, 23614.5)	(22.0, 32043.0)	(23.0, 43360.5)	(24.0, 57374.5)	(25.0, 73987.0)	(26.0, 94453.5)	(27.0, 116665.0)	(28.0, 142804.0)	(29.0, 170445.0)	(30.0, 197463.5)	(31.0, 228616.0)	(32.0, 260527.5)	(33.0, 289180.5)	(34.0, 319030.0)	(35.0, 360456.5)	(36.0, 404190.5)	(37.0, 446958.0)	(38.0, 480743.5)	(39.0, 512504.5)	(40.0, 563385.0)	(41.0, 625989.0)	(42.0, 714264.0)	(43.0, 802550.5)	(44.0, 866107.0)	(45.0, 906770.5)	(46.0, 907635.0)	(47.0, 915237.5)	(48.0, 983277.0)	(49.0, 1040640.5)	(50.0, 1058303.0)	(51.0, 1058138.5)	(52.0, 1051449.5)	(53.0, 1049477.5)	(54.0, 1039534.5)	(55.0, 1052535.5)	(56.0, 1069835.5)	(57.0, 1054191.0)	(58.0, 1084732.5)	(59.0, 1140111.0)	(60.0, 1159921.0)	(61.0, 1147933.5)	(62.0, 1105506.5)	(63.0, 1059484.0)	(64.0, 981237.0)	(65.0, 879698.0)	(66.0, 816208.5)	(67.0, 751500.5)	(68.0, 645315.0)	(69.0, 524778.5)	(70.0, 406009.0)	(71.0, 318799.5)	(72.0, 258552.0)	(73.0, 210529.0)	(74.0, 172823.0)	(75.0, 140176.5)	(76.0, 109452.0)	(77.0, 88922.5)	(78.0, 73696.5)	(79.0, 61262.0)	(80.0, 49698.0)	(81.0, 36483.0)	(82.0, 26534.5)	(83.0, 18225.0)	(84.0, 12473.0)	(85.0, 8772.0)	(86.0, 6354.5)	(87.0, 5080.5)	(88.0, 4360.5)	(89.0, 4059.5)	(90.0, 3877.5)	(91.0, 3887.0)	(92.0, 3948.5)	(93.0, 4101.0)	(94.0, 4435.0)	(95.0, 4763.5)	(96.0, 5049.5)	(97.0, 5548.0)	(98.0, 6678.0)	(99.0, 9368.0)	(100.0, 41741.0)
SRR36750778_1_paired	(0.0, 89.0)	(1.0, 69.0)	(2.0, 52.5)	(3.0, 61.0)	(4.0, 64.0)	(5.0, 62.0)	(6.0, 63.0)	(7.0, 69.5)	(8.0, 82.0)	(9.0, 95.0)	(10.0, 102.0)	(11.0, 130.0)	(12.0, 189.5)	(13.0, 243.5)	(14.0, 346.5)	(15.0, 555.0)	(16.0, 984.0)	(17.0, 1714.0)	(18.0, 2980.5)	(19.0, 5432.5)	(20.0, 9902.0)	(21.0, 16209.5)	(22.0, 25627.0)	(23.0, 39880.0)	(24.0, 57725.0)	(25.0, 80330.5)	(26.0, 107741.5)	(27.0, 137410.5)	(28.0, 171473.5)	(29.0, 208414.5)	(30.0, 245459.5)	(31.0, 289036.5)	(32.0, 337616.0)	(33.0, 383953.0)	(34.0, 420127.0)	(35.0, 468378.5)	(36.0, 530844.5)	(37.0, 596614.5)	(38.0, 657651.0)	(39.0, 721849.0)	(40.0, 768792.0)	(41.0, 800984.0)	(42.0, 879423.0)	(43.0, 960239.0)	(44.0, 991800.5)	(45.0, 1021515.0)	(46.0, 1022317.5)	(47.0, 1004867.5)	(48.0, 1028087.0)	(49.0, 1027028.0)	(50.0, 1018990.0)	(51.0, 1022323.0)	(52.0, 1001579.0)	(53.0, 971387.0)	(54.0, 942459.0)	(55.0, 926194.0)	(56.0, 908125.0)	(57.0, 866531.0)	(58.0, 840285.5)	(59.0, 826866.5)	(60.0, 793323.5)	(61.0, 756003.5)	(62.0, 714870.0)	(63.0, 667571.0)	(64.0, 617640.0)	(65.0, 559742.0)	(66.0, 503288.0)	(67.0, 456096.5)	(68.0, 399913.5)	(69.0, 342056.0)	(70.0, 284528.0)	(71.0, 228245.0)	(72.0, 188901.0)	(73.0, 156188.0)	(74.0, 131474.0)	(75.0, 109560.0)	(76.0, 89594.5)	(77.0, 77526.5)	(78.0, 67972.5)	(79.0, 59398.0)	(80.0, 50816.5)	(81.0, 39564.0)	(82.0, 30459.5)	(83.0, 23664.5)	(84.0, 18276.0)	(85.0, 13505.5)	(86.0, 10088.5)	(87.0, 7267.5)	(88.0, 4611.5)	(89.0, 3267.0)	(90.0, 2226.0)	(91.0, 1337.5)	(92.0, 853.0)	(93.0, 642.5)	(94.0, 543.5)	(95.0, 574.5)	(96.0, 441.0)	(97.0, 161.5)	(98.0, 87.5)	(99.0, 42.5)	(100.0, 26.5)
SRR36750778_2_paired	(0.0, 856.0)	(1.0, 1247.5)	(2.0, 2402.0)	(3.0, 3840.5)	(4.0, 5017.0)	(5.0, 5781.0)	(6.0, 6223.5)	(7.0, 6673.5)	(8.0, 6949.5)	(9.0, 7006.0)	(10.0, 7003.0)	(11.0, 7018.0)	(12.0, 7081.0)	(13.0, 7182.5)	(14.0, 7408.0)	(15.0, 7761.0)	(16.0, 8402.5)	(17.0, 9264.5)	(18.0, 10846.5)	(19.0, 13535.5)	(20.0, 18106.5)	(21.0, 25025.5)	(22.0, 34918.5)	(23.0, 48867.0)	(24.0, 66701.0)	(25.0, 89188.0)	(26.0, 116323.5)	(27.0, 145916.0)	(28.0, 178773.0)	(29.0, 214421.0)	(30.0, 251942.5)	(31.0, 294324.5)	(32.0, 341516.0)	(33.0, 387722.0)	(34.0, 425927.0)	(35.0, 473530.5)	(36.0, 532426.0)	(37.0, 598030.0)	(38.0, 659950.0)	(39.0, 722345.0)	(40.0, 767157.5)	(41.0, 800269.0)	(42.0, 874597.5)	(43.0, 951515.5)	(44.0, 983697.0)	(45.0, 1008065.0)	(46.0, 1009203.0)	(47.0, 996007.5)	(48.0, 1016718.0)	(49.0, 1015702.5)	(50.0, 1006958.5)	(51.0, 1004635.0)	(52.0, 983840.5)	(53.0, 958417.0)	(54.0, 930789.0)	(55.0, 911890.5)	(56.0, 891502.0)	(57.0, 852589.5)	(58.0, 827385.0)	(59.0, 812830.5)	(60.0, 780892.5)	(61.0, 744107.5)	(62.0, 702613.5)	(63.0, 655346.0)	(64.0, 604211.0)	(65.0, 547926.5)	(66.0, 492746.0)	(67.0, 445212.5)	(68.0, 391581.5)	(69.0, 335314.5)	(70.0, 279081.5)	(71.0, 225979.0)	(72.0, 187829.0)	(73.0, 155209.0)	(74.0, 130545.5)	(75.0, 109102.5)	(76.0, 89642.0)	(77.0, 76947.0)	(78.0, 67167.5)	(79.0, 58599.0)	(80.0, 50289.5)	(81.0, 39745.0)	(82.0, 31175.5)	(83.0, 24915.0)	(84.0, 19654.5)	(85.0, 15116.5)	(86.0, 11732.0)	(87.0, 8863.5)	(88.0, 6539.0)	(89.0, 5512.5)	(90.0, 4733.0)	(91.0, 3985.5)	(92.0, 3672.5)	(93.0, 3668.0)	(94.0, 3888.0)	(95.0, 4315.0)	(96.0, 4576.0)	(97.0, 4927.0)	(98.0, 5941.5)	(99.0, 8257.0)	(100.0, 32164.0)
