Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR36750771_1_paired	(13.0, 7.0)	(14.0, 122.0)	(15.0, 557.0)	(16.0, 1214.0)	(17.0, 1968.0)	(18.0, 2916.0)	(19.0, 4174.0)	(20.0, 5661.0)	(21.0, 8025.0)	(22.0, 10300.0)	(23.0, 14544.0)	(24.0, 20916.0)	(25.0, 32451.0)	(26.0, 49327.0)	(27.0, 77047.0)	(28.0, 115362.0)	(29.0, 166498.0)	(30.0, 226193.0)	(31.0, 298860.0)	(32.0, 398718.0)	(33.0, 543197.0)	(34.0, 849567.0)	(35.0, 2002872.0)	(36.0, 23790865.0)	(37.0, 3813865.0)		
SRR36750771_2_paired	(11.0, 62.0)	(12.0, 3087.0)	(13.0, 13183.0)	(14.0, 19399.0)	(15.0, 19650.0)	(16.0, 18694.0)	(17.0, 18374.0)	(18.0, 19387.0)	(19.0, 23546.0)	(20.0, 32507.0)	(21.0, 46258.0)	(22.0, 61804.0)	(23.0, 73671.0)	(24.0, 82000.0)	(25.0, 89931.0)	(26.0, 101693.0)	(27.0, 121367.0)	(28.0, 149111.0)	(29.0, 190250.0)	(30.0, 248516.0)	(31.0, 338486.0)	(32.0, 486357.0)	(33.0, 783180.0)	(34.0, 1622771.0)	(35.0, 5541671.0)	(36.0, 21467799.0)	(37.0, 862472.0)
SRR36750772_1_paired	(13.0, 2.0)	(14.0, 66.0)	(15.0, 247.0)	(16.0, 643.0)	(17.0, 1130.0)	(18.0, 1842.0)	(19.0, 3149.0)	(20.0, 4845.0)	(21.0, 7082.0)	(22.0, 9054.0)	(23.0, 12925.0)	(24.0, 19088.0)	(25.0, 27839.0)	(26.0, 41432.0)	(27.0, 63314.0)	(28.0, 92479.0)	(29.0, 132567.0)	(30.0, 177742.0)	(31.0, 232735.0)	(32.0, 305641.0)	(33.0, 422205.0)	(34.0, 674871.0)	(35.0, 1596443.0)	(36.0, 16834393.0)	(37.0, 2574279.0)		
SRR36750772_2_paired	(11.0, 37.0)	(12.0, 1864.0)	(13.0, 9492.0)	(14.0, 15249.0)	(15.0, 16171.0)	(16.0, 15492.0)	(17.0, 14518.0)	(18.0, 15174.0)	(19.0, 18951.0)	(20.0, 27660.0)	(21.0, 40892.0)	(22.0, 55349.0)	(23.0, 63862.0)	(24.0, 68214.0)	(25.0, 70984.0)	(26.0, 76437.0)	(27.0, 86652.0)	(28.0, 104447.0)	(29.0, 130735.0)	(30.0, 169349.0)	(31.0, 228465.0)	(32.0, 323534.0)	(33.0, 507820.0)	(34.0, 995198.0)	(35.0, 3268706.0)	(36.0, 16031460.0)	(37.0, 879301.0)
SRR36750775_1_paired	(13.0, 5.0)	(14.0, 133.0)	(15.0, 585.0)	(16.0, 1426.0)	(17.0, 2230.0)	(18.0, 3374.0)	(19.0, 5315.0)	(20.0, 7689.0)	(21.0, 10712.0)	(22.0, 13972.0)	(23.0, 19596.0)	(24.0, 28770.0)	(25.0, 42475.0)	(26.0, 63104.0)	(27.0, 94195.0)	(28.0, 137117.0)	(29.0, 192898.0)	(30.0, 258978.0)	(31.0, 337462.0)	(32.0, 444222.0)	(33.0, 616145.0)	(34.0, 978140.0)	(35.0, 2328076.0)	(36.0, 25448939.0)	(37.0, 3927596.0)		
SRR36750775_2_paired	(11.0, 24.0)	(12.0, 2252.0)	(13.0, 10859.0)	(14.0, 18207.0)	(15.0, 20009.0)	(16.0, 19654.0)	(17.0, 19268.0)	(18.0, 20160.0)	(19.0, 24107.0)	(20.0, 34279.0)	(21.0, 49841.0)	(22.0, 67425.0)	(23.0, 78542.0)	(24.0, 85556.0)	(25.0, 90425.0)	(26.0, 98139.0)	(27.0, 113671.0)	(28.0, 136866.0)	(29.0, 173732.0)	(30.0, 224616.0)	(31.0, 302855.0)	(32.0, 428819.0)	(33.0, 665833.0)	(34.0, 1287718.0)	(35.0, 4230408.0)	(36.0, 25050560.0)	(37.0, 1709329.0)
SRR36750776_1_paired	(13.0, 10.0)	(14.0, 158.0)	(15.0, 663.0)	(16.0, 1394.0)	(17.0, 2327.0)	(18.0, 3318.0)	(19.0, 4954.0)	(20.0, 7224.0)	(21.0, 10751.0)	(22.0, 15214.0)	(23.0, 21603.0)	(24.0, 31252.0)	(25.0, 45286.0)	(26.0, 65702.0)	(27.0, 95865.0)	(28.0, 138134.0)	(29.0, 194406.0)	(30.0, 259681.0)	(31.0, 338955.0)	(32.0, 448248.0)	(33.0, 612552.0)	(34.0, 954542.0)	(35.0, 2206498.0)	(36.0, 24851163.0)	(37.0, 4271671.0)		
SRR36750776_2_paired	(11.0, 49.0)	(12.0, 3238.0)	(13.0, 14454.0)	(14.0, 21560.0)	(15.0, 22840.0)	(16.0, 21797.0)	(17.0, 21622.0)	(18.0, 23497.0)	(19.0, 29373.0)	(20.0, 41713.0)	(21.0, 59640.0)	(22.0, 77866.0)	(23.0, 90292.0)	(24.0, 99077.0)	(25.0, 108899.0)	(26.0, 123300.0)	(27.0, 145265.0)	(28.0, 176803.0)	(29.0, 222931.0)	(30.0, 286195.0)	(31.0, 383892.0)	(32.0, 548103.0)	(33.0, 871149.0)	(34.0, 1767521.0)	(35.0, 5848624.0)	(36.0, 22617263.0)	(37.0, 954608.0)
SRR36750778_1_paired	(13.0, 2.0)	(14.0, 51.0)	(15.0, 266.0)	(16.0, 657.0)	(17.0, 1328.0)	(18.0, 2340.0)	(19.0, 3763.0)	(20.0, 6023.0)	(21.0, 9265.0)	(22.0, 12989.0)	(23.0, 18883.0)	(24.0, 28640.0)	(25.0, 44635.0)	(26.0, 69870.0)	(27.0, 107742.0)	(28.0, 160821.0)	(29.0, 231030.0)	(30.0, 315906.0)	(31.0, 423766.0)	(32.0, 573008.0)	(33.0, 820843.0)	(34.0, 1409597.0)	(35.0, 3772237.0)	(36.0, 21855585.0)	(37.0, 1892490.0)		
SRR36750778_2_paired	(11.0, 235.0)	(12.0, 3928.0)	(13.0, 14762.0)	(14.0, 21190.0)	(15.0, 21839.0)	(16.0, 20682.0)	(17.0, 20146.0)	(18.0, 22368.0)	(19.0, 28538.0)	(20.0, 42130.0)	(21.0, 61957.0)	(22.0, 84362.0)	(23.0, 103493.0)	(24.0, 120085.0)	(25.0, 140527.0)	(26.0, 168235.0)	(27.0, 208223.0)	(28.0, 262906.0)	(29.0, 341835.0)	(30.0, 453074.0)	(31.0, 632612.0)	(32.0, 952116.0)	(33.0, 1616513.0)	(34.0, 3270466.0)	(35.0, 8005938.0)	(36.0, 14709002.0)	(37.0, 434575.0)
