Sample	Unique Reads	Duplicate Reads
SRR36750771_1_paired	10902637.0	21532589.0
SRR36750771_2_paired	11744175.0	20691051.0
SRR36750772_1_paired	9542655.0	13693358.0
SRR36750772_2_paired	10029854.0	13206159.0
SRR36750775_1_paired	12516571.0	22446583.0
SRR36750775_2_paired	13057131.0	21906023.0
SRR36750776_1_paired	10781598.0	23799973.0
SRR36750776_2_paired	11642296.0	22939275.0
SRR36750778_1_paired	12325216.0	19436521.0
SRR36750778_2_paired	14296047.0	17465690.0
SRR36750779_1_paired	9940525.0	15807752.0
SRR36750779_2_paired	10649230.0	15099047.0
SRR36750780_1_paired	10547324.0	18368989.0
SRR36750780_2_paired	12358830.0	16557483.0
SRR36750781_1_paired	10382727.0	17711495.0
SRR36750781_2_paired	11631943.0	16462279.0
SRR36750783_1_paired	11432549.0	28340558.0
SRR36750783_2_paired	13969601.0	25803506.0
SRR36750784_1_paired	8701322.0	28206828.0
SRR36750784_2_paired	9977216.0	26930934.0
