Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR36750771_1_paired	(1.0, 21.95280746498229)	(2.0, 11.73665622024616)	(3.0, 6.640838728307171)	(4.0, 4.143559690448251)	(5.0, 2.8997518415704144)	(6.0, 2.177359637267604)	(7.0, 1.7676561084953282)	(8.0, 1.50340495377573)	(9.0, 1.2875198304270818)	('>10', 16.152068501519906)	('>50', 6.70751631919774)	('>100', 14.370206757286375)	('>500', 4.4085344646953715)	('>1k', 3.9283317661231902)	('>5k', 0.3237877156574087)	('>10k+', 0.0)
SRR36750771_2_paired	(1.0, 24.84000859515947)	(2.0, 11.454206134346425)	(3.0, 6.6209526445763)	(4.0, 4.099192391405634)	(5.0, 2.771654304270206)	(6.0, 2.0832407384438656)	(7.0, 1.620605873386926)	(8.0, 1.3557997830603807)	(9.0, 1.1539639212366006)	('>10', 15.401734281050548)	('>50', 6.560883939848011)	('>100', 13.92720982005103)	('>500', 4.013941468675292)	('>1k', 3.549161633227347)	('>5k', 0.24983600036177794)	('>10k+', 0.2976084709000284)
SRR36750772_1_paired	(1.0, 27.84889052553562)	(2.0, 13.873519450712008)	(3.0, 7.6689639139438075)	(4.0, 4.724628477850472)	(5.0, 3.20548428361511)	(6.0, 2.3681014443159167)	(7.0, 1.8926741589786318)	(8.0, 1.5930305286510182)	(9.0, 1.2530835661391169)	('>10', 14.199498723780449)	('>50', 4.454420002039709)	('>100', 9.450294938548238)	('>500', 3.4379869423147955)	('>1k', 3.7471466051048328)	('>5k', 0.2337212769305215)	('>10k+', 0.0485551615395336)
SRR36750772_2_paired	(1.0, 30.283078660852585)	(2.0, 13.673822312464374)	(3.0, 7.371130889026784)	(4.0, 4.5615333591244065)	(5.0, 3.103821911369476)	(6.0, 2.3065665657810563)	(7.0, 1.8036349829689948)	(8.0, 1.507231690458579)	(9.0, 1.245391041212305)	('>10', 13.587042382058446)	('>50', 4.353993125490233)	('>100', 9.15358616711793)	('>500', 3.221556000144515)	('>1k', 3.358421168832013)	('>5k', 0.17820978838749443)	('>10k+', 0.2909799547112207)
SRR36750775_1_paired	(1.0, 23.825552833888235)	(2.0, 12.05029312739448)	(3.0, 6.811304386999008)	(4.0, 4.353099086257119)	(5.0, 3.150889241019768)	(6.0, 2.392582404767586)	(7.0, 1.8840217233676213)	(8.0, 1.571437688218634)	(9.0, 1.3296183041080136)	('>10', 14.950662760314154)	('>50', 5.038887107388399)	('>100', 11.670886931836613)	('>500', 4.693654987916533)	('>1k', 5.6640636270249765)	('>5k', 0.4632652295102875)	('>10k+', 0.14978055998868917)
SRR36750775_2_paired	(1.0, 25.47069891103428)	(2.0, 12.135848718411326)	(3.0, 6.694126588500804)	(4.0, 4.310333028449547)	(5.0, 2.938920182870224)	(6.0, 2.279263416057828)	(7.0, 1.8492267229241026)	(8.0, 1.5400073915010917)	(9.0, 1.3275704734779745)	('>10', 14.674096275395668)	('>50', 4.968778465414974)	('>100', 11.220009704069096)	('>500', 4.583033727769626)	('>1k', 5.258449945047926)	('>5k', 0.4281764498543185)	('>10k+', 0.3214599992211265)
SRR36750776_1_paired	(1.0, 19.820234339608206)	(2.0, 10.925416143419072)	(3.0, 6.480315861895107)	(4.0, 4.2087662873297935)	(5.0, 3.06457969961344)	(6.0, 2.3419940551679748)	(7.0, 1.9640477928643967)	(8.0, 1.6026137999149896)	(9.0, 1.3571810948657799)	('>10', 16.50402690519814)	('>50', 6.068794737698115)	('>100', 13.331616720149183)	('>500', 5.20280013139522)	('>1k', 6.413041095507877)	('>5k', 0.5063045388967412)	('>10k+', 0.20826679647594795)
SRR36750776_2_paired	(1.0, 22.663089121202436)	(2.0, 10.624910784679603)	(3.0, 6.139047729325435)	(4.0, 4.138411520331326)	(5.0, 2.931458029286884)	(6.0, 2.2858230054360154)	(7.0, 1.9087043908136856)	(8.0, 1.5733896792220667)	(9.0, 1.3225582083088863)	('>10', 16.124949351104092)	('>50', 5.986089719603251)	('>100', 12.761298654445602)	('>500', 4.836659920505553)	('>1k', 5.85083416581653)	('>5k', 0.35666256091856474)	('>10k+', 0.49611315900011155)
SRR36750778_1_paired	(1.0, 26.315556227239384)	(2.0, 12.73449011577497)	(3.0, 7.415912087713128)	(4.0, 4.729476790775253)	(5.0, 3.2245366233033925)	(6.0, 2.3170670504540096)	(7.0, 1.8442249761122007)	(8.0, 1.4953698189894233)	(9.0, 1.2134056917920621)	('>10', 13.266393937559437)	('>50', 4.4938308604546275)	('>100', 10.787731721121132)	('>500', 4.4821075346849355)	('>1k', 5.166052134800507)	('>5k', 0.3537429977795604)	('>10k+', 0.16010143144574365)
SRR36750778_2_paired	(1.0, 33.40526841611956)	(2.0, 12.131787623041166)	(3.0, 6.726750757257473)	(4.0, 4.339051356234799)	(5.0, 2.919993378954935)	(6.0, 2.0656076131434897)	(7.0, 1.7035901750674647)	(8.0, 1.381207378660067)	(9.0, 1.0457600638865614)	('>10', 11.743501615847538)	('>50', 4.1037908698982175)	('>100', 9.785554815308593)	('>500', 3.9257926127081926)	('>1k', 4.109598207507063)	('>5k', 0.2220196755349758)	('>10k+', 0.39072544082987776)
SRR36750779_1_paired	(1.0, 25.927677258877264)	(2.0, 13.068708350346425)	(3.0, 7.701759054308599)	(4.0, 4.759246213134182)	(5.0, 3.182825991996263)	(6.0, 2.2406521631411076)	(7.0, 1.7919973997510437)	(8.0, 1.417526857228284)	(9.0, 1.1871135529133765)	('>10', 12.60877904801075)	('>50', 4.581806002651798)	('>100', 11.348598234330067)	('>500', 4.7585256573994545)	('>1k', 4.9535311145561005)	('>5k', 0.3804107147759249)	('>10k+', 0.09084238657924176)
SRR36750779_2_paired	(1.0, 29.02368594551259)	(2.0, 12.843013242811866)	(3.0, 7.491856716639364)	(4.0, 4.59115277620478)	(5.0, 3.046008023724078)	(6.0, 2.2117196149837626)	(7.0, 1.6382040024348443)	(8.0, 1.2866558908235037)	(9.0, 1.0775523930667672)	('>10', 12.11742641764761)	('>50', 4.3625601582317275)	('>100', 10.8049833572098)	('>500', 4.516753900592053)	('>1k', 4.381434558038803)	('>5k', 0.25958949404611004)	('>10k+', 0.3474035080323974)
SRR36750780_1_paired	(1.0, 24.507697192469806)	(2.0, 12.244932770483294)	(3.0, 7.204674004208296)	(4.0, 4.419713074050955)	(5.0, 2.9957467234748867)	(6.0, 2.285187123914436)	(7.0, 1.7281690087902855)	(8.0, 1.3728710590185438)	(9.0, 1.1098880931978476)	('>10', 12.66343820140323)	('>50', 4.631883926584329)	('>100', 11.578732414778122)	('>500', 5.250725230207382)	('>1k', 7.018980840531157)	('>5k', 0.7480924286339279)	('>10k+', 0.23926790825337801)
SRR36750780_2_paired	(1.0, 31.668556538512423)	(2.0, 11.51647002893336)	(3.0, 6.484873640772849)	(4.0, 4.036485230431397)	(5.0, 2.794488579313298)	(6.0, 2.032885113385946)	(7.0, 1.5613588149740443)	(8.0, 1.2378062634540965)	(9.0, 1.015700300209666)	('>10', 11.662014371574067)	('>50', 4.241670405068599)	('>100', 10.317386525209821)	('>500', 4.675401103098374)	('>1k', 5.716016848869873)	('>5k', 0.6289059563871239)	('>10k+', 0.4099802798047561)
SRR36750781_1_paired	(1.0, 25.43531982810553)	(2.0, 12.325246304166624)	(3.0, 6.777735210187793)	(4.0, 4.088834051394265)	(5.0, 2.7478295698549577)	(6.0, 1.9860914461188928)	(7.0, 1.4964600370831622)	(8.0, 1.1820640356225594)	(9.0, 0.9922109117259883)	('>10', 11.015934338625772)	('>50', 3.9973479724459313)	('>100', 11.985641532130186)	('>500', 6.537020047445279)	('>1k', 8.30841151926152)	('>5k', 0.8275157646607177)	('>10k+', 0.29633743117059963)
SRR36750781_2_paired	(1.0, 30.40548872409763)	(2.0, 11.886983833044628)	(3.0, 6.3829063393570795)	(4.0, 3.939595686293932)	(5.0, 2.5474783740864297)	(6.0, 1.8830300996411502)	(7.0, 1.48955515298774)	(8.0, 1.0498212021135145)	(9.0, 0.8962145931712318)	('>10', 10.236074782479509)	('>50', 3.716408092549743)	('>100', 11.36809680487605)	('>500', 5.903166521097524)	('>1k', 7.17122641543707)	('>5k', 0.6996553386914317)	('>10k+', 0.4242980400753829)
SRR36750783_1_paired	(1.0, 19.270072129679086)	(2.0, 9.388064162405053)	(3.0, 5.571113002829377)	(4.0, 3.6496889386521922)	(5.0, 2.481265400662145)	(6.0, 1.9172731559532066)	(7.0, 1.4543230517801775)	(8.0, 1.1766019294038104)	(9.0, 0.9763415187742177)	('>10', 11.075804436839675)	('>50', 3.7762767129309345)	('>100', 11.317883195569026)	('>500', 7.427367341172521)	('>1k', 16.181279830053782)	('>5k', 3.1626579126449568)	('>10k+', 1.1739872806497207)
SRR36750783_2_paired	(1.0, 25.998785921124224)	(2.0, 9.277262056798275)	(3.0, 5.326518045674721)	(4.0, 3.440606816082685)	(5.0, 2.3378268387275454)	(6.0, 1.6744725869419694)	(7.0, 1.384109486165344)	(8.0, 1.1169227862125444)	(9.0, 0.9180018968823818)	('>10', 10.054290543515028)	('>50', 3.4972888299463376)	('>100', 10.565620239956957)	('>500', 6.695457712533248)	('>1k', 14.07047972322592)	('>5k', 2.4575058021781664)	('>10k+', 1.184850714034717)
