Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR36750771_1_paired	SRR36750771_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32435226.0	4.8 Gbp	0.0	149-150	50.0	33.61356762103296	149.9999630648481	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR36750771_2_paired	SRR36750771_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32435226.0	4.8 Gbp	0.0	150.0	50.0	36.20808450801926	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
SRR36750772_1_paired	SRR36750772_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23236013.0	3.4 Gbp	0.0	149-150	51.0	41.06838163502969	149.9999632897434	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR36750772_2_paired	SRR36750772_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23236013.0	3.4 Gbp	0.0	150.0	51.0	43.16512434640756	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
SRR36750775_1_paired	SRR36750775_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34963154.0	5.2 Gbp	0.0	149-150	51.0	35.79931882431738	149.9999628466013	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR36750775_2_paired	SRR36750775_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34963154.0	5.2 Gbp	0.0	150.0	51.0	37.345402340201304	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
SRR36750776_1_paired	SRR36750776_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34581571.0	5.1 Gbp	0.0	149-150	52.0	31.177290973243892	149.9999630438999	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
SRR36750776_2_paired	SRR36750776_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34581571.0	5.1 Gbp	0.0	150.0	52.0	33.666185333967974	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
SRR36750778_1_paired	SRR36750778_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31761737.0	4.7 Gbp	0.0	149-150	50.0	38.8052313921027	149.99967048401666	150	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass
SRR36750778_2_paired	SRR36750778_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31761737.0	4.7 Gbp	0.0	130-150	49.0	45.01028057777629	149.99997273448867	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR36750779_1_paired	SRR36750779_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25748277.0	3.8 Gbp	0.0	149-150	50.0	38.606560289036025	149.99967504621765	150	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
SRR36750779_2_paired	SRR36750779_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25748277.0	3.8 Gbp	0.0	134-150	50.0	41.35899865363305	149.999974444892	150	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
SRR36750780_1_paired	SRR36750780_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28916313.0	4.3 Gbp	0.0	149-150	49.0	36.4753401002382	149.99967288360725	150	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
SRR36750780_2_paired	SRR36750780_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28916313.0	4.3 Gbp	0.0	134-150	49.0	42.73998904327287	149.99997188438235	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR36750781_1_paired	SRR36750781_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28094222.0	4.2 Gbp	0.0	149-150	49.0	36.95680212881193	149.9996790443245	150	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
SRR36750781_2_paired	SRR36750781_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28094222.0	4.2 Gbp	0.0	130-150	49.0	41.40332725988246	149.99997287698517	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR36750783_1_paired	SRR36750783_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39773107.0	5.9 Gbp	0.0	149-150	49.0	28.744417788580527	149.99967196427477	150	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
SRR36750783_2_paired	SRR36750783_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39773107.0	5.9 Gbp	0.0	134-150	49.0	35.123231664681356	149.99997251911952	150	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR36750784_1_paired	SRR36750784_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36908150.0	5.5 Gbp	0.0	149-150	54.0	23.575609997748135	149.99996447939006	150	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR36750784_2_paired	SRR36750784_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36908150.0	5.5 Gbp	0.0	150.0	54.0	27.03255511257514	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
