Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR36750771_1_paired	66.38643237896704	50.0	149.9999630648481	150	18.181818181818183	32.435226
SRR36750771_2_paired	63.79191549198074	50.0	150.0	150	18.181818181818183	32.435226
SRR36750772_1_paired	58.93161836497031	51.0	149.9999632897434	150	18.181818181818183	23.236013
SRR36750772_2_paired	56.83487565359244	51.0	150.0	150	18.181818181818183	23.236013
SRR36750775_1_paired	64.20068117568262	51.0	149.9999628466013	150	18.181818181818183	34.963153999999996
SRR36750775_2_paired	62.654597659798696	51.0	150.0	150	18.181818181818183	34.963153999999996
SRR36750776_1_paired	68.82270902675612	52.0	149.9999630438999	150	27.27272727272727	34.581571
SRR36750776_2_paired	66.33381466603203	52.0	150.0	150	27.27272727272727	34.581571
SRR36750778_1_paired	61.1947686078973	50.0	149.99967048401666	150	18.181818181818183	31.761737
SRR36750778_2_paired	54.98971942222371	49.0	149.99997273448867	150	18.181818181818183	31.761737
SRR36750779_1_paired	61.393439710963975	50.0	149.99967504621765	150	18.181818181818183	25.748276999999998
SRR36750779_2_paired	58.64100134636695	50.0	149.999974444892	150	18.181818181818183	25.748276999999998
SRR36750780_1_paired	63.5246598997618	49.0	149.99967288360725	150	18.181818181818183	28.916313
SRR36750780_2_paired	57.26001095672713	49.0	149.99997188438235	150	18.181818181818183	28.916313
SRR36750781_1_paired	63.04319787118807	49.0	149.9996790443245	150	18.181818181818183	28.094222
SRR36750781_2_paired	58.59667274011754	49.0	149.99997287698517	150	18.181818181818183	28.094222
SRR36750783_1_paired	71.25558221141947	49.0	149.99967196427477	150	18.181818181818183	39.773106999999996
SRR36750783_2_paired	64.87676833531864	49.0	149.99997251911952	150	18.181818181818183	39.773106999999996
SRR36750784_1_paired	76.42439000225187	54.0	149.99996447939006	150	27.27272727272727	36.90815
SRR36750784_2_paired	72.96744488742486	54.0	150.0	150	27.27272727272727	36.90815
