.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR36750771_1	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR36750771_2	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR36750772_1	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR36750772_2	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR36750775_1	1	1	1	1	0.25	1	1	1	0.25	1	1
SRR36750775_2	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR36750776_1	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR36750776_2	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR36750778_1	1	1	0.5	1	0.25	1	1	1	0.25	1	1
SRR36750778_2	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR36750779_1	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR36750779_2	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR36750780_1	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR36750780_2	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR36750781_1	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR36750781_2	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR36750783_1	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR36750783_2	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR36750784_1	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR36750784_2	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
