Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR36750771_1 - illumina_universal_adapter	(1, 0.00010081464957835953)	(2, 0.00010692462834068436)	(3, 0.00010997961772184676)	(4, 0.00010997961772184676)	(5, 0.00010997961772184676)	(6, 0.00010997961772184676)	(7, 0.00010997961772184676)	(8, 0.00010997961772184676)	(9, 0.00010997961772184676)	(10, 0.0001237270699370776)	(12, 0.0001451119956052145)	(14, 0.00016038694251102652)	(16, 0.00018177186817916339)	(18, 0.0002107942673002063)	(20, 0.0002825865177575229)	(22, 0.0003665987257394892)	(24, 0.00046894087000842993)	(26, 0.0006064153921607384)	(28, 0.0007744398081246709)	(30, 0.0010142564745459202)	(32, 0.0012158857737026392)	(34, 0.0014266800410028453)	(36, 0.001707739064069787)	(38, 0.0019949080658990537)	(40, 0.0022683296155130896)	(42, 0.0025539711226517745)	(44, 0.0028655800395303403)	(46, 0.003187881419242975)	(48, 0.0035483701662201396)	(50, 0.0039516287645335775)	(52, 0.004382382267277477)	(54, 0.004758145961160453)	(56, 0.005150712096639823)	(58, 0.005564663157787329)	(60, 0.006090121331347264)	(62, 0.006578919632333251)	(64, 0.007049387997032261)	(66, 0.0075580437289958025)	(68, 0.008059061987506437)	(70, 0.008624235023021483)	(72, 0.009187880563845948)	(74, 0.009855395743629935)	(76, 0.010519855934032759)	(78, 0.01123014096515302)	(80, 0.012015273236111759)	(82, 0.012840120369025609)	(84, 0.01384368438073746)	(86, 0.014941953063265347)	(88, 0.015956209537811267)	(90, 0.01730345985490389)	(92, 0.01882026208265103)	(94, 0.02062270581753685)	(96, 0.02262677885157939)	(98, 0.024673621736958203)	(100, 0.0271038657896729)	(102, 0.030287164724844134)	(104, 0.0342723983725705)	(106, 0.03876323276287924)	(108, 0.04385284507189582)	(110, 0.049758139545682756)	(112, 0.05712371894366532)	(114, 0.06620620237386117)	(116, 0.07696129249024343)	(118, 0.08910945776443577)	(120, 0.10290884479914636)	(122, 0.1192820603874863)	(124, 0.1399887784130051)	(126, 0.16410180959852003)	(128, 0.19116748802092837)	(130, 0.2216516995608575)	(132, 0.2572560733036148)	(134, 0.2989505683777194)	(136, 0.3481252049516001)	(138, 0.40122244789089334)
SRR36750771_1 - polya	(1, 0.002257637152679021)	(2, 0.005975559229553674)	(3, 0.007939917401641104)	(4, 0.010848267292507718)	(5, 0.013167004232809988)	(6, 0.01550407110939923)	(7, 0.01829022142501935)	(8, 0.02474235899803436)	(9, 0.035169037755941664)	(10, 0.04292260080533186)	(12, 0.048827895279118794)	(14, 0.05960742531055036)	(16, 0.07033349302781158)	(18, 0.07724998898676327)	(20, 0.08524031371319356)	(22, 0.09361709459634089)	(24, 0.10110640106426054)	(26, 0.11076627748749608)	(28, 0.1202260521062655)	(30, 0.12843633606813948)	(32, 0.13553002141119858)	(34, 0.1439129122731082)	(36, 0.1510508949621942)	(38, 0.15782227892554068)	(40, 0.16533449781381904)	(42, 0.17235944589580202)	(44, 0.17945618622824228)	(46, 0.18748775331131828)	(48, 0.19438286434460184)	(50, 0.20124895297876433)	(52, 0.20859467494576936)	(54, 0.21752593640159767)	(56, 0.22513285996069204)	(58, 0.23312165719243177)	(60, 0.24096686992325683)	(62, 0.25192206184410526)	(64, 0.2605569893299608)	(66, 0.27063692679310614)	(68, 0.2824597356982047)	(70, 0.2930498563880042)	(72, 0.3011852931100397)	(74, 0.3085050476673048)	(76, 0.3163090180414842)	(78, 0.32438335497589643)	(80, 0.3305758184515126)	(82, 0.3370661433917922)	(84, 0.34654577544153914)	(86, 0.3582647147076782)	(88, 0.36929169887898383)	(90, 0.38196837731611727)	(92, 0.39233548378109195)	(94, 0.40209922984328694)	(96, 0.40940523694833686)	(98, 0.41604220137891224)	(100, 0.42442814723020306)	(102, 0.43250401165930585)	(104, 0.44068680071674937)	(106, 0.4481318098386422)	(108, 0.45697447660241675)	(110, 0.46482732680669475)	(112, 0.47191031968691977)	(114, 0.47874738592196125)	(116, 0.4858624561906885)	(118, 0.49348312720199816)	(120, 0.5004118431184745)	(122, 0.5071633696508434)	(124, 0.5146771160338124)	(126, 0.5232341412904482)	(128, 0.5314031828956766)	(130, 0.5408262976418721)	(132, 0.551236173958183)	(134, 0.5625243597215781)	(136, 0.57220103858641)	(138, 0.5809123408067945)
SRR36750771_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 9.16496814348723e-05)	(4, 0.00015885944782044532)	(5, 0.00019857430977555666)	(6, 0.00031466390625972825)	(7, 0.00043991847088738705)	(8, 0.0008370670904385004)	(9, 0.001393075157810059)	(10, 0.0018146636924104716)	(12, 0.0023630342863291244)	(14, 0.0028915474492702212)	(16, 0.0033940932024714376)	(18, 0.0037729118857355763)	(20, 0.004205192883170058)	(22, 0.004759673455851035)	(24, 0.005140019633805755)	(26, 0.005541750737428612)	(28, 0.005993889165840649)	(30, 0.006478104982754891)	(32, 0.007017310608530056)	(34, 0.007519856361731272)	(36, 0.008136964216726078)	(38, 0.008738797124815074)	(40, 0.009387982368312085)	(42, 0.010087574936598277)	(44, 0.010820772388077257)	(46, 0.011607432153726577)	(48, 0.012442971749474497)	(50, 0.013339611132845663)	(52, 0.014178205717974745)	(54, 0.015158857309327877)	(56, 0.016286148390976807)	(58, 0.017421076946078643)	(60, 0.01854684053303699)	(62, 0.019771891274883116)	(64, 0.02095264467070239)	(66, 0.022298367493104432)	(68, 0.024166493499685242)	(70, 0.038034617795472)	(72, 0.04375814040107978)	(74, 0.04585386311655719)	(76, 0.04743329262661816)	(78, 0.048954677338437044)	(80, 0.05047300706087476)	(82, 0.051977589331097244)	(84, 0.05344551172874579)	(86, 0.055035633701640815)	(88, 0.05661048072763004)	(90, 0.05832432977046215)	(92, 0.060106916074370416)	(94, 0.06207280174114843)	(96, 0.0640829847539533)	(98, 0.06612677264995095)	(100, 0.06816139557780511)	(102, 0.07016241362246649)	(104, 0.07246587561586296)	(106, 0.0746807429172057)	(108, 0.07733858367881699)	(110, 0.07968939800762145)	(112, 0.08195467263375339)	(114, 0.08451169874578633)	(116, 0.08693583281973871)	(118, 0.08936913186183457)	(120, 0.09208959990575968)	(122, 0.09529581126128964)	(124, 0.09802697176804884)	(126, 0.10109570860142647)	(128, 0.10450354925611313)	(130, 0.10817717398696094)	(132, 0.11160028958855342)	(134, 0.11497299786535672)	(136, 0.11867106251125381)	(138, 0.12197808851636213)
SRR36750771_2 - illumina_universal_adapter	(1, 9.16496814348723e-05)	(2, 9.775966019719712e-05)	(3, 0.00010081464957835953)	(4, 0.00010997961772184676)	(5, 0.00010997961772184676)	(6, 0.00010997961772184676)	(7, 0.00010997961772184676)	(8, 0.00010997961772184676)	(9, 0.00010997961772184676)	(10, 0.0001237270699370776)	(12, 0.0001481669849863769)	(14, 0.00016955191065451376)	(16, 0.00019857430977555663)	(18, 0.00022912420358718073)	(20, 0.00031313641156914703)	(22, 0.00040478609300401933)	(24, 0.000536150636394003)	(26, 0.0007484723983847905)	(28, 0.0009760691072813899)	(30, 0.0013228104020433235)	(32, 0.0015901219728950344)	(34, 0.0018436860915315143)	(36, 0.00220570233319926)	(38, 0.0026104884262032795)	(40, 0.0029480647528217258)	(42, 0.0033635433086598135)	(44, 0.0038340116733588244)	(46, 0.004275457638936792)	(48, 0.004787168360281497)	(50, 0.005358451374558867)	(52, 0.0059388993569797245)	(54, 0.006517819844710002)	(56, 0.007125762731561321)	(58, 0.007721485660887992)	(60, 0.00838136336721907)	(62, 0.009027493621334922)	(64, 0.009730141179002276)	(66, 0.010397656358786263)	(68, 0.011101831411144198)	(70, 0.011880853703340612)	(72, 0.012632381091106565)	(74, 0.01347403066561681)	(76, 0.014330955187032866)	(78, 0.015169549772161946)	(80, 0.016144091384752757)	(82, 0.017176677795585647)	(84, 0.018452135862220956)	(86, 0.019764253801430213)	(88, 0.020972502101679946)	(90, 0.022495414308189406)	(92, 0.024168020994375827)	(94, 0.026181258996561853)	(96, 0.028435841159859712)	(98, 0.030704170775372804)	(100, 0.03338034147327107)	(102, 0.03679429210672007)	(104, 0.040982682548293736)	(106, 0.04572708105723895)	(108, 0.05104429007515213)	(110, 0.05711455397552184)	(112, 0.06464968528415892)	(114, 0.07394449047634555)	(116, 0.0849607821848172)	(118, 0.09731821423161915)	(120, 0.11123827334688567)	(122, 0.12787421802200558)	(124, 0.14871993806436729)	(126, 0.17296433379327217)	(128, 0.2000116822793936)	(130, 0.23041493660072188)	(132, 0.26577643868767675)	(134, 0.30734567919715367)	(136, 0.35600555006030854)	(138, 0.4084352778198178)
SRR36750771_2 - polya	(1, 0.004008146068085082)	(2, 0.008902239056707263)	(3, 0.015119142447372768)	(4, 0.02523726727778267)	(5, 0.035612011216210215)	(6, 0.045332987427069)	(7, 0.055090623510501736)	(8, 0.07060996956680678)	(9, 0.09005497697790553)	(10, 0.11204326304882196)	(12, 0.1334633210948422)	(14, 0.1607489587526943)	(16, 0.18770618505207137)	(18, 0.2097372409743241)	(20, 0.23187063904084576)	(22, 0.25366798827543957)	(24, 0.2732947675547175)	(26, 0.2938319336695817)	(28, 0.31436909978444605)	(30, 0.3324668568784522)	(32, 0.34955952246605587)	(34, 0.3684210269053526)	(36, 0.3842779492882761)	(38, 0.3991236701860348)	(40, 0.41410992059532703)	(42, 0.4291313033825026)	(44, 0.4435355783146834)	(46, 0.4585951484691234)	(48, 0.4722860833808028)	(50, 0.4848802771046448)	(52, 0.4983879126534544)	(54, 0.5126959554201285)	(56, 0.5253741613519525)	(58, 0.5390177439282239)	(60, 0.5522733428530875)	(62, 0.5677407540899129)	(64, 0.5809260882590098)	(66, 0.5959031737001586)	(68, 0.6124016438531261)	(70, 0.6280783218625611)	(72, 0.6403074443553541)	(74, 0.6510655894611176)	(76, 0.6627234289396333)	(78, 0.6747952194792965)	(80, 0.684969861613258)	(82, 0.6954606951481697)	(84, 0.7082992880225047)	(86, 0.723701016987635)	(88, 0.7379479599666859)	(90, 0.7544296276780571)	(92, 0.7680487703392792)	(94, 0.7810538601348875)	(96, 0.791698970633548)	(98, 0.8019637349542537)	(100, 0.8134459125433526)	(102, 0.8245263590288286)	(104, 0.8354555835399372)	(106, 0.8455813458438)	(108, 0.8570406110125401)	(110, 0.867100691044708)	(112, 0.8770523189538446)	(114, 0.8864769611947305)	(116, 0.8961368376179661)	(118, 0.905802824019964)	(120, 0.9152396862183747)	(122, 0.924247322408732)	(124, 0.9338262416133668)	(126, 0.9444667696279554)	(128, 0.9543832651592086)	(130, 0.9659295975253119)	(132, 0.9782778646039705)	(134, 0.9908415084340008)	(136, 1.002184684006257)	(138, 1.0128022996004868)
SRR36750771_2 - polyg	(1, 0.5157555272853627)	(2, 0.5259714117759698)	(3, 0.526521309864579)	(4, 0.527123142772668)	(5, 0.5276699858718961)	(6, 0.5282351589074111)	(7, 0.5289683563588902)	(8, 0.5300162177166289)	(9, 0.5314123478638201)	(10, 0.5333721235518357)	(12, 0.5360314918081377)	(14, 0.537759088303185)	(16, 0.5386694751387713)	(18, 0.5394210025265374)	(20, 0.5400900452010118)	(22, 0.5408782324613518)	(24, 0.5415915724818532)	(26, 0.5422682526297806)	(28, 0.5430014500812597)	(30, 0.5436414703566133)	(32, 0.544389942754998)	(34, 0.5450773153657595)	(36, 0.5457570505030682)	(38, 0.546432203156305)	(40, 0.547052366000681)	(42, 0.547756541053039)	(44, 0.5484316937062759)	(46, 0.5490579665294142)	(48, 0.5497147892463641)	(50, 0.5503181496491436)	(52, 0.5509658073979501)	(54, 0.5516944223653573)	(56, 0.552450532237195)	(58, 0.5530981899860015)	(60, 0.5537565401976419)	(62, 0.5544836276703586)	(64, 0.5551984951855506)	(66, 0.5559866824458906)	(68, 0.5567641772433962)	(70, 0.5575263970939963)	(72, 0.5583206943330986)	(74, 0.5591608164129183)	(76, 0.5600482908281459)	(78, 0.5609602051584228)	(80, 0.5619668241595159)	(82, 0.5629719156659183)	(84, 0.5639831171510831)	(86, 0.5651363756424719)	(88, 0.5662621392294303)	(90, 0.567528432327922)	(92, 0.5688665176768712)	(94, 0.5703283300957573)	(96, 0.5718237473978365)	(98, 0.5732580649122921)	(100, 0.574674052490461)	(102, 0.5762015471810421)	(104, 0.5779474736123764)	(106, 0.5798889193641052)	(108, 0.5818593875149549)	(110, 0.5837748658569437)	(112, 0.5858110162794885)	(114, 0.5880289385702124)	(116, 0.5901995085255283)	(118, 0.5925151904764494)	(120, 0.5948690597946351)	(122, 0.5974841307049101)	(124, 0.600125169024925)	(126, 0.6029938040538365)	(128, 0.605880769019035)	(130, 0.6089632533046279)	(132, 0.6122947192247854)	(134, 0.6158507268644584)	(136, 0.6197152884316289)	(138, 0.6233904406571673)
SRR36750772_1 - illumina_universal_adapter	(1, 0.00014459202233929735)	(2, 0.00014884472887868844)	(3, 0.00014884472887868844)	(4, 0.00014884472887868844)	(5, 0.00014884472887868844)	(6, 0.00014884472887868844)	(7, 0.00015309743541807954)	(8, 0.00015309743541807954)	(9, 0.00015309743541807954)	(10, 0.00016585555503625284)	(12, 0.00018499273446351277)	(14, 0.0002211407400483371)	(16, 0.00025941509890285697)	(18, 0.00030406851756646354)	(20, 0.00036785911565733)	(22, 0.0004954403118390629)	(24, 0.0006187688014814048)	(26, 0.0007867507097873531)	(28, 0.0009781225040599527)	(30, 0.0011354726460174234)	(32, 0.001424656690696018)	(34, 0.0016713136699807016)	(36, 0.0019498659483108186)	(38, 0.0022369236397197173)	(40, 0.0025324867442073993)	(42, 0.002889714093516251)	(44, 0.003280963095140232)	(46, 0.0035914106725157824)	(48, 0.003938006255476157)	(50, 0.004325002550560748)	(52, 0.004756652264308943)	(54, 0.005143648559393533)	(56, 0.005562540153523556)	(58, 0.006070738584980793)	(60, 0.006623590435101636)	(62, 0.007172189578683087)	(64, 0.0077356731951524075)	(66, 0.008294904105082337)	(68, 0.008873272194439527)	(70, 0.009385723332436154)	(72, 0.010059777318929644)	(74, 0.010782737430626129)	(76, 0.011478054949816574)	(78, 0.012237163067097885)	(80, 0.013019661070345849)	(82, 0.01394037203612402)	(84, 0.015037570323286925)	(86, 0.016351656643958774)	(88, 0.017612584132888236)	(90, 0.019275392389790154)	(92, 0.021152962326931323)	(94, 0.023464308331090384)	(96, 0.026066964733197737)	(98, 0.029145924267716894)	(100, 0.03282664177755989)	(102, 0.037406806720484104)	(104, 0.04327766809811351)	(106, 0.05007987220786957)	(108, 0.057522108651803995)	(110, 0.06665692229841608)	(112, 0.07773097012699048)	(114, 0.09218166694784144)	(116, 0.10860136689643048)	(118, 0.1273558027351452)	(120, 0.14892978300947626)	(122, 0.17480750230167108)	(124, 0.20617546573621984)	(126, 0.24168131263359613)	(128, 0.2817630717673572)	(130, 0.32571266749869454)	(132, 0.37466982518016484)	(134, 0.43246835975702924)	(136, 0.49910401852274844)	(138, 0.5695245861085256)
SRR36750772_1 - polya	(1, 0.0025601293367134414)	(2, 0.006230215080207959)	(3, 0.008216229034103602)	(4, 0.011052784295877464)	(5, 0.01347682702333039)	(6, 0.015535136988395683)	(7, 0.018180320455896945)	(8, 0.02415537314374144)	(9, 0.03260550103751155)	(10, 0.04083236183796363)	(12, 0.0463863965784084)	(14, 0.05641853130483201)	(16, 0.06763291844920633)	(18, 0.07477321272884399)	(20, 0.0823153877764541)	(22, 0.09120567079705119)	(24, 0.09906467248184594)	(26, 0.10856734524411535)	(28, 0.11841448723607544)	(30, 0.1268412252438789)	(32, 0.134160133198171)	(34, 0.1426123874452108)	(36, 0.14959745793616067)	(38, 0.1564081674589955)	(40, 0.16517512198995027)	(42, 0.17253230430309685)	(44, 0.17980443248545563)	(46, 0.18844805852676805)	(48, 0.19614758371633562)	(50, 0.20309650620170067)	(52, 0.21109584720229535)	(54, 0.22090471483540092)	(56, 0.22911669116296512)	(58, 0.23737969996900202)	(60, 0.24590637658048117)	(62, 0.2563829191402711)	(64, 0.26570059916807703)	(66, 0.27560302634504924)	(68, 0.2859009552301848)	(70, 0.29629244365918694)	(72, 0.30462349576985404)	(74, 0.3114937431842404)	(76, 0.31930596509710185)	(78, 0.3276689125068144)	(80, 0.3342329650503646)	(82, 0.34108832799186306)	(84, 0.35099288152210495)	(86, 0.36306418903416654)	(88, 0.3731686197717598)	(90, 0.38419376147513123)	(92, 0.3942918131529154)	(94, 0.40514046753490207)	(96, 0.413012227339315)	(98, 0.42009511008067085)	(100, 0.428181631565323)	(102, 0.43621286786496316)	(104, 0.44471615459047564)	(106, 0.4525836616883492)	(108, 0.46184605653114297)	(110, 0.47012607616333746)	(112, 0.4771664318392994)	(114, 0.48451085603282784)	(116, 0.49206791555332585)	(118, 0.5001905850435628)	(120, 0.5074690922857307)	(122, 0.5150133936866105)	(124, 0.5234061100420988)	(126, 0.5325579345148685)	(128, 0.5414439648289262)	(130, 0.5522139441399341)	(132, 0.5639173925363384)	(134, 0.576150302896897)	(136, 0.587388079927238)	(138, 0.5976881351656431)
SRR36750772_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 8.930683732721306e-05)	(4, 0.00014459202233929735)	(5, 0.00019137179427259943)	(6, 0.0002806786315998125)	(7, 0.0004210179473997187)	(8, 0.00073571823131466)	(9, 0.001126967232938641)	(10, 0.0014544256364717556)	(12, 0.0019158442959956896)	(14, 0.002445306260149881)	(16, 0.00288546138697686)	(18, 0.0032278042633978434)	(20, 0.0036424431509884756)	(22, 0.004105988163782106)	(24, 0.004435572920584915)	(26, 0.00478216850354529)	(28, 0.005230829043451051)	(30, 0.005726269355290114)	(32, 0.006334406390423041)	(34, 0.00681708858264393)	(36, 0.00737631949257386)	(38, 0.00795894028847044)	(40, 0.008673394987088145)	(42, 0.009319806381075591)	(44, 0.009985354954490298)	(46, 0.010742336718501916)	(48, 0.011501444835783225)	(50, 0.012190383295164583)	(52, 0.012975007651682241)	(54, 0.013942498389393716)	(56, 0.01498228513827484)	(58, 0.01598805023484083)	(60, 0.01701720521737348)	(62, 0.01789964182429713)	(64, 0.01900109281799943)	(66, 0.020023868740722987)	(68, 0.022541471012042517)	(70, 0.04829586181459501)	(72, 0.05165975268725337)	(74, 0.05333744541704316)	(76, 0.054847156238527)	(78, 0.05626968657595332)	(80, 0.05779640822359472)	(82, 0.05929336092546039)	(84, 0.06065847972460493)	(86, 0.062027851230288866)	(88, 0.0635418147583121)	(90, 0.06531519338523818)	(92, 0.06713322543082788)	(94, 0.06884919251947219)	(96, 0.07121582370864334)	(98, 0.07327838638024801)	(100, 0.07549404648727079)	(102, 0.07766292682236023)	(104, 0.07990410316861934)	(106, 0.08212188962891181)	(108, 0.08508177338032802)	(110, 0.08749305798816276)	(112, 0.08998727037351564)	(114, 0.09269411808583808)	(116, 0.0952585001290909)	(118, 0.09816947775530412)	(120, 0.10148871520929886)	(122, 0.10540971063861745)	(124, 0.10867578926086982)	(126, 0.11217789309605838)	(128, 0.11601596074785886)	(130, 0.12059825204405276)	(132, 0.12461705972377735)	(134, 0.12861885657734437)	(136, 0.13287581582327487)	(138, 0.13713064871593567)
SRR36750772_2 - illumina_universal_adapter	(1, 0.00014033931579990626)	(2, 0.00014459202233929735)	(3, 0.00014459202233929735)	(4, 0.00014884472887868844)	(5, 0.00014884472887868844)	(6, 0.00014884472887868844)	(7, 0.00015309743541807954)	(8, 0.00015309743541807954)	(9, 0.00015309743541807954)	(10, 0.0001679819083059484)	(12, 0.00018074002792412168)	(14, 0.00021263532696955492)	(16, 0.0002509096858240748)	(18, 0.0002976894577573769)	(20, 0.0003657327623876345)	(22, 0.0005188301978057139)	(24, 0.0007038229322692268)	(26, 0.0009249636723175639)	(28, 0.0012205267768052451)	(30, 0.0014501729299323646)	(32, 0.001824411105398781)	(34, 0.00218801751451672)	(36, 0.002562255689983137)	(38, 0.0029981581102707243)	(40, 0.003404291584782574)	(42, 0.003918869076048897)	(44, 0.004448331040203089)	(46, 0.004965034884739107)	(48, 0.005562540153523556)	(50, 0.006106886590565617)	(52, 0.006706518212619762)	(54, 0.007316781601022384)	(56, 0.007899402396918965)	(58, 0.00861810980207606)	(60, 0.009428250397830065)	(62, 0.010244770053393156)	(64, 0.011076174181844117)	(66, 0.011873556657979945)	(68, 0.012666686427576387)	(70, 0.013432173604666784)	(72, 0.014386906222760086)	(74, 0.015305490835268564)	(76, 0.016221949094507346)	(78, 0.017191566185488515)	(80, 0.01818882586897573)	(82, 0.019375330993465844)	(84, 0.02069579637394678)	(86, 0.022273550500060878)	(88, 0.023744986962690198)	(90, 0.025637441372719238)	(92, 0.02781482712088748)	(94, 0.030408978109916048)	(96, 0.03329018679035352)	(98, 0.03659028706492101)	(100, 0.04058357850540925)	(102, 0.04542741125377571)	(104, 0.0515938357358928)	(106, 0.058693729303406245)	(108, 0.06631883212853448)	(110, 0.07573219805347668)	(112, 0.08707629274730244)	(114, 0.10189697503708042)	(116, 0.11873769293306916)	(118, 0.1376516052670111)	(120, 0.15949988511313284)	(122, 0.18582201223869405)	(124, 0.21764926797949702)	(126, 0.25342516174212465)	(128, 0.29382800021960975)	(130, 0.33814545506660443)	(132, 0.3874470819777654)	(134, 0.4454433674087115)	(136, 0.5121704593650276)	(138, 0.5827611352123804)
