Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR36750771_1	(1, 0.003702647129968841)	(2, 0.01564154563155154)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00018940934163206942)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00010325864108328946)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 7.942972391022265e-06)	(90, 0.0)	(95, 3.6659872573948922e-06)	(100, 0.0)	(105, 4.154785558380878e-05)	(110, 0.0)	(115, 4.887983009859856e-06)	(120, 0.0)	(125, 4.643583859366863e-05)	(130, 0.0)	(135, 1.221995752464964e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750771_2	(1, 0.0)	(2, 0.013545822916074125)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 4.887983009859856e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0028221991903178345)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750772_1	(1, 0.0036658330369551267)	(2, 0.01660256632978285)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00022964615312711932)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 9.52606264823606e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 8.505413078782196e-06)	(90, 0.0)	(95, 5.953789155147537e-06)	(100, 0.0)	(105, 3.317111100725056e-05)	(110, 0.0)	(115, 6.804330463025758e-06)	(120, 0.0)	(125, 5.1883019780571405e-05)	(130, 0.0)	(135, 7.654871770903976e-06)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750772_2	(1, 0.0)	(2, 0.013119599674021539)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 2.551623923634659e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.002757454920141188)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750775_1	(1, 0.003716116388877824)	(2, 0.015871558414874098)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0001912913811080182)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 8.045490440719589e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.4065542728530749e-05)	(90, 0.0)	(95, 4.50097367312984e-06)	(100, 0.0)	(105, 3.431992425761503e-05)	(110, 0.0)	(115, 5.6262170914123e-06)	(120, 0.0)	(125, 5.06359538227107e-05)	(130, 0.0)	(135, 1.350292101938952e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750775_2	(1, 0.0)	(2, 0.013418527763018334)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 2.25048683656492e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.002803543976650749)	(130, 0.0)	(135, 5.6262170914123e-07)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750776_1	(1, 0.00372010171202442)	(2, 0.01627615710758617)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0001936959543779943)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 9.912675312285591e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.310296161968785e-05)	(90, 0.0)	(95, 7.406021785040959e-06)	(100, 0.0)	(105, 5.0702764528357326e-05)	(110, 0.0)	(115, 9.115103735435027e-06)	(120, 0.0)	(125, 5.24118464787514e-05)	(130, 0.0)	(135, 1.1393879669293782e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750776_2	(1, 0.0)	(2, 0.013239688175719374)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 3.4181639007881346e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0027886520490596534)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750778_1	(1, 0.03295626922325761)	(2, 0.001192803922935897)	(3, 0.0003643813550483028)	(4, 0.0008564519028913099)	(5, 0.0)	(6, 0.0012986925218388227)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 5.29442994514628e-05)	(20, 0.00012395194812754232)	(25, 0.004086677043541735)	(30, 0.002690193286245504)	(35, 5.4812921785043846e-05)	(40, 6.2287411119368e-07)	(45, 0.0)	(50, 0.0)	(55, 0.00017315900291184304)	(60, 2.49149644477472e-06)	(65, 2.49149644477472e-06)	(70, 6.2287411119368e-07)	(75, 1.24574822238736e-06)	(80, 0.00011149446590366871)	(85, 0.04318822224783619)	(90, 6.2287411119368e-07)	(95, 2.49149644477472e-06)	(100, 3.7372446671620797e-06)	(105, 0.0009044132094532234)	(110, 8.72023755671152e-06)	(115, 6.166453700817432e-05)	(120, 1.24574822238736e-06)	(125, 6.2287411119368e-07)	(130, 0.0005904846574116086)	(135, 3.1143705559684003e-06)	(140, 1.0588859890292559e-05)	(145, 1.930909744700408e-05)	(150, 0.0)
SRR36750778_2	(1, 0.0)	(2, 0.0)	(3, 0.0042822595144565495)	(4, 0.0008408800501114679)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.183460811267992e-05)	(20, 4.36011877835576e-06)	(25, 0.0)	(30, 0.0)	(35, 0.00028278484648193073)	(40, 0.00011772320701560553)	(45, 0.0)	(50, 6.602465578653008e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 6.2287411119368e-07)	(75, 0.00022921767291927424)	(80, 6.851615223130481e-06)	(85, 9.3431116679052e-06)	(90, 3.7372446671620797e-06)	(95, 1.1211734001486239e-05)	(100, 0.00016070152068796946)	(105, 7.287627100966055e-05)	(110, 4.36011877835576e-05)	(115, 0.00022984054703046792)	(120, 0.0001214604516827676)	(125, 0.0019134692695869848)	(130, 0.0006801785294234986)	(135, 0.0010389540174710582)	(140, 0.0010912754428113274)	(145, 0.0011591687209314384)	(150, 0.001068229100697161)
