Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR36750771_1	(1, 36.48839430919022)	(2, 36.5355918177364)	(3, 36.56891332011419)	(4, 36.596592379304546)	(5, 36.61735708102852)	(6, 36.59433626964656)	(7, 36.55922888157633)	(8, 36.60765535125076)	(9, 36.594890811319026)	(10, 36.59478288465417)	(15, 36.58382356238768)	(20, 36.55979186723945)	(25, 36.524218018950585)	(30, 36.49885041971582)	(35, 36.480397239047235)	(40, 36.45175448956657)	(45, 36.429757441786116)	(50, 36.413719114133734)	(55, 36.39216852250143)	(60, 36.36797546281409)	(65, 36.34251725870426)	(70, 36.32512092717217)	(75, 36.29427201099992)	(80, 36.271719883868855)	(85, 36.22366620232865)	(90, 36.2020114783283)	(95, 36.17141465987979)	(100, 36.13298552075563)	(105, 36.1184686266949)	(110, 36.060888076859136)	(115, 36.01582930527892)	(120, 35.95558690653547)	(125, 35.930619614779275)	(130, 35.903490343697925)	(135, 35.836345159787854)	(140, 35.7589693907783)	(145, 35.748129494156686)	(150, 35.633660276260244)
SRR36750771_2	(1, 36.1384436258838)	(2, 36.06358935956975)	(3, 36.14237405302203)	(4, 36.17102820372307)	(5, 36.19798787401395)	(6, 36.146235009701726)	(7, 36.145392871328916)	(8, 36.203591213337305)	(9, 36.205580866821464)	(10, 36.186573602728814)	(15, 36.17273144584277)	(20, 36.160476795858706)	(25, 36.09324939607443)	(30, 36.07561401773323)	(35, 36.04385312613091)	(40, 36.00953364426201)	(45, 35.98058425938717)	(50, 35.93065081233084)	(55, 35.89189741663377)	(60, 35.8662485689666)	(65, 35.81165530994731)	(70, 35.778548903261864)	(75, 35.72120755909465)	(80, 35.67930135325643)	(85, 35.639960385341695)	(90, 35.608164886819665)	(95, 35.52802496341803)	(100, 35.495644190030355)	(105, 35.41488719543359)	(110, 35.38026702928983)	(115, 35.28716098553713)	(120, 35.28364905528425)	(125, 35.15828578802443)	(130, 35.12082369356892)	(135, 34.97526298112341)	(140, 34.941704448229515)	(145, 34.802774626895676)	(150, 34.725416149126005)
SRR36750772_1	(1, 36.44780230119905)	(2, 36.49599745892279)	(3, 36.540325800698525)	(4, 36.57215969066153)	(5, 36.591857036594156)	(6, 36.56833956943132)	(7, 36.53383361889549)	(8, 36.586048264732)	(9, 36.57245261708796)	(10, 36.56977172789635)	(15, 36.55748900983681)	(20, 36.53169467761444)	(25, 36.490513678894374)	(30, 36.463332113798856)	(35, 36.44217447349473)	(40, 36.41243090787162)	(45, 36.388380049243786)	(50, 36.37198925068884)	(55, 36.347988591009006)	(60, 36.32064761746155)	(65, 36.28867537844941)	(70, 36.26827005894294)	(75, 36.23488204289135)	(80, 36.20955821310967)	(85, 36.15648023382401)	(90, 36.13511706871825)	(95, 36.0985782649187)	(100, 36.05776957364533)	(105, 36.04032613666234)	(110, 35.98107900265696)	(115, 35.93268679152301)	(120, 35.86974035568021)	(125, 35.8446788413433)	(130, 35.81425343928073)	(135, 35.744502800556106)	(140, 35.666977635909376)	(145, 35.65275835436758)	(150, 35.53566844913191)
SRR36750772_2	(1, 36.26028847724485)	(2, 36.135652748139364)	(3, 36.18925203269804)	(4, 36.22532510559364)	(5, 36.24634444788111)	(6, 36.19140432747763)	(7, 36.194953211084744)	(8, 36.240976341470564)	(9, 36.24158524399287)	(10, 36.22284399154442)	(15, 36.20443924725903)	(20, 36.190557613605634)	(25, 36.12759159830193)	(30, 36.106929449342125)	(35, 36.078778709437096)	(40, 36.04614192549029)	(45, 36.01508753111971)	(50, 35.96782360555773)	(55, 35.930788570442914)	(60, 35.90481203526157)	(65, 35.85176988077579)	(70, 35.82119853433021)	(75, 35.765110421312656)	(80, 35.72771751243714)	(85, 35.68795468928301)	(90, 35.66098499402729)	(95, 35.58259500748413)	(100, 35.551839671942815)	(105, 35.47386019065649)	(110, 35.44232800470622)	(115, 35.35530046498668)	(120, 35.3502466335894)	(125, 35.23422672632987)	(130, 35.196735903139)	(135, 35.06129271136707)	(140, 35.029540167174744)	(145, 34.895107945812185)	(150, 34.81851864027193)
SRR36750775_1	(1, 36.46327258931788)	(2, 36.508411363338176)	(3, 36.55235093731652)	(4, 36.582829336806284)	(5, 36.602721671265535)	(6, 36.58046525664665)	(7, 36.543503373367244)	(8, 36.59237303259628)	(9, 36.57708705085628)	(10, 36.57766623614854)	(15, 36.56597891788941)	(20, 36.538827941954544)	(25, 36.49834404677592)	(30, 36.47024312346868)	(35, 36.44717830584701)	(40, 36.42013328283241)	(45, 36.3965021583294)	(50, 36.38046355752908)	(55, 36.355113612452215)	(60, 36.33060572078254)	(65, 36.29972959275416)	(70, 36.27944467211869)	(75, 36.24551115645092)	(80, 36.218850010228465)	(85, 36.16921240049753)	(90, 36.14231111045097)	(95, 36.11229293551928)	(100, 36.070271732782594)	(105, 36.05677705417124)	(110, 35.99212961994003)	(115, 35.949236207272534)	(120, 35.88395804597429)	(125, 35.860817943941726)	(130, 35.82909513775568)	(135, 35.75971349502181)	(140, 35.68271844406741)	(145, 35.66648869816763)	(150, 35.5518279241757)
SRR36750775_2	(1, 36.35752089070668)	(2, 36.27828327462939)	(3, 36.31620319015511)	(4, 36.342133412010355)	(5, 36.36538544200574)	(6, 36.325236137957546)	(7, 36.321152517068256)	(8, 36.360616716661234)	(9, 36.35977334671923)	(10, 36.34326758986138)	(15, 36.324356929012666)	(20, 36.309755534115915)	(25, 36.25224065220909)	(30, 36.23306117070776)	(35, 36.201852476987085)	(40, 36.17210106351257)	(45, 36.14612663084342)	(50, 36.10253232655555)	(55, 36.06642408669055)	(60, 36.042561004509295)	(65, 35.99404021574968)	(70, 35.9631626474097)	(75, 35.91274560969402)	(80, 35.874828844849866)	(85, 35.836647782831626)	(90, 35.80816028777425)	(95, 35.73616006857684)	(100, 35.709079757928635)	(105, 35.63566635677463)	(110, 35.60414954890116)	(115, 35.5208727590496)	(120, 35.514871588346345)	(125, 35.40241178485436)	(130, 35.366323073588894)	(135, 35.233742353689664)	(140, 35.20189876950131)	(145, 35.07036543180204)	(150, 34.99786614464374)
SRR36750776_1	(1, 36.45735280809428)	(2, 36.50548636669601)	(3, 36.54585248964958)	(4, 36.57779733917019)	(5, 36.596949653322696)	(6, 36.57354411782844)	(7, 36.542736605376426)	(8, 36.590135600555875)	(9, 36.579757713136694)	(10, 36.57771019877848)	(15, 36.56586555444171)	(20, 36.54187607122052)	(25, 36.50189170020526)	(30, 36.47288370292658)	(35, 36.45130565458024)	(40, 36.42182506196063)	(45, 36.3967767910773)	(50, 36.377750185599176)	(55, 36.352893183773844)	(60, 36.32675129413822)	(65, 36.29955465027383)	(70, 36.27985051913507)	(75, 36.24784218291695)	(80, 36.22338290724923)	(85, 36.17249116952962)	(90, 36.14945572433784)	(95, 36.115930617767326)	(100, 36.077693936863724)	(105, 36.061699578885055)	(110, 36.00460389647327)	(115, 35.957246580105654)	(120, 35.897983570994)	(125, 35.87280887362184)	(130, 35.843215333473076)	(135, 35.77333950653734)	(140, 35.699356858219716)	(145, 35.68384699648929)	(150, 35.575920225979374)
SRR36750776_2	(1, 36.09351421345186)	(2, 35.9930885010773)	(3, 36.089755144671365)	(4, 36.12103442071109)	(5, 36.15158431754378)	(6, 36.09809985123296)	(7, 36.09356662529834)	(8, 36.15551150301879)	(9, 36.15641441101319)	(10, 36.13767515918033)	(15, 36.12237912638965)	(20, 36.11027343687579)	(25, 36.04081918348781)	(30, 36.018219594071965)	(35, 35.98626376085135)	(40, 35.94913463911182)	(45, 35.917744785469914)	(50, 35.866712749212994)	(55, 35.82680620978975)	(60, 35.8024086547682)	(65, 35.74522344494693)	(70, 35.71083937087896)	(75, 35.65212635573282)	(80, 35.613478896982436)	(85, 35.572755074570516)	(90, 35.5440391935788)	(95, 35.461442248112725)	(100, 35.43257948861818)	(105, 35.35170561678673)	(110, 35.31916067441171)	(115, 35.22721303396028)	(120, 35.22695929226005)	(125, 35.10513012565427)	(130, 35.06858000100095)	(135, 34.922801634235555)	(140, 34.8921876582236)	(145, 34.751682994238664)	(150, 34.67555056009891)
SRR36750778_1	(1, 36.10677990061234)	(2, 36.11603129406737)	(3, 36.28728866231774)	(4, 36.30871204364778)	(5, 36.34402486363962)	(6, 36.31790479350524)	(7, 36.30417094879642)	(8, 36.37847204433543)	(9, 36.36119401479021)	(10, 36.35406895783227)	(15, 36.32681166906063)	(20, 36.28788299633716)	(25, 36.21792469121873)	(30, 36.177613412373155)	(35, 36.15076114126358)	(40, 36.13702154119797)	(45, 36.11943840922686)	(50, 36.08471981736584)	(55, 36.03107016281338)	(60, 36.030080104413635)	(65, 36.00933423571182)	(70, 35.97927211990252)	(75, 35.94200255334785)	(80, 35.86379828570718)	(85, 35.87332503312055)	(90, 35.85168936383594)	(95, 35.8003543904543)	(100, 35.787770215636215)	(105, 35.73624295478771)	(110, 35.71039149911379)	(115, 35.68670337865916)	(120, 35.67229276877104)	(125, 35.64309886472784)	(130, 35.541914765470615)	(135, 35.551211117978994)	(140, 35.53971448135904)	(145, 35.479475690733906)	(150, 35.47812327531998)
SRR36750778_2	(1, 35.38056287700818)	(2, 35.216368652029104)	(3, 35.45596393708386)	(4, 35.48272475781642)	(5, 35.553611631202344)	(6, 35.49538087459436)	(7, 35.53201671034208)	(8, 35.59438490823367)	(9, 35.57398490906832)	(10, 35.61183325647586)	(15, 35.582057176915896)	(20, 35.54990064067896)	(25, 35.476367305998146)	(30, 35.451421060812535)	(35, 35.386674816766785)	(40, 35.37069735459448)	(45, 35.34299349000009)	(50, 35.223840986219)	(55, 35.250417878455266)	(60, 35.215336873521395)	(65, 35.17787996512029)	(70, 35.11243052734671)	(75, 34.96980962818246)	(80, 35.01371824794108)	(85, 34.95319527723145)	(90, 34.920482084630095)	(95, 34.87541499999829)	(100, 34.77334004750101)	(105, 34.80221350772895)	(110, 34.75930598369932)	(115, 34.66603142642812)	(120, 34.63022821141979)	(125, 34.46124139993822)	(130, 34.448796773836)	(135, 34.43616038970991)	(140, 34.37738044499808)	(145, 34.29836449764564)	(150, 34.25540666407406)
