Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR36750771_1	(0.0, 56.0)	(1.0, 46.0)	(2.0, 46.5)	(3.0, 60.5)	(4.0, 65.5)	(5.0, 84.5)	(6.0, 104.0)	(7.0, 114.5)	(8.0, 118.0)	(9.0, 134.0)	(10.0, 152.5)	(11.0, 186.5)	(12.0, 260.0)	(13.0, 332.5)	(14.0, 546.0)	(15.0, 1008.0)	(16.0, 3258.5)	(17.0, 7178.0)	(18.0, 10997.5)	(19.0, 18073.0)	(20.0, 25968.5)	(21.0, 34506.5)	(22.0, 45628.0)	(23.0, 61831.0)	(24.0, 77899.0)	(25.0, 89320.0)	(26.0, 112081.5)	(27.0, 142565.5)	(28.0, 172507.5)	(29.0, 205398.5)	(30.0, 240117.5)	(31.0, 280911.5)	(32.0, 324626.0)	(33.0, 363166.5)	(34.0, 396253.0)	(35.0, 449948.5)	(36.0, 506369.0)	(37.0, 548064.5)	(38.0, 590141.5)	(39.0, 640494.5)	(40.0, 681948.0)	(41.0, 727754.5)	(42.0, 800744.0)	(43.0, 862937.5)	(44.0, 900735.0)	(45.0, 940504.0)	(46.0, 959826.5)	(47.0, 954288.0)	(48.0, 975454.5)	(49.0, 1004587.0)	(50.0, 1038742.5)	(51.0, 1051784.0)	(52.0, 1048123.5)	(53.0, 1054690.5)	(54.0, 1032813.0)	(55.0, 1016242.5)	(56.0, 988437.0)	(57.0, 937147.0)	(58.0, 926787.5)	(59.0, 928021.0)	(60.0, 906306.5)	(61.0, 862566.0)	(62.0, 804489.5)	(63.0, 762459.5)	(64.0, 723474.0)	(65.0, 659443.5)	(66.0, 594920.0)	(67.0, 555938.0)	(68.0, 496556.5)	(69.0, 411608.0)	(70.0, 330876.0)	(71.0, 256544.0)	(72.0, 211809.0)	(73.0, 181194.5)	(74.0, 151010.5)	(75.0, 124408.0)	(76.0, 102004.0)	(77.0, 88602.5)	(78.0, 75195.0)	(79.0, 62135.5)	(80.0, 51615.5)	(81.0, 38920.5)	(82.0, 29119.5)	(83.0, 22132.0)	(84.0, 15747.0)	(85.0, 10606.5)	(86.0, 7056.0)	(87.0, 4620.5)	(88.0, 2704.5)	(89.0, 1953.5)	(90.0, 1348.0)	(91.0, 871.5)	(92.0, 647.0)	(93.0, 524.5)	(94.0, 424.0)	(95.0, 505.5)	(96.0, 440.0)	(97.0, 203.0)	(98.0, 129.5)	(99.0, 48.0)	(100.0, 17.5)
SRR36750771_2	(0.0, 619.0)	(1.0, 872.0)	(2.0, 1879.5)	(3.0, 3207.5)	(4.0, 4149.5)	(5.0, 4704.5)	(6.0, 5067.5)	(7.0, 5264.0)	(8.0, 5381.0)	(9.0, 5537.5)	(10.0, 5648.0)	(11.0, 5674.0)	(12.0, 5736.5)	(13.0, 5912.0)	(14.0, 6227.0)	(15.0, 6901.0)	(16.0, 9688.5)	(17.0, 14351.5)	(18.0, 18826.5)	(19.0, 26511.5)	(20.0, 34216.5)	(21.0, 42072.5)	(22.0, 52507.5)	(23.0, 67832.5)	(24.0, 84219.0)	(25.0, 96830.5)	(26.0, 118814.0)	(27.0, 148575.5)	(28.0, 178465.5)	(29.0, 209923.5)	(30.0, 243287.5)	(31.0, 283402.0)	(32.0, 326448.0)	(33.0, 364191.0)	(34.0, 397918.0)	(35.0, 450309.5)	(36.0, 504281.0)	(37.0, 545862.0)	(38.0, 588109.5)	(39.0, 637181.0)	(40.0, 679474.5)	(41.0, 723720.5)	(42.0, 793097.0)	(43.0, 856485.5)	(44.0, 893890.0)	(45.0, 931425.5)	(46.0, 950171.5)	(47.0, 946701.5)	(48.0, 967689.0)	(49.0, 995506.5)	(50.0, 1027294.5)	(51.0, 1038957.5)	(52.0, 1035999.5)	(53.0, 1041506.5)	(54.0, 1020481.0)	(55.0, 1004713.0)	(56.0, 978692.0)	(57.0, 927924.5)	(58.0, 914679.5)	(59.0, 915330.5)	(60.0, 893437.0)	(61.0, 850500.0)	(62.0, 796004.0)	(63.0, 753942.0)	(64.0, 712556.0)	(65.0, 649972.5)	(66.0, 587076.5)	(67.0, 547006.0)	(68.0, 488533.0)	(69.0, 406111.0)	(70.0, 327255.0)	(71.0, 254015.5)	(72.0, 209640.0)	(73.0, 179760.5)	(74.0, 149877.5)	(75.0, 123122.0)	(76.0, 100784.0)	(77.0, 87828.5)	(78.0, 75504.5)	(79.0, 62966.5)	(80.0, 52263.5)	(81.0, 39692.0)	(82.0, 30192.5)	(83.0, 23481.0)	(84.0, 17242.0)	(85.0, 12250.0)	(86.0, 9040.0)	(87.0, 6667.0)	(88.0, 4889.5)	(89.0, 4402.5)	(90.0, 3962.5)	(91.0, 3492.0)	(92.0, 3379.0)	(93.0, 3587.5)	(94.0, 3883.5)	(95.0, 4222.5)	(96.0, 4563.5)	(97.0, 4996.5)	(98.0, 5917.0)	(99.0, 8311.0)	(100.0, 38020.0)
SRR36750772_1	(0.0, 332.0)	(1.0, 267.0)	(2.0, 180.0)	(3.0, 161.0)	(4.0, 157.5)	(5.0, 146.0)	(6.0, 139.5)	(7.0, 135.0)	(8.0, 141.5)	(9.0, 151.0)	(10.0, 155.0)	(11.0, 177.0)	(12.0, 244.5)	(13.0, 320.0)	(14.0, 412.5)	(15.0, 601.5)	(16.0, 952.5)	(17.0, 1563.5)	(18.0, 2553.0)	(19.0, 3996.0)	(20.0, 6538.0)	(21.0, 10846.5)	(22.0, 16824.0)	(23.0, 25584.0)	(24.0, 37019.5)	(25.0, 51189.0)	(26.0, 69526.0)	(27.0, 90977.5)	(28.0, 113842.5)	(29.0, 137822.0)	(30.0, 162980.0)	(31.0, 192691.0)	(32.0, 224019.0)	(33.0, 254222.0)	(34.0, 282421.5)	(35.0, 316129.0)	(36.0, 352596.0)	(37.0, 396066.0)	(38.0, 432452.0)	(39.0, 470813.5)	(40.0, 504400.0)	(41.0, 530462.5)	(42.0, 594927.5)	(43.0, 652739.5)	(44.0, 692701.0)	(45.0, 722007.5)	(46.0, 716817.5)	(47.0, 709012.5)	(48.0, 722766.0)	(49.0, 727153.0)	(50.0, 728748.0)	(51.0, 736065.5)	(52.0, 714888.5)	(53.0, 693854.5)	(54.0, 688902.0)	(55.0, 686372.0)	(56.0, 676162.0)	(57.0, 655199.0)	(58.0, 650799.5)	(59.0, 654162.5)	(60.0, 642788.0)	(61.0, 620962.0)	(62.0, 594020.0)	(63.0, 569289.0)	(64.0, 541418.0)	(65.0, 500049.5)	(66.0, 452867.5)	(67.0, 408945.5)	(68.0, 362295.5)	(69.0, 314924.0)	(70.0, 263822.0)	(71.0, 209631.5)	(72.0, 172738.0)	(73.0, 144075.5)	(74.0, 119110.0)	(75.0, 97784.0)	(76.0, 78827.0)	(77.0, 66908.0)	(78.0, 56123.0)	(79.0, 46220.0)	(80.0, 37589.0)	(81.0, 28626.5)	(82.0, 21789.5)	(83.0, 15886.5)	(84.0, 10571.0)	(85.0, 6955.0)	(86.0, 4673.0)	(87.0, 3102.5)	(88.0, 1935.0)	(89.0, 1400.5)	(90.0, 988.5)	(91.0, 598.5)	(92.0, 474.0)	(93.0, 422.5)	(94.0, 340.0)	(95.0, 414.5)	(96.0, 347.0)	(97.0, 110.0)	(98.0, 61.5)	(99.0, 23.5)	(100.0, 8.5)
SRR36750772_2	(0.0, 824.0)	(1.0, 970.5)	(2.0, 1835.0)	(3.0, 3108.0)	(4.0, 4056.5)	(5.0, 4624.5)	(6.0, 4978.0)	(7.0, 5284.0)	(8.0, 5475.5)	(9.0, 5573.0)	(10.0, 5674.0)	(11.0, 5790.0)	(12.0, 5826.0)	(13.0, 5838.5)	(14.0, 6037.0)	(15.0, 6334.0)	(16.0, 6664.5)	(17.0, 7276.0)	(18.0, 8213.0)	(19.0, 9668.0)	(20.0, 12344.0)	(21.0, 16603.5)	(22.0, 22321.5)	(23.0, 31113.5)	(24.0, 42718.0)	(25.0, 56611.5)	(26.0, 74758.0)	(27.0, 95589.0)	(28.0, 118149.0)	(29.0, 142081.5)	(30.0, 166709.0)	(31.0, 195827.5)	(32.0, 226666.5)	(33.0, 255061.5)	(34.0, 282696.5)	(35.0, 317368.0)	(36.0, 352969.0)	(37.0, 395548.0)	(38.0, 431823.0)	(39.0, 468490.0)	(40.0, 501413.5)	(41.0, 529225.0)	(42.0, 591877.0)	(43.0, 647328.0)	(44.0, 687423.5)	(45.0, 715307.5)	(46.0, 707899.0)	(47.0, 699777.5)	(48.0, 714390.5)	(49.0, 721704.5)	(50.0, 722696.5)	(51.0, 726893.5)	(52.0, 706808.5)	(53.0, 685336.0)	(54.0, 679433.5)	(55.0, 678095.0)	(56.0, 666689.0)	(57.0, 644838.5)	(58.0, 641647.0)	(59.0, 645519.5)	(60.0, 633981.5)	(61.0, 611956.5)	(62.0, 585265.5)	(63.0, 560522.0)	(64.0, 531921.5)	(65.0, 489807.0)	(66.0, 443864.0)	(67.0, 401250.0)	(68.0, 355610.5)	(69.0, 310111.0)	(70.0, 260092.5)	(71.0, 207620.5)	(72.0, 171369.0)	(73.0, 141998.0)	(74.0, 117638.0)	(75.0, 97242.5)	(76.0, 78196.0)	(77.0, 66014.0)	(78.0, 55502.5)	(79.0, 46131.5)	(80.0, 38197.0)	(81.0, 29482.0)	(82.0, 22550.5)	(83.0, 16767.5)	(84.0, 11759.5)	(85.0, 8348.5)	(86.0, 6223.0)	(87.0, 4703.0)	(88.0, 3536.5)	(89.0, 3209.0)	(90.0, 3006.0)	(91.0, 2703.5)	(92.0, 2712.0)	(93.0, 2785.5)	(94.0, 2841.0)	(95.0, 3063.5)	(96.0, 3226.5)	(97.0, 3336.0)	(98.0, 3860.5)	(99.0, 5317.0)	(100.0, 25261.0)
SRR36750775_1	(0.0, 83.0)	(1.0, 66.5)	(2.0, 55.0)	(3.0, 63.0)	(4.0, 64.0)	(5.0, 67.5)	(6.0, 71.0)	(7.0, 80.0)	(8.0, 111.5)	(9.0, 134.0)	(10.0, 153.5)	(11.0, 189.5)	(12.0, 246.0)	(13.0, 334.0)	(14.0, 535.0)	(15.0, 907.5)	(16.0, 1678.5)	(17.0, 2743.5)	(18.0, 4589.5)	(19.0, 8391.5)	(20.0, 13932.0)	(21.0, 21648.5)	(22.0, 32453.0)	(23.0, 46781.5)	(24.0, 64536.5)	(25.0, 86723.0)	(26.0, 113039.5)	(27.0, 142388.5)	(28.0, 176775.0)	(29.0, 213001.0)	(30.0, 247748.5)	(31.0, 287139.0)	(32.0, 330685.0)	(33.0, 372560.0)	(34.0, 408166.0)	(35.0, 456825.0)	(36.0, 511363.0)	(37.0, 568601.5)	(38.0, 618351.5)	(39.0, 675407.5)	(40.0, 725421.0)	(41.0, 769427.5)	(42.0, 865391.0)	(43.0, 948146.0)	(44.0, 998332.0)	(45.0, 1051527.5)	(46.0, 1063224.5)	(47.0, 1063325.0)	(48.0, 1090860.0)	(49.0, 1118469.5)	(50.0, 1136980.5)	(51.0, 1130062.0)	(52.0, 1107166.5)	(53.0, 1080602.5)	(54.0, 1063140.0)	(55.0, 1067634.5)	(56.0, 1082292.5)	(57.0, 1055739.0)	(58.0, 1041432.5)	(59.0, 1062567.5)	(60.0, 1050830.0)	(61.0, 1017550.5)	(62.0, 980220.5)	(63.0, 933344.0)	(64.0, 853050.0)	(65.0, 757370.5)	(66.0, 689639.0)	(67.0, 630020.0)	(68.0, 544341.0)	(69.0, 448164.0)	(70.0, 359965.5)	(71.0, 285293.0)	(72.0, 230600.5)	(73.0, 185713.0)	(74.0, 150230.0)	(75.0, 120394.0)	(76.0, 92767.0)	(77.0, 75782.5)	(78.0, 61646.5)	(79.0, 48675.5)	(80.0, 36467.0)	(81.0, 24461.5)	(82.0, 15901.5)	(83.0, 9504.5)	(84.0, 5088.5)	(85.0, 2746.5)	(86.0, 1648.0)	(87.0, 1171.0)	(88.0, 902.5)	(89.0, 700.5)	(90.0, 586.0)	(91.0, 491.0)	(92.0, 407.0)	(93.0, 381.0)	(94.0, 349.5)	(95.0, 419.5)	(96.0, 332.5)	(97.0, 129.5)	(98.0, 107.0)	(99.0, 63.5)	(100.0, 16.5)
SRR36750775_2	(0.0, 778.0)	(1.0, 1012.5)	(2.0, 2384.5)	(3.0, 4267.0)	(4.0, 5415.5)	(5.0, 6092.0)	(6.0, 6505.5)	(7.0, 6635.0)	(8.0, 6691.0)	(9.0, 6806.0)	(10.0, 6878.0)	(11.0, 6923.5)	(12.0, 7013.5)	(13.0, 7127.5)	(14.0, 7378.0)	(15.0, 7784.0)	(16.0, 8494.0)	(17.0, 9566.0)	(18.0, 11310.5)	(19.0, 15201.5)	(20.0, 20944.0)	(21.0, 28378.5)	(22.0, 38984.0)	(23.0, 53491.5)	(24.0, 71191.5)	(25.0, 93093.0)	(26.0, 118652.0)	(27.0, 147352.5)	(28.0, 181824.5)	(29.0, 218284.5)	(30.0, 252986.5)	(31.0, 291920.5)	(32.0, 334313.5)	(33.0, 374532.0)	(34.0, 410088.0)	(35.0, 457440.0)	(36.0, 511045.0)	(37.0, 570461.5)	(38.0, 620946.5)	(39.0, 673519.5)	(40.0, 722491.0)	(41.0, 767035.5)	(42.0, 860131.5)	(43.0, 943652.0)	(44.0, 992135.5)	(45.0, 1040921.0)	(46.0, 1052481.0)	(47.0, 1053568.0)	(48.0, 1081668.0)	(49.0, 1111106.0)	(50.0, 1130100.0)	(51.0, 1119482.0)	(52.0, 1094837.0)	(53.0, 1068750.5)	(54.0, 1050947.5)	(55.0, 1056225.0)	(56.0, 1070464.5)	(57.0, 1044800.5)	(58.0, 1030066.5)	(59.0, 1049876.5)	(60.0, 1038386.0)	(61.0, 1004989.0)	(62.0, 967559.0)	(63.0, 919818.5)	(64.0, 839687.5)	(65.0, 746789.0)	(66.0, 680073.5)	(67.0, 621129.5)	(68.0, 538056.0)	(69.0, 442516.0)	(70.0, 354398.5)	(71.0, 280571.5)	(72.0, 227107.5)	(73.0, 183365.5)	(74.0, 148083.0)	(75.0, 119337.0)	(76.0, 92723.0)	(77.0, 75416.5)	(78.0, 61456.5)	(79.0, 48895.5)	(80.0, 37321.5)	(81.0, 26084.0)	(82.0, 17572.0)	(83.0, 11036.5)	(84.0, 6705.5)	(85.0, 4553.0)	(86.0, 3521.5)	(87.0, 3130.5)	(88.0, 2943.0)	(89.0, 2844.0)	(90.0, 2835.5)	(91.0, 2829.0)	(92.0, 2901.5)	(93.0, 3003.0)	(94.0, 3094.0)	(95.0, 3401.5)	(96.0, 3710.0)	(97.0, 4053.5)	(98.0, 4832.0)	(99.0, 6538.5)	(100.0, 32207.5)
SRR36750776_1	(0.0, 277.0)	(1.0, 203.5)	(2.0, 122.0)	(3.0, 118.5)	(4.0, 116.0)	(5.0, 104.5)	(6.0, 108.0)	(7.0, 118.5)	(8.0, 134.5)	(9.0, 157.5)	(10.0, 180.5)	(11.0, 236.0)	(12.0, 318.0)	(13.0, 441.0)	(14.0, 604.5)	(15.0, 881.5)	(16.0, 1473.5)	(17.0, 2421.0)	(18.0, 3912.0)	(19.0, 6684.5)	(20.0, 10797.0)	(21.0, 16950.5)	(22.0, 25358.5)	(23.0, 36604.5)	(24.0, 50636.5)	(25.0, 67414.0)	(26.0, 88616.5)	(27.0, 111620.0)	(28.0, 138113.5)	(29.0, 167196.0)	(30.0, 194912.5)	(31.0, 225975.5)	(32.0, 259183.0)	(33.0, 290183.5)	(34.0, 321569.0)	(35.0, 364734.5)	(36.0, 409030.0)	(37.0, 451851.0)	(38.0, 486997.5)	(39.0, 519407.0)	(40.0, 571941.5)	(41.0, 639136.0)	(42.0, 732280.5)	(43.0, 823321.5)	(44.0, 889059.0)	(45.0, 929963.0)	(46.0, 928923.5)	(47.0, 935204.0)	(48.0, 1007633.0)	(49.0, 1068890.5)	(50.0, 1085991.0)	(51.0, 1086730.0)	(52.0, 1080123.5)	(53.0, 1076466.0)	(54.0, 1066029.0)	(55.0, 1080700.0)	(56.0, 1099260.5)	(57.0, 1081579.0)	(58.0, 1116243.0)	(59.0, 1174577.0)	(60.0, 1192887.0)	(61.0, 1182840.0)	(62.0, 1139503.5)	(63.0, 1093270.5)	(64.0, 1010432.5)	(65.0, 902783.0)	(66.0, 841173.0)	(67.0, 776174.0)	(68.0, 663452.0)	(69.0, 537157.0)	(70.0, 415139.5)	(71.0, 325305.5)	(72.0, 264646.0)	(73.0, 216405.0)	(74.0, 177210.5)	(75.0, 143400.5)	(76.0, 111378.0)	(77.0, 90065.5)	(78.0, 74681.0)	(79.0, 61839.5)	(80.0, 49227.0)	(81.0, 35139.5)	(82.0, 24830.0)	(83.0, 16573.5)	(84.0, 10510.0)	(85.0, 6299.0)	(86.0, 3879.0)	(87.0, 2666.0)	(88.0, 1762.5)	(89.0, 1338.5)	(90.0, 1033.0)	(91.0, 781.5)	(92.0, 627.0)	(93.0, 555.5)	(94.0, 554.5)	(95.0, 568.0)	(96.0, 405.5)	(97.0, 175.5)	(98.0, 124.0)	(99.0, 69.5)	(100.0, 22.0)
SRR36750776_2	(0.0, 866.0)	(1.0, 1032.0)	(2.0, 1821.5)	(3.0, 2940.0)	(4.0, 3867.5)	(5.0, 4500.5)	(6.0, 4952.5)	(7.0, 5210.0)	(8.0, 5313.0)	(9.0, 5523.0)	(10.0, 5642.5)	(11.0, 5761.0)	(12.0, 6078.5)	(13.0, 6358.0)	(14.0, 6567.0)	(15.0, 6877.5)	(16.0, 7545.5)	(17.0, 8613.0)	(18.0, 10245.5)	(19.0, 13102.5)	(20.0, 17354.5)	(21.0, 23670.5)	(22.0, 32121.0)	(23.0, 43509.0)	(24.0, 57629.0)	(25.0, 74348.5)	(26.0, 95017.5)	(27.0, 117535.0)	(28.0, 144133.0)	(29.0, 172449.0)	(30.0, 200173.0)	(31.0, 232056.0)	(32.0, 264794.5)	(33.0, 294227.0)	(34.0, 324984.5)	(35.0, 367463.0)	(36.0, 412015.0)	(37.0, 455379.0)	(38.0, 489693.5)	(39.0, 522078.5)	(40.0, 573708.0)	(41.0, 637410.0)	(42.0, 727563.0)	(43.0, 817782.0)	(44.0, 882227.0)	(45.0, 922887.0)	(46.0, 923206.5)	(47.0, 930763.5)	(48.0, 1000194.5)	(49.0, 1058617.5)	(50.0, 1076488.0)	(51.0, 1076390.0)	(52.0, 1069487.0)	(53.0, 1067139.0)	(54.0, 1056661.5)	(55.0, 1069531.0)	(56.0, 1086517.0)	(57.0, 1069755.5)	(58.0, 1100005.5)	(59.0, 1155745.0)	(60.0, 1175485.0)	(61.0, 1163307.0)	(62.0, 1120364.5)	(63.0, 1073206.5)	(64.0, 993466.0)	(65.0, 890361.0)	(66.0, 825732.5)	(67.0, 760061.5)	(68.0, 652740.0)	(69.0, 530931.0)	(70.0, 410764.0)	(71.0, 322504.0)	(72.0, 261498.0)	(73.0, 212925.0)	(74.0, 174831.0)	(75.0, 141808.5)	(76.0, 110737.5)	(77.0, 90013.0)	(78.0, 74653.0)	(79.0, 62109.5)	(80.0, 50442.5)	(81.0, 37062.0)	(82.0, 26933.0)	(83.0, 18493.5)	(84.0, 12671.0)	(85.0, 8892.5)	(86.0, 6414.5)	(87.0, 5112.5)	(88.0, 4376.0)	(89.0, 4066.5)	(90.0, 3881.5)	(91.0, 3889.0)	(92.0, 3949.5)	(93.0, 4101.0)	(94.0, 4435.0)	(95.0, 4763.5)	(96.0, 5049.5)	(97.0, 5548.0)	(98.0, 6678.0)	(99.0, 9368.0)	(100.0, 41741.5)
SRR36750778_1	(0.0, 90.0)	(1.0, 69.5)	(2.0, 52.5)	(3.0, 61.0)	(4.0, 64.0)	(5.0, 62.0)	(6.0, 63.0)	(7.0, 69.5)	(8.0, 82.0)	(9.0, 95.0)	(10.0, 102.0)	(11.0, 130.0)	(12.0, 189.5)	(13.0, 243.5)	(14.0, 346.5)	(15.0, 556.0)	(16.0, 986.0)	(17.0, 1715.0)	(18.0, 2993.5)	(19.0, 5446.5)	(20.0, 9911.0)	(21.0, 16229.0)	(22.0, 25669.0)	(23.0, 39964.0)	(24.0, 57837.0)	(25.0, 80487.5)	(26.0, 108017.5)	(27.0, 137886.0)	(28.0, 172262.5)	(29.0, 209629.0)	(30.0, 247223.0)	(31.0, 291346.5)	(32.0, 340582.0)	(33.0, 387762.5)	(34.0, 424647.0)	(35.0, 473718.5)	(36.0, 537016.0)	(37.0, 603449.5)	(38.0, 665147.5)	(39.0, 730104.0)	(40.0, 777650.5)	(41.0, 810185.0)	(42.0, 889376.5)	(43.0, 971160.5)	(44.0, 1003072.0)	(45.0, 1033051.5)	(46.0, 1033926.5)	(47.0, 1016250.5)	(48.0, 1039727.0)	(49.0, 1038950.5)	(50.0, 1030956.0)	(51.0, 1034111.0)	(52.0, 1013206.0)	(53.0, 982906.5)	(54.0, 953492.0)	(55.0, 937070.5)	(56.0, 918784.0)	(57.0, 876373.0)	(58.0, 849683.0)	(59.0, 835938.5)	(60.0, 801970.0)	(61.0, 764330.5)	(62.0, 722843.5)	(63.0, 674943.5)	(64.0, 624279.5)	(65.0, 565590.0)	(66.0, 508349.5)	(67.0, 460633.5)	(68.0, 403949.5)	(69.0, 345504.0)	(70.0, 287350.0)	(71.0, 230505.0)	(72.0, 190741.5)	(73.0, 157698.0)	(74.0, 132717.0)	(75.0, 110615.0)	(76.0, 90502.0)	(77.0, 78372.5)	(78.0, 68776.5)	(79.0, 60114.0)	(80.0, 51468.0)	(81.0, 40129.5)	(82.0, 30899.0)	(83.0, 23991.0)	(84.0, 18529.0)	(85.0, 13684.5)	(86.0, 10224.5)	(87.0, 7365.5)	(88.0, 4684.5)	(89.0, 3320.0)	(90.0, 2250.5)	(91.0, 1352.0)	(92.0, 864.0)	(93.0, 646.5)	(94.0, 544.0)	(95.0, 575.5)	(96.0, 442.0)	(97.0, 161.5)	(98.0, 87.5)	(99.0, 42.5)	(100.0, 26.5)
SRR36750778_2	(0.0, 856.0)	(1.0, 1247.5)	(2.0, 2402.0)	(3.0, 3840.5)	(4.0, 5017.0)	(5.0, 5781.0)	(6.0, 6223.5)	(7.0, 6673.5)	(8.0, 6949.5)	(9.0, 7006.0)	(10.0, 7003.0)	(11.0, 7018.0)	(12.0, 7081.0)	(13.0, 7183.0)	(14.0, 7409.0)	(15.0, 7763.0)	(16.0, 8404.5)	(17.0, 9266.0)	(18.0, 10854.0)	(19.0, 13545.5)	(20.0, 18122.5)	(21.0, 25056.0)	(22.0, 34963.5)	(23.0, 48937.5)	(24.0, 66807.5)	(25.0, 89367.5)	(26.0, 116633.0)	(27.0, 146432.0)	(28.0, 179580.5)	(29.0, 215623.0)	(30.0, 253650.0)	(31.0, 296679.0)	(32.0, 344619.5)	(33.0, 391542.5)	(34.0, 430449.5)	(35.0, 478868.0)	(36.0, 538562.0)	(37.0, 604867.5)	(38.0, 667385.5)	(39.0, 730504.0)	(40.0, 775973.5)	(41.0, 809669.5)	(42.0, 884841.0)	(43.0, 962551.0)	(44.0, 995093.5)	(45.0, 1019638.0)	(46.0, 1020690.0)	(47.0, 1007254.0)	(48.0, 1028387.5)	(49.0, 1027614.0)	(50.0, 1018667.0)	(51.0, 1016303.5)	(52.0, 995456.5)	(53.0, 969867.0)	(54.0, 941733.0)	(55.0, 922509.0)	(56.0, 901926.0)	(57.0, 862324.5)	(58.0, 836634.5)	(59.0, 821927.0)	(60.0, 789639.5)	(61.0, 752429.5)	(62.0, 710530.0)	(63.0, 662676.5)	(64.0, 610796.0)	(65.0, 553814.5)	(66.0, 497911.5)	(67.0, 449800.5)	(68.0, 395626.0)	(69.0, 338774.0)	(70.0, 282061.5)	(71.0, 228418.5)	(72.0, 189795.5)	(73.0, 156795.0)	(74.0, 131828.5)	(75.0, 110189.5)	(76.0, 90590.5)	(77.0, 77792.0)	(78.0, 67937.5)	(79.0, 59290.0)	(80.0, 50944.0)	(81.0, 40296.5)	(82.0, 31589.0)	(83.0, 25261.0)	(84.0, 19921.0)	(85.0, 15285.5)	(86.0, 11872.0)	(87.0, 8975.5)	(88.0, 6599.0)	(89.0, 5557.0)	(90.0, 4762.5)	(91.0, 4002.5)	(92.0, 3685.0)	(93.0, 3673.0)	(94.0, 3889.0)	(95.0, 4315.0)	(96.0, 4576.0)	(97.0, 4927.0)	(98.0, 5941.5)	(99.0, 8257.5)	(100.0, 32165.5)
