Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR36750771_1	(13.0, 7.0)	(14.0, 122.0)	(15.0, 557.0)	(16.0, 1214.0)	(17.0, 1970.0)	(18.0, 2918.0)	(19.0, 4189.0)	(20.0, 5712.0)	(21.0, 8115.0)	(22.0, 10549.0)	(23.0, 15014.0)	(24.0, 21752.0)	(25.0, 33783.0)	(26.0, 51230.0)	(27.0, 79445.0)	(28.0, 118588.0)	(29.0, 170687.0)	(30.0, 231288.0)	(31.0, 304548.0)	(32.0, 405902.0)	(33.0, 551977.0)	(34.0, 861246.0)	(35.0, 2023490.0)	(36.0, 23978632.0)	(37.0, 3850403.0)		
SRR36750771_2	(11.0, 62.0)	(12.0, 3087.0)	(13.0, 13183.0)	(14.0, 19399.0)	(15.0, 19650.0)	(16.0, 18694.0)	(17.0, 18379.0)	(18.0, 19391.0)	(19.0, 23559.0)	(20.0, 32548.0)	(21.0, 46332.0)	(22.0, 62011.0)	(23.0, 74146.0)	(24.0, 82825.0)	(25.0, 91288.0)	(26.0, 103574.0)	(27.0, 123803.0)	(28.0, 152132.0)	(29.0, 193956.0)	(30.0, 252960.0)	(31.0, 343942.0)	(32.0, 492925.0)	(33.0, 792032.0)	(34.0, 1638454.0)	(35.0, 5582799.0)	(36.0, 21657082.0)	(37.0, 875125.0)
SRR36750772_1	(13.0, 2.0)	(14.0, 66.0)	(15.0, 247.0)	(16.0, 643.0)	(17.0, 1132.0)	(18.0, 1846.0)	(19.0, 3155.0)	(20.0, 4878.0)	(21.0, 7176.0)	(22.0, 9281.0)	(23.0, 13339.0)	(24.0, 19754.0)	(25.0, 28934.0)	(26.0, 42991.0)	(27.0, 65424.0)	(28.0, 95101.0)	(29.0, 135995.0)	(30.0, 181917.0)	(31.0, 237567.0)	(32.0, 311429.0)	(33.0, 429471.0)	(34.0, 684855.0)	(35.0, 1615294.0)	(36.0, 17016435.0)	(37.0, 2607505.0)		
SRR36750772_2	(11.0, 37.0)	(12.0, 1864.0)	(13.0, 9492.0)	(14.0, 15249.0)	(15.0, 16171.0)	(16.0, 15494.0)	(17.0, 14520.0)	(18.0, 15176.0)	(19.0, 18960.0)	(20.0, 27687.0)	(21.0, 40942.0)	(22.0, 55474.0)	(23.0, 64189.0)	(24.0, 68843.0)	(25.0, 71991.0)	(26.0, 77851.0)	(27.0, 88485.0)	(28.0, 106829.0)	(29.0, 133600.0)	(30.0, 172730.0)	(31.0, 232487.0)	(32.0, 328701.0)	(33.0, 514820.0)	(34.0, 1006262.0)	(35.0, 3299972.0)	(36.0, 16220937.0)	(37.0, 895674.0)
SRR36750775_1	(13.0, 5.0)	(14.0, 133.0)	(15.0, 585.0)	(16.0, 1426.0)	(17.0, 2234.0)	(18.0, 3383.0)	(19.0, 5350.0)	(20.0, 7767.0)	(21.0, 10893.0)	(22.0, 14384.0)	(23.0, 20457.0)	(24.0, 30213.0)	(25.0, 44573.0)	(26.0, 66077.0)	(27.0, 98401.0)	(28.0, 142631.0)	(29.0, 199845.0)	(30.0, 267640.0)	(31.0, 347632.0)	(32.0, 456382.0)	(33.0, 631378.0)	(34.0, 999357.0)	(35.0, 2368005.0)	(36.0, 25836924.0)	(37.0, 3992189.0)		
SRR36750775_2	(11.0, 24.0)	(12.0, 2252.0)	(13.0, 10859.0)	(14.0, 18207.0)	(15.0, 20010.0)	(16.0, 19654.0)	(17.0, 19268.0)	(18.0, 20162.0)	(19.0, 24117.0)	(20.0, 34312.0)	(21.0, 49923.0)	(22.0, 67683.0)	(23.0, 79105.0)	(24.0, 86748.0)	(25.0, 92270.0)	(26.0, 100885.0)	(27.0, 117337.0)	(28.0, 141271.0)	(29.0, 179142.0)	(30.0, 231098.0)	(31.0, 310735.0)	(32.0, 439015.0)	(33.0, 679243.0)	(34.0, 1310614.0)	(35.0, 4290990.0)	(36.0, 25452281.0)	(37.0, 1750659.0)
SRR36750776_1	(13.0, 10.0)	(14.0, 158.0)	(15.0, 663.0)	(16.0, 1394.0)	(17.0, 2329.0)	(18.0, 3328.0)	(19.0, 4977.0)	(20.0, 7278.0)	(21.0, 10913.0)	(22.0, 15588.0)	(23.0, 22310.0)	(24.0, 32463.0)	(25.0, 47196.0)	(26.0, 68345.0)	(27.0, 99691.0)	(28.0, 143159.0)	(29.0, 200722.0)	(30.0, 267466.0)	(31.0, 348414.0)	(32.0, 459759.0)	(33.0, 626791.0)	(34.0, 973920.0)	(35.0, 2242626.0)	(36.0, 25190611.0)	(37.0, 4336456.0)		
SRR36750776_2	(11.0, 49.0)	(12.0, 3238.0)	(13.0, 14454.0)	(14.0, 21560.0)	(15.0, 22840.0)	(16.0, 21797.0)	(17.0, 21625.0)	(18.0, 23501.0)	(19.0, 29398.0)	(20.0, 41756.0)	(21.0, 59759.0)	(22.0, 78178.0)	(23.0, 90900.0)	(24.0, 100208.0)	(25.0, 110812.0)	(26.0, 125944.0)	(27.0, 148915.0)	(28.0, 181283.0)	(29.0, 228450.0)	(30.0, 293111.0)	(31.0, 392279.0)	(32.0, 558739.0)	(33.0, 885667.0)	(34.0, 1792231.0)	(35.0, 5919813.0)	(36.0, 22962260.0)	(37.0, 977800.0)
SRR36750778_1	(13.0, 2.0)	(14.0, 51.0)	(15.0, 266.0)	(16.0, 657.0)	(17.0, 1331.0)	(18.0, 2346.0)	(19.0, 3782.0)	(20.0, 6087.0)	(21.0, 9400.0)	(22.0, 13242.0)	(23.0, 19420.0)	(24.0, 29500.0)	(25.0, 46141.0)	(26.0, 71884.0)	(27.0, 110667.0)	(28.0, 164635.0)	(29.0, 235744.0)	(30.0, 321830.0)	(31.0, 430709.0)	(32.0, 581592.0)	(33.0, 831611.0)	(34.0, 1424880.0)	(35.0, 3806524.0)	(36.0, 22076362.0)	(37.0, 1920554.0)		
SRR36750778_2	(11.0, 235.0)	(12.0, 3928.0)	(13.0, 14762.0)	(14.0, 21191.0)	(15.0, 21839.0)	(16.0, 20684.0)	(17.0, 20151.0)	(18.0, 22387.0)	(19.0, 28571.0)	(20.0, 42210.0)	(21.0, 62121.0)	(22.0, 84699.0)	(23.0, 104114.0)	(24.0, 121235.0)	(25.0, 142245.0)	(26.0, 170753.0)	(27.0, 211459.0)	(28.0, 266822.0)	(29.0, 346622.0)	(30.0, 458855.0)	(31.0, 639801.0)	(32.0, 961708.0)	(33.0, 1630425.0)	(34.0, 3295277.0)	(35.0, 8069920.0)	(36.0, 14898602.0)	(37.0, 448601.0)
