Sample	Unique Reads	Duplicate Reads
SRR36750771_1	10991373.0	21741965.0
SRR36750771_2	11832469.0	20900869.0
SRR36750772_1	9641631.0	13872806.0
SRR36750772_2	10126557.0	13387880.0
SRR36750775_1	12692570.0	22855294.0
SRR36750775_2	13235291.0	22312573.0
SRR36750776_1	10920377.0	24186190.0
SRR36750776_2	11776772.0	23329795.0
SRR36750778_1	12442059.0	19667158.0
SRR36750778_2	14417029.0	17692188.0
SRR36750779_1	10063532.0	16016078.0
SRR36750779_2	10767695.0	15311915.0
SRR36750780_1	10692285.0	18673061.0
SRR36750780_2	12509132.0	16856214.0
SRR36750781_1	10482344.0	17905872.0
SRR36750781_2	11738941.0	16649275.0
SRR36750783_1	11520985.0	28552575.0
SRR36750783_2	14044349.0	26029211.0
SRR36750784_1	8791501.0	28551319.0
SRR36750784_2	10074051.0	27268769.0
