Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR36750771_1	(1.0, 21.937111487420488)	(2.0, 11.716559467534388)	(3.0, 6.6273222261299685)	(4.0, 4.14167901683011)	(5.0, 2.8984652362144083)	(6.0, 2.1715264327952495)	(7.0, 1.739742478667191)	(8.0, 1.4991580716458899)	(9.0, 1.2929259028212734)	('>10', 16.153184012146244)	('>50', 6.705515508313333)	('>100', 14.417452464493726)	('>500', 4.4268441967397845)	('>1k', 3.949971605494619)	('>5k', 0.322541892753118)	('>10k+', 0.0)
SRR36750771_2	(1.0, 24.793070081499458)	(2.0, 11.452184453964257)	(3.0, 6.592314958088238)	(4.0, 4.071708269603118)	(5.0, 2.7853059844421857)	(6.0, 2.085284086355717)	(7.0, 1.615476094193344)	(8.0, 1.3559289257732947)	(9.0, 1.1549416622210715)	('>10', 15.419990015487667)	('>50', 6.544973626653139)	('>100', 13.96829607287594)	('>500', 4.038100682916471)	('>1k', 3.5786024687740463)	('>5k', 0.2489769069985309)	('>10k+', 0.2948457101534242)
SRR36750772_1	(1.0, 27.804595979858714)	(2.0, 13.829676289867587)	(3.0, 7.67680661311208)	(4.0, 4.715532054816829)	(5.0, 3.1936635424820357)	(6.0, 2.3803098739478226)	(7.0, 1.8870300418142976)	(8.0, 1.5954304162436588)	(9.0, 1.2680929939023222)	('>10', 14.204785446214856)	('>50', 4.454047187989244)	('>100', 9.4714245856406)	('>500', 3.4544638109865793)	('>1k', 3.783033136602244)	('>5k', 0.23275964879194083)	('>10k+', 0.048348377728994155)
SRR36750772_2	(1.0, 30.20313709091502)	(2.0, 13.652745670301867)	(3.0, 7.328294439454256)	(4.0, 4.566662299417852)	(5.0, 3.109830038136512)	(6.0, 2.3134784655799545)	(7.0, 1.7988721981620663)	(8.0, 1.5024515225193653)	(9.0, 1.250552043541959)	('>10', 13.620086821926886)	('>50', 4.3617894703147115)	('>100', 9.174770983677623)	('>500', 3.2564550660471046)	('>1k', 3.3719779903895555)	('>5k', 0.20143411243818518)	('>10k+', 0.2874617871770768)
SRR36750775_1	(1.0, 23.76730472615606)	(2.0, 11.98570141687276)	(3.0, 6.786846821644936)	(4.0, 4.349306748272457)	(5.0, 3.1561746385661724)	(6.0, 2.3914686922894455)	(7.0, 1.9045625850402033)	(8.0, 1.5857632504154233)	(9.0, 1.3087904846589047)	('>10', 14.986165305160599)	('>50', 5.070729569341079)	('>100', 11.633823374903788)	('>500', 4.732462960776017)	('>1k', 5.715406799002813)	('>5k', 0.4764721561238433)	('>10k+', 0.14902047077543576)
SRR36750775_2	(1.0, 25.373445406750832)	(2.0, 12.088283868203467)	(3.0, 6.714364138711238)	(4.0, 4.283449313138978)	(5.0, 2.952714892594813)	(6.0, 2.292863894840867)	(7.0, 1.851283248211564)	(8.0, 1.547253376905146)	(9.0, 1.3179987037054892)	('>10', 14.68180965795277)	('>50', 5.007710610334016)	('>100', 11.178998650377924)	('>500', 4.625675116758899)	('>1k', 5.325192960608971)	('>5k', 0.3794952017539694)	('>10k+', 0.37946095915119277)
SRR36750776_1	(1.0, 19.804347842864416)	(2.0, 10.833326558781579)	(3.0, 6.466935542787265)	(4.0, 4.1928782197901615)	(5.0, 3.0635817477022753)	(6.0, 2.327123853868749)	(7.0, 1.9473078125039776)	(8.0, 1.6276428804864764)	(9.0, 1.3539041692844007)	('>10', 16.516308133947064)	('>50', 6.090434390891515)	('>100', 13.375328747749403)	('>500', 5.206350271834624)	('>1k', 6.46641683776301)	('>5k', 0.5199483622830464)	('>10k+', 0.20816462746207826)
SRR36750776_2	(1.0, 22.573050816220142)	(2.0, 10.591002326631966)	(3.0, 6.108204252126072)	(4.0, 4.121982339873233)	(5.0, 2.9373014787634477)	(6.0, 2.2821770920987623)	(7.0, 1.9033050683622166)	(8.0, 1.5722967938517283)	(9.0, 1.3154006222711605)	('>10', 16.164448018352335)	('>50', 5.977444932857702)	('>100', 12.813206006093655)	('>500', 4.890771522703803)	('>1k', 5.885897528439328)	('>5k', 0.37188871451183564)	('>10k+', 0.49162248684234827)
SRR36750778_1	(1.0, 26.281529577405532)	(2.0, 12.681649414238372)	(3.0, 7.425686700301528)	(4.0, 4.719098924361621)	(5.0, 3.239274632935476)	(6.0, 2.3326677545811116)	(7.0, 1.833615259728328)	(8.0, 1.4873504633155623)	(9.0, 1.2141433598378775)	('>10', 13.263618473717543)	('>50', 4.48475683571173)	('>100', 10.799060264466585)	('>500', 4.511753494417866)	('>1k', 5.213770963340181)	('>5k', 0.35251358000128097)	('>10k+', 0.1595103016395345)
SRR36750778_2	(1.0, 33.3041703097059)	(2.0, 12.108576220567732)	(3.0, 6.715350131129405)	(4.0, 4.356215428795401)	(5.0, 2.913297732700191)	(6.0, 2.067013714425562)	(7.0, 1.7023465590301439)	(8.0, 1.3638773316091903)	(9.0, 1.0679332783014026)	('>10', 11.771103482768241)	('>50', 4.110077411094537)	('>100', 9.780453390966212)	('>500', 3.969975161781646)	('>1k', 4.1420764143453335)	('>5k', 0.24023075589608497)	('>10k+', 0.3873026768832238)
