Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR36750771_1	SRR36750771_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32733338.0	4.9 Gbp	0.0	150.0	50.0	33.578525982311945	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR36750771_2	SRR36750771_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32733338.0	4.9 Gbp	0.0	150.0	50.0	36.14806574080531	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
SRR36750772_1	SRR36750772_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23514437.0	3.5 Gbp	0.0	150.0	51.0	41.003024841737066	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR36750772_2	SRR36750772_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23514437.0	3.5 Gbp	0.0	150.0	51.0	43.065271538179694	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
SRR36750775_1	SRR36750775_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35547864.0	5.3 Gbp	0.0	150.0	51.0	35.70557603214904	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
SRR36750775_2	SRR36750775_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35547864.0	5.3 Gbp	0.0	150.0	51.0	37.23230845705352	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
SRR36750776_1	SRR36750776_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35106567.0	5.2 Gbp	0.0	150.0	52.0	31.106363001515273	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
SRR36750776_2	SRR36750776_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35106567.0	5.2 Gbp	0.0	150.0	52.0	33.54578000277442	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
SRR36750778_1	SRR36750778_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32109217.0	4.8 Gbp	0.0	150.0	50.0	38.74917919426055	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
SRR36750778_2	SRR36750778_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32109217.0	4.8 Gbp	0.0	150.0	50.0	44.89996895358892	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
SRR36750779_1	SRR36750779_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26079610.0	3.9 Gbp	0.0	150.0	50.0	38.58773847194487	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
SRR36750779_2	SRR36750779_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26079610.0	3.9 Gbp	0.0	150.0	50.0	41.28779077179983	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
SRR36750780_1	SRR36750780_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29365346.0	4.4 Gbp	0.0	150.0	49.0	36.411234199442674	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
SRR36750780_2	SRR36750780_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29365346.0	4.4 Gbp	0.0	150.0	49.0	42.598277052357695	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
SRR36750781_1	SRR36750781_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28388216.0	4.2 Gbp	0.0	150.0	49.0	36.9249801222855	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
SRR36750781_2	SRR36750781_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28388216.0	4.2 Gbp	0.0	150.0	49.0	41.351453753452965	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
SRR36750783_1	SRR36750783_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40073560.0	6 Gbp	0.0	150.0	49.0	28.74959002257087	150.0	150	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
SRR36750783_2	SRR36750783_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40073560.0	6 Gbp	0.0	150.0	49.0	35.046420674085596	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
SRR36750784_1	SRR36750784_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37342820.0	5.6 Gbp	0.0	150.0	54.0	23.542680396573008	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
SRR36750784_2	SRR36750784_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37342820.0	5.6 Gbp	0.0	150.0	54.0	26.97720981260992	150.0	150	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass
