Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR36750771_1	66.42147401768806	50.0	150.0	150	18.181818181818183	32.733337999999996
SRR36750771_2	63.85193425919469	50.0	150.0	150	18.181818181818183	32.733337999999996
SRR36750772_1	58.996975158262934	51.0	150.0	150	18.181818181818183	23.514436999999997
SRR36750772_2	56.934728461820306	51.0	150.0	150	18.181818181818183	23.514436999999997
SRR36750775_1	64.29442396785096	51.0	150.0	150	18.181818181818183	35.547864
SRR36750775_2	62.76769154294648	51.0	150.0	150	18.181818181818183	35.547864
SRR36750776_1	68.89363699848472	52.0	150.0	150	27.27272727272727	35.106567
SRR36750776_2	66.45421999722558	52.0	150.0	150	27.27272727272727	35.106567
SRR36750778_1	61.25082080573945	50.0	150.0	150	18.181818181818183	32.109217
SRR36750778_2	55.10003104641108	50.0	150.0	150	18.181818181818183	32.109217
SRR36750779_1	61.41226152805513	50.0	150.0	150	18.181818181818183	26.07961
SRR36750779_2	58.71220922820017	50.0	150.0	150	18.181818181818183	26.07961
SRR36750780_1	63.588765800557326	49.0	150.0	150	18.181818181818183	29.365346
SRR36750780_2	57.401722947642305	49.0	150.0	150	18.181818181818183	29.365346
SRR36750781_1	63.0750198777145	49.0	150.0	150	18.181818181818183	28.388216
SRR36750781_2	58.648546246547035	49.0	150.0	150	18.181818181818183	28.388216
SRR36750783_1	71.25040997742913	49.0	150.0	150	18.181818181818183	40.07356
SRR36750783_2	64.9535793259144	49.0	150.0	150	18.181818181818183	40.07356
SRR36750784_1	76.457319603427	54.0	150.0	150	27.27272727272727	37.342819999999996
SRR36750784_2	73.02279018739009	54.0	150.0	150	27.27272727272727	37.342819999999996
